SALESORDERHEADERKEY,SALESORDERID,ORDERDATE,DUEDATE,SHIPDATE,STATUSODER,ISONLINE,PURCHASEORDERNUMBER,SALESORDERNUMBER,CUSACCOUNT,SALESPERSONID,CUSTOMERKEY,SALESPERSONKEY,SALESPEREXPLAIN,TERRITORYKEY,CURRENCYRATEKEY,CURRENCYEXPLAIN,CREDITCARDKEY,CREDITCARDEXPLAIN,SHIPMETHODKEY,DATEKEYORDER,DATEKEYDUE,DATEKEYSHIP,CREDITCARDAPPROVALCODE,SUBTOTAL,TAX,SHIPPINGFEE,TOTALAMOUNT,CUMULATIVEAMOUNT,ORDERCOUNT,RECENCY,FREQUENCY,MONETARY,PAYMETHOD,FRAUDSTATUS,SALESHEADERMODIFIEDDATE,ISCURRENT
12064,52338,2013-07-09,2013-07-21,2013-07-16,Shipped,True,Unknown,SO52338,10-4030-013944,,4178,-1,Have No SalesPerson,6,8902,Have CurrencyRate,6055,Have CreditCard,1,20130709,20130721,20130716,1221688Vi28944,36.27,2.9,0.91,40.08,73098338.36,27659,4084,4,176.94,CreditCard,Normal,2013-07-16,True
12065,52339,2013-07-09,2013-07-21,2013-07-16,Shipped,True,Unknown,SO52339,10-4030-023784,,16850,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,12569,Have CreditCard,1,20130709,20130721,20130716,922556Vi47492,34.98,2.8,0.87,38.65,73098377.01,27659,4418,1,38.65,CreditCard,Normal,2013-07-16,True
12066,52340,2013-07-09,2013-07-21,2013-07-16,Shipped,True,Unknown,SO52340,10-4030-025849,,18915,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,2199,Have CreditCard,1,20130709,20130721,20130716,122679Vi8557,35.23,2.82,0.88,38.93,73098415.94,27659,4418,1,38.93,CreditCard,Normal,2013-07-16,True
12067,52337,2013-07-09,2013-07-21,2013-07-16,Shipped,True,Unknown,SO52337,10-4030-026272,,19338,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,7978,Have CreditCard,1,20130709,20130721,20130716,821575Vi38626,60.47,4.84,1.51,66.82,73098482.76,27659,4418,1,66.82,CreditCard,Normal,2013-07-16,True
12068,52342,2013-07-09,2013-07-21,2013-07-16,Shipped,True,Unknown,SO52342,10-4030-023695,,16761,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,6410,Have CreditCard,1,20130709,20130721,20130716,823189Vi30671,150.93,12.07,3.77,166.78,73098649.54,27659,4418,1,166.78,CreditCard,Normal,2013-07-16,True
12069,52343,2013-07-09,2013-07-21,2013-07-16,Shipped,True,Unknown,SO52343,10-4030-020343,,13409,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,17889,Have CreditCard,1,20130709,20130721,20130716,824349Vi75339,69.99,5.6,1.75,77.34,73098726.88,27659,4418,1,77.34,CreditCard,Normal,2013-07-16,True
12070,52344,2013-07-09,2013-07-21,2013-07-16,Shipped,True,Unknown,SO52344,10-4030-018569,,11635,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,15512,Have CreditCard,1,20130709,20130721,20130716,824475Vi62799,4.99,0.4,0.12,5.51,73098732.39,27659,4418,1,5.51,CreditCard,Normal,2013-07-16,True
12071,52396,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52396,10-4030-011666,,1900,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,4868,Have CreditCard,1,20130710,20130722,20130717,1137327Vi22752,2369.97,189.6,59.25,2618.82,73101351.21,27659,4417,2,6572.81,CreditCard,Normal,2013-07-17,True
12072,52395,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52395,10-4030-012374,,2608,-1,Have No SalesPerson,7,-1,Have No CurrencyRate,1309,Have CreditCard,1,20130710,20130722,20130717,1230151Vi3949,34.99,2.8,0.87,38.66,73101389.87,27659,4417,1,38.66,CreditCard,Normal,2013-07-17,True
12073,52394,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52394,10-4030-017628,,7862,-1,Have No SalesPerson,10,8916,Have CurrencyRate,2619,Have CreditCard,1,20130710,20130722,20130717,1029051Vi10875,7.28,0.58,0.18,8.04,73101397.91,27659,4324,2,117.39,CreditCard,Normal,2013-07-17,True
12074,52393,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52393,10-4030-016584,,6818,-1,Have No SalesPerson,10,8916,Have CurrencyRate,22312,Have CreditCard,1,20130710,20130722,20130717,1228737Vi89119,39.98,3.2,1.0,44.18,73101442.09,27659,4261,2,191.11,CreditCard,Normal,2013-07-17,True
12075,52386,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52386,10-4030-011331,,1565,-1,Have No SalesPerson,6,8913,Have CurrencyRate,17526,Have CreditCard,1,20130710,20130722,20130717,725024Vi73456,13.98,1.12,0.35,15.45,73101457.54,27659,4066,27,1468.87,CreditCard,Normal,2013-07-17,True
12076,52391,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52391,10-4030-017630,,7864,-1,Have No SalesPerson,8,-1,Have No CurrencyRate,14117,Have CreditCard,1,20130710,20130722,20130717,427892Vi55494,4.99,0.4,0.12,5.51,73101463.05,27659,4417,1,5.51,CreditCard,Normal,2013-07-17,True
12077,52390,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52390,10-4030-014866,,5100,-1,Have No SalesPerson,8,-1,Have No CurrencyRate,4938,Have CreditCard,1,20130710,20130722,20130717,1127590Vi23117,31.27,2.5,0.78,34.55,73101497.6,27659,4417,1,34.55,CreditCard,Normal,2013-07-17,True
12078,52389,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52389,10-4030-019080,,12146,-1,Have No SalesPerson,7,-1,Have No CurrencyRate,12516,Have CreditCard,1,20130710,20130722,20130717,426958Vi47247,29.98,2.4,0.75,33.13,73101530.73,27659,4417,1,33.13,CreditCard,Normal,2013-07-17,True
12079,52388,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52388,10-4030-013458,,3692,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,22007,Have CreditCard,1,20130710,20130722,20130717,226172Vi87338,44.91,3.59,1.12,49.63,73101580.36,27659,4417,1,49.63,CreditCard,Normal,2013-07-17,True
12080,52387,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52387,10-4030-015198,,5432,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,4707,Have CreditCard,1,20130710,20130722,20130717,325655Vi21938,7.28,0.58,0.18,8.04,73101588.4,27659,4417,1,8.04,CreditCard,Normal,2013-07-17,True
12081,52392,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52392,10-4030-024561,,17627,-1,Have No SalesPerson,8,-1,Have No CurrencyRate,11673,Have CreditCard,1,20130710,20130722,20130717,128413Vi43024,3.99,0.32,0.1,4.41,73101592.81,27659,4417,1,4.41,CreditCard,Normal,2013-07-17,True
12082,52397,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52397,10-4030-011683,,1917,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,13315,Have CreditCard,1,20130710,20130722,20130717,337331Vi51182,2318.96,185.52,57.97,2562.45,73104155.26,27659,4417,2,6516.44,CreditCard,Normal,2013-07-17,True
12083,52398,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52398,10-4030-020159,,13225,-1,Have No SalesPerson,9,8911,Have CurrencyRate,22647,Have CreditCard,1,20130710,20130722,20130717,338639Vi90980,588.96,47.12,14.72,650.8,73104806.06,27659,4417,2,4604.79,CreditCard,Normal,2013-07-17,True
12084,52399,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52399,10-4030-020157,,13223,-1,Have No SalesPerson,9,8911,Have CurrencyRate,23518,Have CreditCard,1,20130710,20130722,20130717,1138684Vi95738,539.99,43.2,13.5,596.69,73105402.75,27659,4417,2,4550.68,CreditCard,Normal,2013-07-17,True
12085,52400,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52400,10-4030-024523,,17589,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,18827,Have CreditCard,1,20130710,20130722,20130717,940599Vi79850,2492.02,199.36,62.3,2753.68,73108156.43,27659,4417,1,2753.68,CreditCard,Normal,2013-07-17,True
12086,52401,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52401,10-4030-023750,,16816,-1,Have No SalesPerson,10,8916,Have CurrencyRate,684,Have CreditCard,1,20130710,20130722,20130717,141467Vi3296,1155.48,92.44,28.89,1276.81,73109433.24,27659,4417,1,1276.81,CreditCard,Normal,2013-07-17,True
12087,52402,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52402,10-4030-022288,,15354,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,11307,Have CreditCard,1,20130710,20130722,20130717,741489Vi41066,561.48,44.92,14.04,620.44,73110053.68,27659,4417,1,620.44,CreditCard,Normal,2013-07-17,True
12088,52403,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52403,10-4030-019534,,12600,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,3515,Have CreditCard,1,20130710,20130722,20130717,341852Vi15636,1179.47,94.36,29.49,1303.31,73111356.99,27659,4417,1,1303.31,CreditCard,Normal,2013-07-17,True
12089,52404,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52404,10-4030-025612,,18678,-1,Have No SalesPerson,10,8916,Have CurrencyRate,5726,Have CreditCard,1,20130710,20130722,20130717,142239Vi27166,574.98,46.0,14.37,635.35,73111992.34,27659,4417,1,635.35,CreditCard,Normal,2013-07-17,True
12090,52405,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52405,10-4030-025626,,18692,-1,Have No SalesPerson,10,8916,Have CurrencyRate,19256,Have CreditCard,1,20130710,20130722,20130717,242243Vi82101,548.98,43.92,13.72,606.62,73112598.96,27659,4417,1,606.62,CreditCard,Normal,2013-07-17,True
12091,52406,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52406,10-4030-014426,,4660,-1,Have No SalesPerson,8,-1,Have No CurrencyRate,16090,Have CreditCard,1,20130710,20130722,20130717,1042731Vi65808,2384.07,190.73,59.6,2634.4,73115233.36,27659,4288,3,9192.83,CreditCard,Normal,2013-07-17,True
12092,52407,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52407,10-4030-018307,,11373,-1,Have No SalesPerson,9,8911,Have CurrencyRate,-1,Have No CreditCard,1,20130710,20130722,20130717,Unknown,2443.35,195.47,61.08,2699.9,73117933.26,27659,4417,2,6653.89,Other,Normal,2013-07-17,True
12093,52384,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52384,10-4030-019695,,12761,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,14024,Have CreditCard,1,20130710,20130722,20130717,924056Vi54943,94.48,7.56,2.36,104.4,73118037.66,27659,4417,1,104.4,CreditCard,Normal,2013-07-17,True
12094,52385,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52385,10-4030-016666,,6900,-1,Have No SalesPerson,6,8913,Have CurrencyRate,11620,Have CreditCard,1,20130710,20130722,20130717,1124640Vi42778,123.98,9.92,3.1,137.0,73118174.66,27659,4248,2,227.01,CreditCard,Normal,2013-07-17,True
12095,52365,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52365,10-4030-017251,,7485,-1,Have No SalesPerson,9,8911,Have CurrencyRate,23722,Have CreditCard,1,20130710,20130722,20130717,617278Vi96833,69.97,5.6,1.75,77.32,73118251.98,27659,4293,2,136.98,CreditCard,Normal,2013-07-17,True
12096,52366,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52366,10-4030-019954,,13020,-1,Have No SalesPerson,9,8911,Have CurrencyRate,23774,Have CreditCard,1,20130710,20130722,20130717,317771Vi97180,60.47,4.84,1.51,66.82,73118318.8,27659,4289,2,82.27,CreditCard,Normal,2013-07-17,True
12097,52367,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52367,10-4030-024890,,17956,-1,Have No SalesPerson,9,8911,Have CurrencyRate,16051,Have CreditCard,1,20130710,20130722,20130717,917847Vi65608,39.98,3.2,1.0,44.18,73118362.98,27659,4417,1,44.18,CreditCard,Normal,2013-07-17,True
12098,52368,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52368,10-4030-026141,,19207,-1,Have No SalesPerson,9,8911,Have CurrencyRate,5593,Have CreditCard,1,20130710,20130722,20130717,1218237Vi26506,78.98,6.32,1.97,87.27,73118450.25,27659,4417,1,87.27,CreditCard,Normal,2013-07-17,True
12099,52369,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52369,10-4030-023629,,16695,-1,Have No SalesPerson,10,8916,Have CurrencyRate,3140,Have CreditCard,1,20130710,20130722,20130717,919799Vi13554,2466.32,197.31,61.66,2725.28,73121175.53,27659,4417,1,2725.28,CreditCard,Normal,2013-07-17,True
12100,52370,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52370,10-4030-026420,,19486,-1,Have No SalesPerson,8,-1,Have No CurrencyRate,19064,Have CreditCard,1,20130710,20130722,20130717,319836Vi81147,2443.35,195.47,61.08,2699.9,73123875.43,27659,4417,1,2699.9,CreditCard,Normal,2013-07-17,True
12101,52371,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52371,10-4030-011527,,1761,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,16583,Have CreditCard,1,20130710,20130722,20130717,920604Vi68565,2.29,0.18,0.06,2.53,73123877.96,27659,4150,2,43.74,CreditCard,Normal,2013-07-17,True
12102,52372,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52372,10-4030-028301,,23175,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,16891,Have CreditCard,1,20130710,20130722,20130717,420607Vi70100,161.29,12.9,4.03,178.23,73124056.19,27659,4417,1,178.23,CreditCard,Normal,2013-07-17,True
12103,52373,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52373,10-4030-012035,,2269,-1,Have No SalesPerson,9,8911,Have CurrencyRate,2931,Have CreditCard,1,20130710,20130722,20130717,1120650Vi12504,64.97,5.2,1.62,71.79,73124127.98,27659,4321,3,89.77,CreditCard,Normal,2013-07-17,True
12104,52375,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52375,10-4030-011631,,1865,-1,Have No SalesPerson,6,8913,Have CurrencyRate,5377,Have CreditCard,1,20130710,20130722,20130717,720878Vi25459,11.94,0.96,0.3,13.19,73124141.17,27659,4096,16,781.79,CreditCard,Normal,2013-07-17,True
12105,52374,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52374,10-4030-011631,,1865,-1,Have No SalesPerson,6,8913,Have CurrencyRate,5377,Have CreditCard,1,20130710,20130722,20130717,720744Vi25459,8.99,0.72,0.22,9.93,73124151.1,27659,4096,16,781.79,CreditCard,Normal,2013-07-17,True
12106,52383,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52383,10-4030-016085,,6319,-1,Have No SalesPerson,6,8913,Have CurrencyRate,12273,Have CreditCard,1,20130710,20130722,20130717,123681Vi45911,14.98,1.2,0.37,16.55,73124167.65,27659,4272,3,158.6,CreditCard,Normal,2013-07-17,True
12107,52382,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52382,10-4030-022365,,15431,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,23123,Have CreditCard,1,20130710,20130722,20130717,723394Vi93507,32.28,2.58,0.81,35.67,73124203.32,27659,4417,1,35.67,CreditCard,Normal,2013-07-17,True
12108,52381,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52381,10-4030-012061,,2295,-1,Have No SalesPerson,6,8913,Have CurrencyRate,42,Have CreditCard,1,20130710,20130722,20130717,522726Vi186,37.27,2.98,0.93,41.18,73124244.5,27659,4183,4,154.88,CreditCard,Normal,2013-07-17,True
12109,52380,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52380,10-4030-011200,,1434,-1,Have No SalesPerson,6,8913,Have CurrencyRate,6701,Have CreditCard,1,20130710,20130722,20130717,722465Vi32050,193.89,15.51,4.85,214.25,73124458.75,27659,4070,27,1617.03,CreditCard,Normal,2013-07-17,True
12110,52379,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52379,10-4030-024393,,17459,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,11489,Have CreditCard,1,20130710,20130722,20130717,222445Vi42131,36.59,2.93,0.91,40.43,73124499.18,27659,4417,1,40.43,CreditCard,Normal,2013-07-17,True
12111,52378,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52378,10-4030-016133,,6367,-1,Have No SalesPerson,6,8913,Have CurrencyRate,6553,Have CreditCard,1,20130710,20130722,20130717,322099Vi31320,38.88,3.11,0.97,42.96,73124542.14,27659,4086,3,182.12,CreditCard,Normal,2013-07-17,True
12112,52377,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52377,10-4030-011711,,1945,-1,Have No SalesPerson,6,8913,Have CurrencyRate,12370,Have CreditCard,1,20130710,20130722,20130717,421131Vi46469,10.24,0.82,0.26,11.32,73124553.46,27659,4064,27,1219.65,CreditCard,Normal,2013-07-17,True
12113,52376,2013-07-10,2013-07-22,2013-07-17,Shipped,True,Unknown,SO52376,10-4030-011843,,2077,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,23171,Have CreditCard,1,20130710,20130722,20130717,1020932Vi93747,74.48,5.96,1.86,82.3,73124635.76,27659,4388,2,129.02,CreditCard,Normal,2013-07-17,True
12114,52453,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52453,10-4030-011531,,1765,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,15930,Have CreditCard,1,20130711,20130723,20130718,137601Vi65013,2297.28,183.78,57.43,2538.49,73127174.25,27659,4416,2,6492.48,CreditCard,Normal,2013-07-18,True
12115,52452,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52452,10-4030-011307,,1541,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,12661,Have CreditCard,1,20130711,20130723,20130718,237342Vi47951,2385.95,190.88,59.65,2636.47,73129810.72,27659,4416,2,6590.46,CreditCard,Normal,2013-07-18,True
12116,52451,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52451,10-4030-013060,,3294,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,21759,Have CreditCard,1,20130711,20130723,20130718,1235852Vi85926,626.44,50.12,15.66,692.22,73130502.94,27659,4416,2,3102.85,CreditCard,Normal,2013-07-18,True
12117,52450,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52450,10-4030-016888,,7122,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,1944,Have CreditCard,1,20130711,20130723,20130718,135063Vi7251,1754.98,140.4,43.87,1939.25,73132442.19,27659,4416,1,1939.25,CreditCard,Normal,2013-07-18,True
12118,52449,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52449,10-4030-012643,,2877,-1,Have No SalesPerson,8,-1,Have No CurrencyRate,16825,Have CreditCard,1,20130711,20130723,20130718,1130115Vi69719,8.99,0.72,0.22,9.93,73132452.12,27659,4064,2,113.77,CreditCard,Normal,2013-07-18,True
12119,52448,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52448,10-4030-011637,,1871,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,8427,Have CreditCard,1,20130711,20130723,20130718,829466Vi40867,37.29,2.98,0.93,41.21,73132493.33,27659,4409,2,43.74,CreditCard,Normal,2013-07-18,True
12120,52447,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52447,10-4030-011691,,1925,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,16289,Have CreditCard,1,20130711,20130723,20130718,429452Vi66844,65.97,5.28,1.65,72.9,73132566.23,27659,4316,2,132.56,CreditCard,Normal,2013-07-18,True
12121,52446,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52446,10-4030-011212,,1446,-1,Have No SalesPerson,6,8924,Have CurrencyRate,7503,Have CreditCard,1,20130711,20130723,20130718,429297Vi36244,42.28,3.38,1.06,46.72,73132612.95,27659,4073,17,914.04,CreditCard,Normal,2013-07-18,True
12122,52445,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52445,10-4030-011620,,1854,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,14151,Have CreditCard,1,20130711,20130723,20130718,129160Vi55660,42.28,3.38,1.06,46.72,73132659.67,27659,4247,2,49.25,CreditCard,Normal,2013-07-18,True
12123,52444,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52444,10-4030-011635,,1869,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,14537,Have CreditCard,1,20130711,20130723,20130718,1129132Vi57653,39.99,3.2,1.0,44.19,73132703.86,27659,4191,2,46.72,CreditCard,Normal,2013-07-18,True
12124,52443,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52443,10-4030-011233,,1467,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,12040,Have CreditCard,1,20130711,20130723,20130718,328806Vi44782,150.95,12.08,3.77,166.8,73132870.66,27659,4296,2,198.27,CreditCard,Normal,2013-07-18,True
12125,52442,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52442,10-4030-025645,,18711,-1,Have No SalesPerson,8,-1,Have No CurrencyRate,21787,Have CreditCard,1,20130711,20130723,20130718,328646Vi86052,21.49,1.72,0.54,23.75,73132894.41,27659,4416,1,23.75,CreditCard,Normal,2013-07-18,True
12126,52441,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52441,10-4030-026904,,21778,-1,Have No SalesPerson,7,-1,Have No CurrencyRate,3688,Have CreditCard,1,20130711,20130723,20130718,328510Vi16556,28.99,2.32,0.72,32.03,73132926.44,27659,4416,1,32.03,CreditCard,Normal,2013-07-18,True
12127,52440,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52440,10-4030-029451,,24325,-1,Have No SalesPerson,7,8927,Have CurrencyRate,12621,Have CreditCard,1,20130711,20130723,20130718,1028136Vi47744,25.48,2.04,0.64,28.16,73132954.6,27659,4416,1,28.16,CreditCard,Normal,2013-07-18,True
12128,52439,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52439,10-4030-022455,,15521,-1,Have No SalesPerson,8,-1,Have No CurrencyRate,15100,Have CreditCard,1,20130711,20130723,20130718,1227487Vi60686,29.48,2.36,0.74,32.58,73132987.18,27659,4416,1,32.58,CreditCard,Normal,2013-07-18,True
12129,52454,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52454,10-4030-011243,,1477,-1,Have No SalesPerson,10,8927,Have CurrencyRate,4122,Have CreditCard,1,20130711,20130723,20130718,637957Vi18915,810.32,64.83,20.26,895.4,73133882.58,27659,4295,4,7916.49,CreditCard,Normal,2013-07-18,True
12130,52455,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52455,10-4030-017983,,8217,-1,Have No SalesPerson,8,-1,Have No CurrencyRate,23604,Have CreditCard,1,20130711,20130723,20130718,238063Vi96240,1223.84,97.91,30.6,1352.34,73135234.92,27659,4174,3,6391.72,CreditCard,Normal,2013-07-18,True
12131,52456,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52456,10-4030-014101,,4335,-1,Have No SalesPerson,9,8922,Have CurrencyRate,13012,Have CreditCard,1,20130711,20130723,20130718,538113Vi49702,839.48,67.16,20.99,927.63,73136162.55,27659,4230,3,4066.29,CreditCard,Normal,2013-07-18,True
12132,52457,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52457,10-4030-018701,,11767,-1,Have No SalesPerson,9,8922,Have CurrencyRate,17231,Have CreditCard,1,20130711,20130723,20130718,338506Vi71875,1779.47,142.36,44.49,1966.31,73138128.86,27659,4416,2,5920.3,CreditCard,Normal,2013-07-18,True
12133,52458,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52458,10-4030-011457,,1691,-1,Have No SalesPerson,9,8922,Have CurrencyRate,8033,Have CreditCard,1,20130711,20130723,20130718,839801Vi38851,2359.96,188.8,59.0,2607.76,73140736.62,27659,4303,3,9073.69,CreditCard,Normal,2013-07-18,True
12134,52459,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52459,10-4030-022328,,15394,-1,Have No SalesPerson,1,-1,Have No CurrencyRate,18187,Have CreditCard,1,20130711,20130723,20130718,641452Vi76800,548.98,43.92,13.72,606.62,73141343.24,27659,4416,1,606.62,CreditCard,Normal,2013-07-18,True
12135,52460,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52460,10-4030-022275,,15341,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,12835,Have CreditCard,1,20130711,20130723,20130718,1241479Vi48829,615.47,49.24,15.39,680.09,73142023.33,27659,4416,1,680.09,CreditCard,Normal,2013-07-18,True
12136,52461,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52461,10-4030-019409,,12475,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,22656,Have CreditCard,1,20130711,20130723,20130718,941844Vi91032,1183.47,94.68,29.59,1307.73,73143331.06,27659,4416,1,1307.73,CreditCard,Normal,2013-07-18,True
12137,52462,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52462,10-4030-019531,,12597,-1,Have No SalesPerson,4,-1,Have No CurrencyRate,24203,Have CreditCard,1,20130711,20130723,20130718,141849Vi99509,1179.97,94.4,29.5,1303.87,73144634.93,27659,4416,1,1303.87,CreditCard,Normal,2013-07-18,True
12138,52463,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52463,10-4030-023225,,16291,-1,Have No SalesPerson,10,8927,Have CurrencyRate,3749,Have CreditCard,1,20130711,20130723,20130718,242226Vi16937,1184.46,94.76,29.61,1308.83,73145943.76,27659,4416,1,1308.83,CreditCard,Normal,2013-07-18,True
12139,52464,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52464,10-4030-029398,,24272,-1,Have No SalesPerson,8,-1,Have No CurrencyRate,23324,Have CreditCard,1,20130711,20130723,20130718,1042255Vi94517,564.48,45.16,14.11,623.75,73146567.51,27659,4416,2,4380.74,CreditCard,Normal,2013-07-18,True
12140,52465,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52465,10-4030-022462,,15528,-1,Have No SalesPerson,8,-1,Have No CurrencyRate,341,Have CreditCard,1,20130711,20130723,20130718,442278Vi1514,553.97,44.32,13.85,612.14,73147179.65,27659,4416,1,612.14,CreditCard,Normal,2013-07-18,True
12141,52468,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52468,10-4030-016713,,6947,-1,Have No SalesPerson,9,8922,Have CurrencyRate,6879,Have CreditCard,1,20130711,20130723,20130718,443244Vi32954,2512.32,200.99,62.81,2776.11,73149955.76,27659,4416,2,6730.1,CreditCard,Normal,2013-07-18,True
12142,52466,2013-07-11,2013-07-23,2013-07-18,Shipped,True,Unknown,SO52466,10-4030-012316,,2550,-1,Have No SalesPerson,10,8927,Have CurrencyRate,21494,Have CreditCard,1,20130711,20130723,20130718,642728Vi84384,2384.07,190.73,59.6,2634.4,73152590.16,27659,4377,3,7513.4,CreditCard,Normal,2013-07-18,True
