PRODUCTINVENTORYKEY,PRODUCTID,PRODUCTKEY,LOCATIONID,LOCATIONNAME,COSTRATE,AVAILABILITY,LOCATIONMODIFIEDDATE,SHELF,BIN,QUANTITY,PROHISMODIFIEDDATE,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
314,411,220,50,Subassembly,12.25,120.0,2008-04-30,T,10,459,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,4133f369575f7c84af0bc80a33dc7c31c49bcae390f04ad25963e5f1c7a2e442
315,412,221,1,Tool Crib,0.0,0.0,2008-04-30,F,11,299,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,6c1243386bc384cd8fb85819bc9a2149773f0a4716b43c461a0e2e800f887d50
316,412,221,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,13,321,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,0d0277df06b75c7590caea8fd8050d882fcb3ffc1edf2bbb2d79e2c65d45c7e4
317,412,221,50,Subassembly,12.25,120.0,2008-04-30,T,11,156,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,8f0e2618050bf4e9f8eca8c154e6f2eb80ab8a56b936481fde783c9b3ccf6189
318,413,209,1,Tool Crib,0.0,0.0,2008-04-30,F,12,641,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,be98bb2b68691c70caa1c77684292270033dfe204de51e82145c4c451f1a5a2c
319,413,209,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,14,603,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,4ecd224359bae9c020e811abcf4bf28930c5835a110b3fe14e7aa6e4105aa197
320,413,209,50,Subassembly,12.25,120.0,2008-04-30,T,12,459,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,3c2eb9f286a7524ded9cafb7bd899292d9745ad984aa2b174fa7ea706c70f936
321,414,223,1,Tool Crib,0.0,0.0,2008-04-30,F,13,427,2014-07-30,True,2006-06-23,9999-12-31 00:00:00,739c5c1255ab06c6be39b45d38d311114be14054b0972c1196ffd2a91450e5d7
322,414,223,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,15,321,2014-07-30,True,2006-06-23,9999-12-31 00:00:00,c37e7d2b3ad59fd04b6542652b4c8bcdd6f0f44c890239754ebe86cff8933306
323,414,223,50,Subassembly,12.25,120.0,2008-04-30,T,13,371,2014-07-30,True,2006-06-23,9999-12-31 00:00:00,a571af19e5efcf43200c3cbd921fc17e57d4680bad0dd16182624d1a06ca52f5
324,415,224,1,Tool Crib,0.0,0.0,2008-04-30,F,14,422,2014-07-30,True,2006-06-23,9999-12-31 00:00:00,bff6aad0c577b63d55dc8fea3df3b527c66d979beca93cbbb9b746e9e08be651
325,415,224,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,16,316,2014-07-30,True,2006-06-23,9999-12-31 00:00:00,ef02b93634644c4e5af906934384d4dacebf5b88615241034d7c2eed66382ae7
326,415,224,50,Subassembly,12.25,120.0,2008-04-30,T,14,366,2014-07-30,True,2006-06-23,9999-12-31 00:00:00,33e56d183b8443210fd305d10b70e766f57360176db84dc08593fc1fcee68e5a
327,416,225,1,Tool Crib,0.0,0.0,2008-04-30,F,15,417,2014-07-30,True,2006-06-23,9999-12-31 00:00:00,430207ae366019bb588253451a95e9792fefc90787683a93e48f0adbd764c12b
328,416,225,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,17,312,2014-07-30,True,2006-06-23,9999-12-31 00:00:00,9c3aed485d09d8edc07fb70a1c384c9b4424e7544bb03c90074d304b89aa605b
329,416,225,50,Subassembly,12.25,120.0,2008-04-30,T,15,361,2014-07-30,True,2006-06-23,9999-12-31 00:00:00,6dc5d4061b5d2f481bb0b72ddbfbc028c2b189e356fe2518bac7f59835275ba4
330,417,226,1,Tool Crib,0.0,0.0,2008-04-30,F,16,572,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,07add3a5e5a924d666b2ed984333813532ee357a7856209500c26b838f64980b
331,417,226,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,18,627,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,8207e26b84b137b9b7ded84e908a3514843384e8bd1157f883417c26ad5d57a2
332,417,226,50,Subassembly,12.25,120.0,2008-04-30,T,16,516,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,4b76b96426cdcf94956efa4c29a06c853379601f6fbbfc2349db3814112f605b
333,418,227,1,Tool Crib,0.0,0.0,2008-04-30,F,17,248,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,fe6fa0420e00b3f3ed411e7bef1b5f5f18667517278945d7df30d6b9f764e2f0
334,418,227,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,19,283,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,03df71a348c0a78e8b6a8597baa47e8e314936fa8df1c7845c75fa171f3b45ab
335,418,227,50,Subassembly,12.25,120.0,2008-04-30,T,17,388,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,5f344f15400bb21103acc359bafda3c56260987049f5cddd05ce87f0e459fdd5
336,419,228,1,Tool Crib,0.0,0.0,2008-04-30,F,18,246,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,a749d0cade4f4daad54478d422b752be452bd6bebe414b858e5040c4ab52e99e
337,419,228,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,20,281,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,001329f9b36020e47d8d212a0619efa95f9c3622342e43da16ee837efca3b94b
338,419,228,50,Subassembly,12.25,120.0,2008-04-30,T,18,387,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,1ed1697baa595dea05f0b677c23c23b54def741ffdf5b2a5930d65335d69be9a
339,420,229,1,Tool Crib,0.0,0.0,2008-04-30,F,19,244,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,b1d28a627052d153664808c87ba914a81d40182140e840c11f1e1e2cd355fbdc
340,420,229,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,21,280,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,218c72b360dc334a821861cedff8b63e412847ef6a78952ef4d8b28cb0e999e5
341,420,229,50,Subassembly,12.25,120.0,2008-04-30,T,19,385,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,1b38f345dfc41a24fce21f781ea37422115769269d0d0d41b1e9e68f1e818308
342,421,230,1,Tool Crib,0.0,0.0,2008-04-30,F,20,243,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,8af9cc2c35db6e238e87049821b2d96ad5a75fa2f8ba2809d2efad829e9ab52e
343,421,230,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,22,278,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,49b61489e5cfce1885722f64d89c18cf6bfc29e95ba0c0a5e4f362ad4fa3e36f
344,421,230,50,Subassembly,12.25,120.0,2008-04-30,T,20,384,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,3484db7fcd2473177f4631f1470f446070fbf400b89f659963b35b2ede59f751
345,422,231,1,Tool Crib,0.0,0.0,2008-04-30,K,1,620,2014-08-07,True,2006-06-23,9999-12-31 00:00:00,52769048da26a51d3a613983cdf3b46bd7b6faafbd85697d79d316a188960fd9
346,422,231,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,23,515,2014-08-07,True,2006-06-23,9999-12-31 00:00:00,e553dd2e7273135352db90cc4f4f0d65f46cf32eca6de61e86d1c002ed3aa58e
347,422,231,50,Subassembly,12.25,120.0,2008-04-30,T,21,497,2014-08-07,True,2006-06-23,9999-12-31 00:00:00,7033e374c082b43b764a062a9d4130c2da02cf9bb6fc5884b2b950b4c7292e85
348,423,232,1,Tool Crib,0.0,0.0,2008-04-30,K,2,619,2014-08-07,True,2006-06-23,9999-12-31 00:00:00,101e8724aa0f101d195011ff47b283936883d7796a4e4990a58c6fc7344ae843
349,423,232,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,24,513,2014-08-07,True,2006-06-23,9999-12-31 00:00:00,8b65c54628285de9fc6c0de57defd112fbb85131f78e5d832b43ba211a614ddf
350,423,232,50,Subassembly,12.25,120.0,2008-04-30,U,1,496,2014-08-07,True,2006-06-23,9999-12-31 00:00:00,1afd8f89ed03ab08d6c48a75b51feedf9e498278e5d3af68fcc68ef6add2d522
351,424,233,1,Tool Crib,0.0,0.0,2008-04-30,K,3,617,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,f442597b3c970b2fa87529d6f08ea8e6747ff046cddb89fc6d71144a74ee3416
352,424,233,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,25,512,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,a4005440b6805f946c30695ad48afada9d8f58e8dc30c1b19bcd9040a73b6ab8
353,424,233,50,Subassembly,12.25,120.0,2008-04-30,U,2,494,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,dea8d7b46a251bdcd32798bee566083e4b315e413e43ce3fe72bbe784639a98d
354,425,234,1,Tool Crib,0.0,0.0,2008-04-30,K,4,616,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,32a96c31c2e43d38ebfaa2c724b7b8ff7e93d03f59b5304382d336a254ac4297
355,425,234,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,26,510,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,e2553af02eb5111d6f362440f810c1f8bc1f7bbab986b7bcfc832ded38f1083e
356,425,234,50,Subassembly,12.25,120.0,2008-04-30,U,3,492,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,d147450f4ec7b99f4b0398904eb8b9f7cce843c3728773e0598df1c1639392db
357,426,138,1,Tool Crib,0.0,0.0,2008-04-30,K,5,614,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,208ac4a7fc7ec9fafc21b873dac59c7c43bfe4d889c3b5a3b71e826b143ad5ba
358,426,138,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,27,508,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,5c5930d0fd4dd4f35c01b8dd908c584097d5a553c6f5d0bd890828c6c35c45d3
359,426,138,50,Subassembly,12.25,120.0,2008-04-30,U,4,491,2014-08-12,True,2006-06-23,9999-12-31 00:00:00,516c57d34a439bea414f049c486244ad48c8cc92e9e8be2c4e026c87dec45692
360,427,86,1,Tool Crib,0.0,0.0,2008-04-30,K,6,612,2014-08-01,True,2006-06-23,9999-12-31 00:00:00,ae543aff3eb56cace32dc7fac6a6c3d477cf6e06e2308933c765a8247df6590f
361,427,86,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,28,507,2014-08-01,True,2006-06-23,9999-12-31 00:00:00,3429b6af3251ca5cd98389eaa946e6d08c58f37f2f7eced5ad7092976e77f09e
362,427,86,50,Subassembly,12.25,120.0,2008-04-30,U,5,489,2014-08-01,True,2006-06-23,9999-12-31 00:00:00,b859f438df31f5dbf37bd19f204ea2c3fc4b5e2bb9967d77414ae4333686c393
363,428,87,1,Tool Crib,0.0,0.0,2008-04-30,K,7,611,2014-08-01,True,2006-06-23,9999-12-31 00:00:00,1183614909090e1b73553403867dc988aa1f966f66a8caa8c71b63d318302e34
364,428,87,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,29,505,2014-08-01,True,2006-06-23,9999-12-31 00:00:00,fc6d4a193224bf1b8d4b1e6a9010c0803918354d5cb12c4186a3b6ee8b9ca5fd
365,428,87,50,Subassembly,12.25,120.0,2008-04-30,U,6,488,2014-08-01,True,2006-06-23,9999-12-31 00:00:00,ba561b8d4a0512ed03ce0423d7eef7ca99b6c2a03c661ac15d82a6dcaabf01b7
366,429,88,1,Tool Crib,0.0,0.0,2008-04-30,K,8,609,2014-08-06,True,2006-06-23,9999-12-31 00:00:00,a053b8ebdbdca9f27b0043549954cd324c2c418af26292b682a518afd04fa413
367,429,88,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,30,504,2014-08-06,True,2006-06-23,9999-12-31 00:00:00,81ea248f5340c4272e02fe5d68aaaa84e289ca7e939f0dfcfb23de53f78d5de5
368,429,88,50,Subassembly,12.25,120.0,2008-04-30,U,7,486,2014-08-06,True,2006-06-23,9999-12-31 00:00:00,91dc9c83124bc288c22dd604eb431e9fbe2d5e6868f033509645ed5bba238daf
369,430,89,1,Tool Crib,0.0,0.0,2008-04-30,K,9,608,2014-08-06,True,2006-06-23,9999-12-31 00:00:00,4a98315712a121a0564b5853ccf1b9a5be7d02e91688d8755f2fd0fd5ab4507d
370,430,89,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,31,502,2014-08-06,True,2006-06-23,9999-12-31 00:00:00,aa544fbc802e0106d644bc65825ea74cee7b360a8ac66b8a6df4088340435807
371,430,89,50,Subassembly,12.25,120.0,2008-04-30,U,8,484,2014-08-06,True,2006-06-23,9999-12-31 00:00:00,8bd2efb796d3073202724055cad0e02aa9a6e49dc4090d6e73bb3266631bb588
372,431,90,1,Tool Crib,0.0,0.0,2008-04-30,K,10,611,2014-08-06,True,2006-06-23,9999-12-31 00:00:00,b02a1b295e957f5dec809a169be7524b8c9849423d79b71e52c7c5c05c3d4f0b
373,431,90,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,32,505,2014-08-06,True,2006-06-23,9999-12-31 00:00:00,110cd6a334099e726f04e4880ae308b1744949cdd25aab7e53a5fd1b0509a850
374,431,90,50,Subassembly,12.25,120.0,2008-04-30,U,9,488,2014-08-06,True,2006-06-23,9999-12-31 00:00:00,410d31050482483ff71b0fdc8c65946dd60086c0bbc24c9f62cfa85554a1dd0b
375,432,91,1,Tool Crib,0.0,0.0,2008-04-30,K,11,614,2014-08-06,True,2006-06-23,9999-12-31 00:00:00,85f542cf726c5928da4c5301f8d706f3f584c5f8e6e77911aa42505f3b3ca70e
376,432,91,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,33,508,2014-08-06,True,2006-06-23,9999-12-31 00:00:00,dbafa9f60c217252053bbb2c7bc11d1710b7d3c35d11d528bb7d3ab2f2ff70a5
377,432,91,50,Subassembly,12.25,120.0,2008-04-30,U,10,491,2014-08-06,True,2006-06-23,9999-12-31 00:00:00,9c13b28a55546c7fb7ed5558eff6f2eb3d7e15803c5082c03cabda6c7c4cc0c5
378,433,92,1,Tool Crib,0.0,0.0,2008-04-30,L,1,617,2014-08-11,True,2006-06-23,9999-12-31 00:00:00,a19492bf73558dfe3398a601b3f1dd866a4e5eef201db754f248e90594439112
379,433,92,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,34,512,2014-08-11,True,2006-06-23,9999-12-31 00:00:00,690fdfb7cc8f99b5209903380cb3b5f8994b1179695fbccd5ed65a6cc51bc086
380,433,92,50,Subassembly,12.25,120.0,2008-04-30,U,11,494,2014-08-11,True,2006-06-23,9999-12-31 00:00:00,98274d2786f09047f7a69e4fe2408604074e3b03607a91a4ab5848cca78ef38c
381,434,93,1,Tool Crib,0.0,0.0,2008-04-30,L,2,620,2014-08-11,True,2006-06-23,9999-12-31 00:00:00,8a8526b31c84dd353f8d36b33710de84459ff823ff66ad985e9870608b7da93c
382,434,93,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,35,515,2014-08-11,True,2006-06-23,9999-12-31 00:00:00,ee45e58b87ea90bebf40316346004474750dca4cf74d4267c45974011283204e
383,434,93,50,Subassembly,12.25,120.0,2008-04-30,U,12,497,2014-08-11,True,2006-06-23,9999-12-31 00:00:00,749b07a97484d708a397cee56aa0ca218926aff8e2fd19b31ed7daaf21b763da
384,435,94,1,Tool Crib,0.0,0.0,2008-04-30,L,3,624,2014-08-11,True,2006-06-23,9999-12-31 00:00:00,49f7764998ef8321d6e3d556d65b82be88f50508772bb564b902eb98cfda7d3e
385,435,94,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,36,518,2014-08-11,True,2006-06-23,9999-12-31 00:00:00,a14e21b14fb0191c5404747bffd1e42695505618bbb672512d8b7f812d1ad455
386,435,94,50,Subassembly,12.25,120.0,2008-04-30,U,13,500,2014-08-11,True,2006-06-23,9999-12-31 00:00:00,86c598a2172c499178c2f997cff7dacfac0af62e47fc9633218a4b45885f13bc
387,436,95,1,Tool Crib,0.0,0.0,2008-04-30,L,4,627,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,a4f300b8d9f7ca6f7e9af8f6f86bb8da96fa09dd12ee21b27e545c96336d7c50
388,436,95,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,37,521,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,67222a1a2555806a1d984fd99616dc64e4fc79e08fb9ee0ff392a4eeac4b0bc2
389,436,95,50,Subassembly,12.25,120.0,2008-04-30,U,14,504,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,91dc97f0d369405e49302be93ad6a580b95b15f481e38867ab166a2d529248ac
390,437,96,1,Tool Crib,0.0,0.0,2008-04-30,L,5,630,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,a0ccb3caf355a04ddc76db6efc821fd13e643ad5012d849ec2abb97950e98bfb
391,437,96,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,38,524,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,bf2c5b66053a2472d12369b80932c53107bd2a0cb56f57518c4d002e10b181af
392,437,96,50,Subassembly,12.25,120.0,2008-04-30,U,15,507,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,c4747d37ab93d1c5c9fdd58621e816e8595ffec829bb010c2013e8e4866faafc
393,438,85,1,Tool Crib,0.0,0.0,2008-04-30,L,6,633,2014-07-24,True,2006-06-23,9999-12-31 00:00:00,2c4a03ec7f391c33717feeb57dcbc4c0f89bbce8ab59ae7727e54b82fe6ac2cb
394,438,85,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,39,528,2014-07-24,True,2006-06-23,9999-12-31 00:00:00,0219935fa3abd0d4d26615b12e9ef86a1549fbb0827ec83523e1266f5d41e2db
395,438,85,50,Subassembly,12.25,120.0,2008-04-30,U,16,510,2014-07-24,True,2006-06-23,9999-12-31 00:00:00,9a2146abe406fcc21b6da7d1068b2eb5975ff5d3fcf2a125e6a4e4ec8a19ca6c
396,439,98,1,Tool Crib,0.0,0.0,2008-04-30,L,7,636,2014-07-24,True,2006-06-23,9999-12-31 00:00:00,39791d8d04275c0b4d7a3ec7fb9fb64aae9965f53237f85a0cc25a265d05bb3c
397,439,98,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,40,531,2014-07-24,True,2006-06-23,9999-12-31 00:00:00,5d72bd2b83ed79cf9c56ce96c41b2e31d900b999844ac3842539f49ffb39ca1b
398,439,98,50,Subassembly,12.25,120.0,2008-04-30,U,17,513,2014-07-24,True,2006-06-23,9999-12-31 00:00:00,976b6aaffebe2170417afe6f959c28e50b6e9168c1f810e978533dd82e91ce31
399,440,99,1,Tool Crib,0.0,0.0,2008-04-30,L,8,640,2014-07-30,True,2006-06-23,9999-12-31 00:00:00,1b29e93e640a9cdeca335390174f41f4203ac04fe1ac72ba05907a06b53f9423
400,440,99,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,41,534,2014-07-30,True,2006-06-23,9999-12-31 00:00:00,93c64425d12f7a629751fe2f4dad64520e908ff335302237432fec0831defa81
401,440,99,50,Subassembly,12.25,120.0,2008-04-30,U,18,516,2014-07-30,True,2006-06-23,9999-12-31 00:00:00,299a65b2ebd323e024df0f620cfc3deaad7247eab54f978fffff9f9a6d9c03dd
402,441,100,1,Tool Crib,0.0,0.0,2008-04-30,L,9,635,2014-07-30,True,2006-06-23,9999-12-31 00:00:00,6671a70eceea0b9edcfab4ced821e7015fe48d8c69e8931c81f3885a43d5c4f0
403,441,100,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,42,529,2014-07-30,True,2006-06-23,9999-12-31 00:00:00,0a32f8f90949fcabb2128d25a6b1fe19738144f13ded571059c6e001948edf7c
404,441,100,50,Subassembly,12.25,120.0,2008-04-30,U,19,512,2014-07-30,True,2006-06-23,9999-12-31 00:00:00,bef6f60d7c94db75e2912b9a71e645272371cd7f2e1b3af9cbaee4ab9e61b1f7
405,442,101,1,Tool Crib,0.0,0.0,2008-04-30,L,10,630,2014-07-30,True,2006-06-23,9999-12-31 00:00:00,2b11a801df0a9b53fb7e7934dc32882e2f9536d00972b65c275d78f32482f0d1
406,442,101,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,43,524,2014-07-30,True,2006-06-23,9999-12-31 00:00:00,cd2984e3ed89d74616735ba3389a73aad77a55576f73bb7bea18f79f144faf5f
407,442,101,50,Subassembly,12.25,120.0,2008-04-30,U,20,507,2014-07-30,True,2006-06-23,9999-12-31 00:00:00,a4b5d962915cb3f3517affee00071a20c1bb9c80f326acf317c680ce8cb02d0e
408,443,102,1,Tool Crib,0.0,0.0,2008-04-30,L,11,625,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,1816b6555940ddb6b5c4b019ebb32719e3383c6a2f236cc41f02c2bf1e79a003
409,443,102,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,44,520,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,64ebdb716fbe2ff6a063e3f9332d075e29b2151cffd4779ba68b352181fe7968
410,443,102,50,Subassembly,12.25,120.0,2008-04-30,U,21,502,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,b0d51b62f36b97042bc0bba865cf9ab8418703fcf5d3b9f4d4064514087490ac
411,444,103,1,Tool Crib,0.0,0.0,2008-04-30,L,12,620,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,13180f995b91e68bfc9f4e0c754cbe44be9a0ac823b9d6dd435405ded5e85466
412,444,103,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,45,515,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,be641653273b667ea63b568fa992998d1a7f3f32b73ee014e8b2b1246ccd0ddc
413,444,103,50,Subassembly,12.25,120.0,2008-04-30,U,22,497,2014-08-04,True,2006-06-23,9999-12-31 00:00:00,5d01d679c3bb84aaee01b49f21b969aab87d6c1b551a65859b746a37165c54f2
414,445,70,1,Tool Crib,0.0,0.0,2008-04-30,H,3,616,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,adf65bf6722d44a9076a326d03cf9279238777e38c209562405a1c5b943c1f44
415,445,70,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,46,510,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,e1f3ce784b7dab24bf97efef7960db46e7a412165d1d9e561f8c8c693dadb370
416,445,70,50,Subassembly,12.25,120.0,2008-04-30,U,23,492,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,ddc634960550afdd6a051fd3b8024db4b452217bc3a15177daeb7100525041a8
417,446,105,1,Tool Crib,0.0,0.0,2008-04-30,H,4,611,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,5e2cc1b3c6b9b5358fe3a3c59bd8bc3e5d0154e15a9222c844081186622f6b27
418,446,105,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,47,505,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,2abb656db6ccec1390cc0f87ee3c7e4db0b99bbe560569f52e51a75a5a25c3af
419,446,105,50,Subassembly,12.25,120.0,2008-04-30,U,24,488,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,87f3f8ed983726e2336d29e6a5266d5a47cd8b6bdceafd41c97d834fb5961316
420,447,106,1,Tool Crib,0.0,0.0,2008-04-30,H,5,606,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,f78996c88d5429b81442c299fc918b7efa857f94ba03346d4bb3b0831adfd799
421,447,106,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,48,500,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,2aa0b4e1f542991c87e72b5da970893171dc201efff37b80353954e834941940
422,447,106,50,Subassembly,12.25,120.0,2008-04-30,U,25,483,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,13052f6c25232a0f5fb4f516080d08659c3fb66b688450c3a2833e2de2403b04
423,448,107,1,Tool Crib,0.0,0.0,2008-04-30,H,6,601,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,1297cc723d350b76301b860e519c90d31d7e38b2ac057f94f71e74af69e30a0d
424,448,107,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,49,496,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,ed0a9df0f4d174d8b7ec558b818a19f8ed06bb61af73dd65f30323306b44cdeb
425,448,107,50,Subassembly,12.25,120.0,2008-04-30,U,26,478,2014-08-09,True,2006-06-23,9999-12-31 00:00:00,4c13acbb2b005c9b46a1810146d658afec906e29606a2fac775f25dc101e4d0b
426,449,108,1,Tool Crib,0.0,0.0,2008-04-30,H,7,596,2014-07-27,True,2006-06-23,9999-12-31 00:00:00,c29bee0bbf36d667a4d81c4a7dd3e26fc76639f2315e88faa1dc9e271ab7bcde
427,449,108,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,50,491,2014-07-27,True,2006-06-23,9999-12-31 00:00:00,870fec01a40d225f89cfc89aaf665637d9eb2adc9aa34d759d7509e7ad9156c6
428,449,108,50,Subassembly,12.25,120.0,2008-04-30,U,27,473,2014-07-27,True,2006-06-23,9999-12-31 00:00:00,18be860902d12920309fb1a98de1615d240ffac938edce6278f41fb5647bb226
429,450,97,1,Tool Crib,0.0,0.0,2008-04-30,H,8,592,2014-08-02,True,2006-06-23,9999-12-31 00:00:00,e14473723b9caf4a552fcdf8671dba9acf0d8f680036a89fd548a9854399807d
430,450,97,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,51,486,2014-08-02,True,2006-06-23,9999-12-31 00:00:00,aca5cfa7ac4659d9f048982e8419258b1b340e7938735663fb6cb91730bdd7a7
431,450,97,50,Subassembly,12.25,120.0,2008-04-30,U,28,468,2014-08-02,True,2006-06-23,9999-12-31 00:00:00,26f58f914b4824968d945188282d15a3a698d049980f93fe62242b273410d00e
432,451,62,1,Tool Crib,0.0,0.0,2008-04-30,H,9,595,2014-08-02,True,2006-06-23,9999-12-31 00:00:00,86cd54b6f98271de439df65bdf33c7fbb45f6ed4f515d7b4e56eaceabf054253
433,451,62,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,52,489,2014-08-02,True,2006-06-23,9999-12-31 00:00:00,5abed481f5f0cfef5f40c3e198e7843c81cde358d79e7e1166f4afe5365e29fb
434,451,62,50,Subassembly,12.25,120.0,2008-04-30,U,29,472,2014-08-02,True,2006-06-23,9999-12-31 00:00:00,f250727067d01cbac954c2abdfd432fd670a862c484723569fb8c6a572a5d497
435,452,69,1,Tool Crib,0.0,0.0,2008-04-30,H,10,598,2014-08-02,True,2006-06-23,9999-12-31 00:00:00,05c84bd964a275cbed6828539407b41b98970145d5fea63e6f3d2c4feb203aa1
436,452,69,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,53,492,2014-08-02,True,2006-06-23,9999-12-31 00:00:00,2e10336441512fbc4e32377634c30752d3616e20cdd6f9c00b2c0d7a0552f26f
437,452,69,50,Subassembly,12.25,120.0,2008-04-30,U,30,475,2014-08-02,True,2006-06-23,9999-12-31 00:00:00,c31e4ef1e0b792d60bcaedb0e21379f7052ae93102fbd7eee5ae7d1bb8c93045
438,453,68,1,Tool Crib,0.0,0.0,2008-04-30,H,11,601,2014-08-02,True,2006-06-23,9999-12-31 00:00:00,c160b0cb971e9c764659357f3164df41dc7e1824c8bff682e2b28f9b8829fde4
439,453,68,6,Miscellaneous Storage,0.0,0.0,2008-04-30,G,54,496,2014-08-02,True,2006-06-23,9999-12-31 00:00:00,dbe5ee5b02e00709483bc96cf648e6028cdffd8ea64492f63c58e26aa4a30149
440,453,68,50,Subassembly,12.25,120.0,2008-04-30,U,31,478,2014-08-02,True,2006-06-23,9999-12-31 00:00:00,7c039b0432e5959d6d1562757650e954568ff3c728a5c888c0543bc4f3b18655
