WORKORDERROUTINGKEY,WORKORDERID,PRODUCTID,PRODUCTKEY,OPERATIONSEQUENCE,LOCATIONID,LOCATIONNAME,COSTRATE,AVAILABILITY,LOCATIONMODIFIEDDATE,SCHEDULEDSTARTDATE,SCHEDULEDENDDATE,ACTUALSTARTDATE,ACTUALENDDATE,ACTUALRESOURCEHRS,PLANNEDCOST,ACTUALCOST,ROUTINGMODIFIEDDATE,SCRAPREASONNAME,SCRAPMODIFIEDDATE,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
6980,8676,750,313,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,4.0,49.0,49.0,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,4e5e5a22eda8b4ad4dfe3918dbd2ea5b849c029cf19f9bf17845294a55c5b7f0
6981,8677,751,314,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,4.0,49.0,49.0,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,510424e4860bf2e15683ad54c0fe040080ee1ffd3c39596111af77f32dbbb3cc
6982,8678,752,315,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,4.0,49.0,49.0,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,43c9c250633f04205ff8b7fa7ea19dd286da2b6277223c64c0ce73e6a5363fbf
6983,8679,753,316,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,4.0,49.0,49.0,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,81c9fb14b21883d461ac3b33c9131c759840a038e8b4aefe785d76dc1819021b
6984,8680,764,346,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,4.0,49.0,49.0,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,37a8ed642176ad009cf2fac4f1c1ddc6ce3d714ec72ffa3103ca0cefb86ba163
6985,8681,772,11,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,4.0,49.0,49.0,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,e271b15afa551b53c3c1ee6f9a3d0d3878c3f2a809eb1f88822d658bb99e3301
6986,8682,516,54,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,c7a7abd2136b911aa9284108ced62ecbf6fa070e0131567ea5cb664edc6fa849
6987,8682,516,54,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,4.0,49.0,49.0,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,590f31e28a5722c434179764137c96fe6e7957d90512a97bf51e1c3c0d3095e5
6988,8683,517,59,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,12f21d1d159469300b83cbff17dffa1e93d44def1b6f1c941a2c5b5f153da903
6989,8683,517,59,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,4.0,49.0,49.0,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,e1aea7242e9847888aa3d9937610a9416f399a3a4773222ef9d21a995c4d743d
6990,8684,519,52,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,08962d465b4baadbb78f75e1100d02bf732e9755a5dec0f4bca0312e497ec231
6991,8684,519,52,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,4.0,49.0,49.0,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,eb1a12b964a89450bbdb533b7522fa5a17e1b015ef605a536e68140d6b5f7644
6992,8691,806,467,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,764071f54d0eda09e143d766aa0e20e816c513c3eb5956d68b586492f1af2210
6993,8692,807,466,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,d96cbe5db8aa865ec6c4dbda6f1c5301963243d35d634001232e9dd56499d519
6994,8693,810,448,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,4.1,92.25,92.25,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,e49d36172e5b9a5bb63d0d417f03ca46a6610744802ba694b09e953dc6ce3f23
6995,8693,810,448,2,20,Frame Welding,25.0,108.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.5,87.5,87.5,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,0d43bace507423f6ce457af2d7ef4e827a48d8cc3af51f980950ecf59dfdfea0
6996,8693,810,448,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,8d303ae70d24da9bade47bed77c65c3e6d2d9fd086846ceb6cd130dafa9d4bc7
6997,8694,811,455,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,4.1,92.25,92.25,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,523751ba9c86f89095d0b21f49fe1b98949be4075a2b34dfffb08676a69c44f4
6998,8694,811,455,2,20,Frame Welding,25.0,108.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.5,87.5,87.5,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,df327e8fa121cc06fa6562feb47df6f1bf8a7ee00d3a3928496a45c68d30d01e
6999,8694,811,455,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,ff5a143b7834acb616c4bfa0fc24349d31f932cea136c6488962fa07320f9f1c
7000,8695,813,449,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,4.1,92.25,92.25,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,776eae2ac9250d1b75534a7864b3a9db077c22daf18de15453d30c71c3e93568
7001,8695,813,449,2,20,Frame Welding,25.0,108.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.5,87.5,87.5,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,15a1c276e585bfba648a2d01da3bd3d30df08b031df0da6ee9bc24f63ad17cb6
7002,8695,813,449,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,ea484ae969dbd4f6ce5bd345ad04fa69e59a95018c62e63e8f568d4e0a97bb5f
7003,8696,817,475,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,d7778da63ba67d2e5fe4676839e91192ac16f922b608b696816fe146b868500e
7004,8697,818,484,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,3d1c5c244613920f3e85efe331b33959ba814fcf1f0d89aa6cddbdc7f2b58296
7005,8698,820,473,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,3be07c5bd7330ba8e0833e963c6c8ab81db03f37189d55bffda52723e619a81a
7006,8699,825,474,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,09f1c69a6e61d15d2a975852484689da407e37d4a16c4c34889b5b5e110c7ed1
7007,8700,826,482,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,8f244aea530f1e5ae00ea12ef963148b72776d3ffb9c0529558a3e12be524f40
7008,8701,828,472,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,be6ae1fc6d98b68b47c06157c9466524bfcce241d47b9459885ed744daca3090
7009,8702,894,47,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,3d028ac4edcf088fa6d0cc01f11c71f2e26778ba4ae9e220b5343b105392ce6a
7010,8703,945,48,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,4.1,92.25,92.25,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,e4cae2576f84f3fbd267f114f672871ded520b1f7c79ae94ee5209f7c640386b
7011,8703,945,48,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,b19150507aebb26d3b030de5f90fc2a2fd8b345ed66ffd85c17c65f37945e20b
7012,8704,950,306,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,bff86ed232778a610478bcabd2b2878505e248a66aa9eb93bfb9f1d5af469492
7013,8705,951,305,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,3dc9f24a5881ac0446a8dce0f8a3d452576103fb0aa52bc7bf97cf99e1108f3c
7014,8706,994,427,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,6df27b91ebae511268a7a6ac3c73217e0b5a63a86206bedba930b98802ccba5c
7015,8707,996,425,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,2228b21215b19874e81f7be2ba5a34691b5b3e89d8a86b68ceb0c6a89e8ab71c
7016,8721,802,3,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,4.1,92.25,92.25,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,5a1d4ea2e7edca21093648811b9961a812d81b967579f6c3ea77906604427ff8
7017,8721,802,3,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,dc0614ca92ad47510e5bca0bf9e4abff8adc28d3362a6585f548799547de32b7
7018,8722,804,1,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,4.1,92.25,92.25,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,029feec2c16068534bc7ae4f5adad8325f9faf752331a8431b0f11f018450d46
7019,8722,804,1,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-27,2012-01-07,2012-01-13,2012-01-14,3.0,36.75,36.75,2012-01-14,,,True,2006-06-23,9999-12-31 00:00:00,ede190842ff7af9e54f94ff622d230f322cc1969124e79f564a4fbb748963682
7020,8727,753,316,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,4.0,49.0,49.0,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,36a81866ce018dc990a3ffc2a7b8e1a27c3a827c1dfa67a04ccc1c28f15f5de3
7021,8728,760,350,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,4.0,49.0,49.0,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,5fd256e2660b6783fa05e049a11fee05a1f0a90f403656f6bf6c532064bcb041
7022,8729,768,342,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,4.0,49.0,49.0,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,5b219ddb1a29ab0c9f24e3995963c4540b6d5f40d550d0bec1ef9212b71f3cd6
7023,8730,770,340,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,4.0,49.0,49.0,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,b03831e2501c883cbd3b7e7852d7053709a87122a6f5964eae8ee7f15bc17aeb
7024,8731,517,59,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,3.0,36.75,36.75,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,5c225b0d41d1b5f4aa9b72f0ddb593ce6e210bcb29ff827c9548547b6b462371
7025,8731,517,59,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,4.0,49.0,49.0,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,0c706bebc0e35e37f6913b8e3332f51ac8844f880822b7bfa1e039f40f509ecd
7026,8732,519,52,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,3.0,36.75,36.75,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,0107f5a2f927a6d50ac7fe7d27413a495caa0993e5be43e79b079a6bc288e0eb
7027,8732,519,52,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,4.0,49.0,49.0,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,1649a2ed9c00839747c5b1f1c73b35c870d7775bdad7e48fddd6a08602520db5
7028,8737,806,467,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,3.0,36.75,36.75,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,e7eeeefcd1f713178df6af8d657f14c913ca07d1f7d06634a150fa5b3705ae4b
7029,8738,807,466,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,3.0,36.75,36.75,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,ba35c6a3a85b3f15226559c776699a7568570e0b42f52f1bf5f7617cb0a22e9c
7030,8739,811,455,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,4.1,92.25,92.25,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,e0adff29198343e6847106e9d9681bc5adee5b16dda392e2a2fb1f385a95e12b
7031,8739,811,455,2,20,Frame Welding,25.0,108.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,3.5,87.5,87.5,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,259821297093662908af719c17f00b3881b5a2631e4049d5383e16db04e3e4fe
7032,8739,811,455,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,3.0,36.75,36.75,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,d07af83c5d3e0ef54d575c056e57d7fd55c4832c157ca0a57f73d5f0200ab8e9
7033,8740,813,449,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,4.1,92.25,92.25,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,4ea9ee0b95fa8fb7ff03fe9766179cab43c7ff0b306faba7260e4eb4453c8e74
7034,8740,813,449,2,20,Frame Welding,25.0,108.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,3.5,87.5,87.5,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,4c0c793f33c6bd579f9ae58ef43d9a411be773083dbe6721d27717a16084baf2
7035,8740,813,449,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,3.0,36.75,36.75,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,976fb5f86536c6f6efbbef8e92564e6329561b2634a435e4d8a892ac1b3b9b8c
7036,8741,818,484,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,3.0,36.75,36.75,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,2e3fa5afbc88fb19c608209fea13fa592204de1dba70c62f9d26defb0ea251cd
7037,8742,820,473,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,3.0,36.75,36.75,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,6859f06d7b45a2f70a0c0ea4680e9ddaed3c553cd4de508467217ed698a5eb60
7038,8743,826,482,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,3.0,36.75,36.75,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,6749e1528762f0e46c8a3442a6365aed39cbbd3c65eaea78e33fa03a0acbdafe
7039,8744,828,472,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,3.0,36.75,36.75,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,62f758156ac66423eac28b598cf68df3b23f7393077bd285da1908ae752fcd28
7040,8745,894,47,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,3.0,36.75,36.75,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,7e1648b85d22edac2069b58c4c944d6fa51fce63e896dbddd4f005e556c114d4
7041,8746,945,48,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,4.1,92.25,92.25,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,4271f57a1c1a4bde777372500720b60012f2da36030a779a5336a90e103aba45
7042,8746,945,48,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,3.0,36.75,36.75,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,63b1999ab0f1eb549773c398142e4407239ff8966a90e51841cf2fbf42428d82
7043,8747,950,306,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,3.0,36.75,36.75,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,e42e0d42894ea54a112537d9e9aaa4d8010006daa88ee28454cc2cb7e7d4ba14
7044,8748,951,305,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,3.0,36.75,36.75,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,6eb8708c9b506491e00edfba4f758989867f86be19bb6e488bc33d941a60c17e
7045,8749,994,427,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,3.0,36.75,36.75,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,ceb6dabc94e4c23fbea8fe40eaada6747038f0ea7bfd262465b1e7566f054fc1
7046,8750,996,425,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,3.0,36.75,36.75,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,5e0b4b37ef6b1edc275efaecfe3a5ee2ee721919ffd5adb35ec1e94fa82ee890
7047,8763,802,3,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,4.1,92.25,92.25,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,8ec395877ca988990e285fb0c300c8c1e2743819f5ac4f0ee42defd117852741
7048,8763,802,3,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,3.0,36.75,36.75,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,aa94cbb5feb9d74b954f202700ffa83422ab44bfc6336ed9d9e03ffa9b87c4a1
7049,8764,804,1,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,4.1,92.25,92.25,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,6e9a9050153ffcf437051703603526c01411895a833c36e9dc178c8adbc0bc24
7050,8764,804,1,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-28,2012-01-08,2011-12-28,2012-01-08,3.0,36.75,36.75,2012-01-08,,,True,2006-06-23,9999-12-31 00:00:00,a93a9b2146e295d4ec43a50f2deb7f0eb3d7ce941749413f1a08693991fa02cf
7051,8769,749,317,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-29,2012-01-09,2012-01-17,2012-01-18,4.0,49.0,49.0,2012-01-18,,,True,2006-06-23,9999-12-31 00:00:00,d7b9b098fbc6ae9fc3ae33ce61d9a681e7506fc58636cf15fc8a65c2911d5d05
7052,8770,752,315,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-29,2012-01-09,2012-01-17,2012-01-18,4.0,49.0,49.0,2012-01-18,,,True,2006-06-23,9999-12-31 00:00:00,3993257e3e6743f72e3aca459a032ca4a9dda5c0979af01570266c166b208559
7053,8771,753,316,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-29,2012-01-09,2012-01-17,2012-01-18,4.0,49.0,49.0,2012-01-18,,,True,2006-06-23,9999-12-31 00:00:00,c87e34b6020ece60be8dd3aa7d44864f6e5ef0b7be137bdebb5ef99a45ca50ed
7054,8772,771,14,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-29,2012-01-09,2012-01-17,2012-01-18,4.0,49.0,49.0,2012-01-18,,,True,2006-06-23,9999-12-31 00:00:00,5db9d748cbde7c437a22083ffebb7234925b1ddf51fe597ea393a64f79ab1ccd
7055,8773,776,16,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-29,2012-01-09,2012-01-17,2012-01-18,4.0,49.0,49.0,2012-01-18,,,True,2006-06-23,9999-12-31 00:00:00,06761c1131b6d9dc072498b1786904eb3daf50d198f409f6ecb0d308770add99
7056,8774,516,54,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-29,2012-01-09,2012-01-17,2012-01-18,3.0,36.75,36.75,2012-01-18,,,True,2006-06-23,9999-12-31 00:00:00,fa049d63fda12041ec956db77e577272c6535f33ce757e2d6bd2b5a0045e441c
7057,8774,516,54,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-29,2012-01-09,2012-01-17,2012-01-18,4.0,49.0,49.0,2012-01-18,,,True,2006-06-23,9999-12-31 00:00:00,41ce83e035ce4d138c1f7dbcfa33f7009dfafca34f9631b909da0b754bd4ddb9
7058,8775,519,52,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-29,2012-01-09,2012-01-17,2012-01-18,3.0,36.75,36.75,2012-01-18,,,True,2006-06-23,9999-12-31 00:00:00,e909bfa31deb3df9100c104852a34902609412445c49c9b4909440a96ba9446d
7059,8775,519,52,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-29,2012-01-09,2012-01-17,2012-01-18,4.0,49.0,49.0,2012-01-18,,,True,2006-06-23,9999-12-31 00:00:00,cca5e596604c2715b31320531cc757d60a279d811f5cb5d78d3d32a9ae2debda
7060,8780,748,400,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-12-29,2012-01-09,2012-01-17,2012-01-18,4.1,92.25,92.25,2012-01-18,,,True,2006-06-23,9999-12-31 00:00:00,1da542865b6755ea89d361a5a808176155524c73aab5d38be934f70a01b8622e
7061,8780,748,400,2,20,Frame Welding,25.0,108.0,2008-04-30,2011-12-29,2012-01-09,2012-01-17,2012-01-18,3.5,87.5,87.5,2012-01-18,,,True,2006-06-23,9999-12-31 00:00:00,b87dcb07c0d1d81f67a439330a0f815b94f9f32cac79dc9af21e8681d16678af
7062,8780,748,400,3,30,Debur and Polish,14.5,120.0,2008-04-30,2011-12-29,2012-01-09,2012-01-17,2012-01-18,1.0,14.5,14.5,2012-01-18,,,True,2006-06-23,9999-12-31 00:00:00,063dd8627a019249d276da8b1a3123551681efc20ee47a05817a810a43d3da17
7063,8780,748,400,5,45,Specialized Paint,18.0,80.0,2008-04-30,2011-12-29,2012-01-09,2012-01-17,2012-01-18,2.0,36.0,36.0,2012-01-18,,,True,2006-06-23,9999-12-31 00:00:00,a2dd5f270514630bf808886cc815fb1c85bdb72bf1615a3fbd2597e8bc0b67ff
7064,8780,748,400,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-29,2012-01-09,2012-01-17,2012-01-18,3.0,36.75,36.75,2012-01-18,,,True,2006-06-23,9999-12-31 00:00:00,61d6aaa7640436c24119ca1d14b9f04ec1ead35b51d1bf9d86cbc0ee325a9fd9
7065,8780,748,400,7,60,Final Assembly,12.25,120.0,2008-04-30,2011-12-29,2012-01-09,2012-01-17,2012-01-18,4.0,49.0,49.0,2012-01-18,,,True,2006-06-23,9999-12-31 00:00:00,e5aec2e8bc66a3dc57099fbb2d993ba8c2c328aed27dbe4351bd777a04fd5961
7066,8781,807,466,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-29,2012-01-09,2012-01-17,2012-01-18,3.0,36.75,36.75,2012-01-18,,,True,2006-06-23,9999-12-31 00:00:00,a57e92e589db90420ecef90571473399a7d6907f37c0a97a9bef69746e4d3137
7067,8782,810,448,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-12-29,2012-01-09,2012-01-17,2012-01-18,4.1,92.25,92.25,2012-01-18,,,True,2006-06-23,9999-12-31 00:00:00,ef211ac7554aca0367ce9d749a9b4642379e7f8249edf3e215552503717a8aca
7068,8782,810,448,2,20,Frame Welding,25.0,108.0,2008-04-30,2011-12-29,2012-01-09,2012-01-17,2012-01-18,3.5,87.5,87.5,2012-01-18,,,True,2006-06-23,9999-12-31 00:00:00,42bb210a1087a9a6d24f19a79e930e5aa78a7d4f8269f419c81e700949b6b74a
7069,8782,810,448,6,50,Subassembly,12.25,120.0,2008-04-30,2011-12-29,2012-01-09,2012-01-17,2012-01-18,3.0,36.75,36.75,2012-01-18,,,True,2006-06-23,9999-12-31 00:00:00,8117ac5bfbcd9c49cf8d4ae41171babfdb63dca9567e580ff254c60a3816a2cf
7070,8783,813,449,1,10,Frame Forming,22.5,96.0,2008-04-30,2011-12-29,2012-01-09,2012-01-17,2012-01-18,4.1,92.25,92.25,2012-01-18,,,True,2006-06-23,9999-12-31 00:00:00,5d085c583524879d23394eddb86a810604db419aff42cbf94177838435411afb
