SALESORDERDETAILKEY,SALESORDERID,SALESORDERDETAILID,CARRIERTRACKINGNUMBER,ORDERQTY,PRODUCTKEY,SPECIALOFFERKEY,SALESORDERHEADERKEY,UNITPRICE,UNITPRICEDISCOUNT,LINETOTAL,TOTALORDERQTYPERORDER,TOTALLINETOTALPERORDER,PRODUCTRANKINORDER,DETAILMODIFIEDDATE,ISCURRENT
48045,48789,25445,1906-4270-BC,6,349,6,5623,469.79,0.0,2818.76,21,9865.67,1,2012-11-30,True
48046,48789,25447,1906-4270-BC,4,350,6,5623,469.79,0.0,1879.18,21,9865.67,3,2012-11-30,True
48047,48789,25446,1906-4270-BC,2,347,6,5623,469.79,0.0,939.59,21,9865.67,4,2012-11-30,True
48048,48789,25448,1906-4270-BC,2,345,6,5623,469.79,0.0,939.59,21,9865.67,4,2012-11-30,True
48049,48789,25443,1906-4270-BC,1,348,6,5623,469.79,0.0,469.79,21,9865.67,6,2012-11-30,True
48050,66309,92991,,1,354,6,27796,539.99,0.0,539.99,2,603.49,1,2014-02-13,True
48051,66309,92992,,1,49,6,27796,63.5,0.0,63.5,2,603.49,2,2014-02-13,True
48052,47901,19846,,1,20,6,4771,2071.42,0.0,2071.42,1,2071.42,1,2012-09-21,True
48053,45021,5135,,1,15,6,1892,3374.99,0.0,3374.99,1,3374.99,1,2011-11-28,True
48054,61360,77334,,1,22,6,22845,2294.99,0.0,2294.99,5,2419.96,1,2013-12-01,True
48055,61360,77338,,1,396,6,22845,49.99,0.0,49.99,5,2419.96,2,2013-12-01,True
48056,61360,77336,,1,494,6,22845,35.0,0.0,35.0,5,2419.96,3,2013-12-01,True
48057,61360,77337,,1,311,6,22845,34.99,0.0,34.99,5,2419.96,4,2013-12-01,True
48058,61360,77335,,1,501,6,22845,4.99,0.0,4.99,5,2419.96,5,2013-12-01,True
48059,74467,119828,,1,312,6,35966,21.98,0.0,21.98,4,44.91,1,2014-06-09,True
48060,74467,119830,,1,443,6,35966,9.99,0.0,9.99,4,44.91,2,2014-06-09,True
48061,74467,119831,,1,548,6,35966,7.95,0.0,7.95,4,44.91,3,2014-06-09,True
48062,74467,119829,,1,445,6,35966,4.99,0.0,4.99,4,44.91,4,2014-06-09,True
48063,46140,9451,,1,17,6,3014,3374.99,0.0,3374.99,1,3374.99,1,2012-04-02,True
48064,71044,108753,,1,445,6,32601,4.99,0.0,4.99,1,4.99,1,2014-04-20,True
48065,51048,35525,,1,20,6,7915,2071.42,0.0,2071.42,1,2071.42,1,2013-05-26,True
48066,45436,6674,,1,314,6,2311,3578.27,0.0,3578.27,1,3578.27,1,2012-01-14,True
48067,60469,73982,,1,393,6,22017,49.99,0.0,49.99,2,53.98,1,2013-11-19,True
48068,60469,73981,,1,503,6,22017,3.99,0.0,3.99,2,53.98,2,2013-11-19,True
48069,66651,93826,,1,30,6,28196,769.49,0.0,769.49,2,819.48,1,2014-02-19,True
48070,66651,93827,,1,393,6,28196,49.99,0.0,49.99,2,819.48,2,2014-02-19,True
48071,73713,118011,,1,352,6,35180,539.99,0.0,539.99,4,556.26,1,2014-05-24,True
48072,73713,118012,,1,444,6,35180,8.99,0.0,8.99,4,556.26,2,2014-05-24,True
48073,73713,118013,,1,445,6,35180,4.99,0.0,4.99,4,556.26,3,2014-05-24,True
48074,73713,118014,,1,504,6,35180,2.29,0.0,2.29,4,556.26,4,2014-05-24,True
48075,73979,118664,,1,311,6,35469,34.99,0.0,34.99,2,38.98,1,2014-05-28,True
48076,73979,118663,,1,503,6,35469,3.99,0.0,3.99,2,38.98,2,2014-05-28,True
48077,68927,101045,,1,19,6,30447,2319.99,0.0,2319.99,4,2369.96,1,2014-03-24,True
48078,68927,101048,,1,310,6,30447,34.99,0.0,34.99,4,2369.96,2,2014-03-24,True
48079,68927,101046,,1,443,6,30447,9.99,0.0,9.99,4,2369.96,3,2014-03-24,True
48080,68927,101047,,1,445,6,30447,4.99,0.0,4.99,4,2369.96,4,2014-03-24,True
48081,53325,46427,,1,494,6,13001,35.0,0.0,35.0,1,35.0,1,2013-07-28,True
48082,46116,9427,,1,345,6,2926,699.1,0.0,699.1,1,699.1,1,2012-03-30,True
48083,63035,81489,,1,503,6,24527,3.99,0.0,3.99,1,3.99,1,2013-12-29,True
48084,68586,100177,,1,502,6,30069,4.99,0.0,4.99,2,7.28,1,2014-03-19,True
48085,68586,100178,,1,504,16,30069,2.29,0.0,2.29,2,7.28,2,2014-03-19,True
48086,46371,10259,22CF-4A21-AC,1,330,6,3206,874.79,0.0,874.79,2,903.63,1,2012-04-30,True
48087,46371,10258,22CF-4A21-AC,1,395,6,3206,28.84,0.0,28.84,2,903.63,2,2012-04-30,True
48088,52072,43390,,1,310,6,11779,34.99,0.0,34.99,3,49.97,1,2013-07-04,True
48089,52072,43388,,1,443,6,11779,9.99,0.0,9.99,3,49.97,2,2013-07-04,True
48090,52072,43389,,1,445,6,11779,4.99,0.0,4.99,3,49.97,3,2013-07-04,True
48091,74690,120299,,1,499,6,36224,24.99,0.0,24.99,3,31.27,1,2014-06-17,True
48092,74690,120298,,1,503,6,36224,3.99,0.0,3.99,3,31.27,2,2014-06-17,True
48093,74690,120300,,1,504,6,36224,2.29,0.0,2.29,3,31.27,3,2014-06-17,True
48094,54867,53532,,1,319,6,14542,2443.35,0.0,2443.35,4,2482.23,1,2013-08-22,True
48095,54867,53533,,1,495,6,14542,32.6,0.0,32.6,4,2482.23,2,2013-08-22,True
48096,54867,53534,,1,503,6,14542,3.99,0.0,3.99,4,2482.23,3,2013-08-22,True
48097,54867,53535,,1,504,6,14542,2.29,0.0,2.29,4,2482.23,4,2013-08-22,True
48098,49589,28923,,1,24,16,6471,2049.1,0.0,2049.1,1,2049.1,1,2013-02-01,True
48099,51446,38501,,1,338,6,8322,1120.49,0.0,1120.49,2,1155.48,1,2013-06-15,True
48100,51446,38502,,1,310,6,8322,34.99,0.0,34.99,2,1155.48,2,2013-06-15,True
48101,53125,45934,,1,526,6,12797,742.35,0.0,742.35,4,851.82,1,2013-07-24,True
48102,53125,45936,,1,394,6,12797,49.99,0.0,49.99,4,851.82,2,2013-07-24,True
48103,53125,45935,,1,310,6,12797,34.99,0.0,34.99,4,851.82,3,2013-07-24,True
48104,53125,45937,,1,432,6,12797,24.49,0.0,24.49,4,851.82,4,2013-07-24,True
48105,47768,19713,,1,320,6,4640,2181.56,0.0,2181.56,1,2181.56,1,2012-09-04,True
48106,47676,18659,5DD7-4A1E-9B,4,19,6,4598,1242.85,0.0,4971.41,67,29482.06,1,2012-08-30,True
48107,47676,18658,5DD7-4A1E-9B,6,26,6,4598,647.99,0.0,3887.96,67,29482.06,2,2012-08-30,True
48108,47676,18655,5DD7-4A1E-9B,6,27,6,4598,647.99,0.0,3887.96,67,29482.06,2,2012-08-30,True
48109,47676,18661,5DD7-4A1E-9B,3,21,6,4598,1242.85,0.0,3728.56,67,29482.06,4,2012-08-30,True
48110,47676,18654,5DD7-4A1E-9B,5,28,6,4598,647.99,0.0,3239.97,67,29482.06,5,2012-08-30,True
48111,47676,18656,5DD7-4A1E-9B,2,20,6,4598,1242.85,0.0,2485.7,67,29482.06,6,2012-08-30,True
48112,47676,18649,5DD7-4A1E-9B,2,24,6,4598,1229.46,0.0,2458.92,67,29482.06,7,2012-08-30,True
48113,47676,18653,5DD7-4A1E-9B,8,411,6,4598,209.26,0.0,1674.05,67,29482.06,8,2012-08-30,True
48114,47676,18651,5DD7-4A1E-9B,1,400,6,4598,744.27,0.0,744.27,67,29482.06,9,2012-08-30,True
48115,47676,18652,5DD7-4A1E-9B,1,25,6,4598,647.99,0.0,647.99,67,29482.06,10,2012-08-30,True
48116,47676,18644,5DD7-4A1E-9B,3,479,6,4598,141.62,0.0,424.85,67,29482.06,11,2012-08-30,True
48117,47676,18646,5DD7-4A1E-9B,2,412,6,4598,209.26,0.0,418.51,67,29482.06,12,2012-08-30,True
48118,47676,18647,5DD7-4A1E-9B,1,414,6,4598,209.26,0.0,209.26,67,29482.06,13,2012-08-30,True
48119,47676,18643,5DD7-4A1E-9B,8,429,6,4598,22.79,0.0,182.35,67,29482.06,14,2012-08-30,True
48120,47676,18657,5DD7-4A1E-9B,7,430,6,4598,22.79,0.0,159.56,67,29482.06,15,2012-08-30,True
48121,47676,18660,5DD7-4A1E-9B,2,448,6,4598,65.6,0.0,131.2,67,29482.06,16,2012-08-30,True
48122,47676,18650,5DD7-4A1E-9B,3,485,6,4598,36.45,0.0,109.34,67,29482.06,17,2012-08-30,True
48123,47676,18645,5DD7-4A1E-9B,2,451,6,4598,33.77,0.0,67.55,67,29482.06,18,2012-08-30,True
48124,47676,18648,5DD7-4A1E-9B,1,483,6,4598,52.65,0.0,52.65,67,29482.06,19,2012-08-30,True
48125,66033,92314,,1,309,6,27591,34.99,0.0,34.99,2,38.98,1,2014-02-09,True
48126,66033,92313,,1,503,6,27591,3.99,0.0,3.99,2,38.98,2,2014-02-09,True
48127,72603,115208,,1,394,6,34148,49.99,0.0,49.99,4,89.46,1,2014-05-10,True
48128,72603,115209,,1,432,6,34148,24.49,0.0,24.49,4,89.46,2,2014-05-10,True
48129,72603,115206,,1,443,6,34148,9.99,0.0,9.99,4,89.46,3,2014-05-10,True
48130,72603,115207,,1,445,6,34148,4.99,0.0,4.99,4,89.46,4,2014-05-10,True
48131,52815,45203,,1,500,6,12494,21.49,0.0,21.49,2,30.48,1,2013-07-18,True
48132,52815,45204,,1,43,6,12494,8.99,0.0,8.99,2,30.48,2,2013-07-18,True
48133,48529,24304,,1,23,6,5398,2049.1,0.0,2049.1,1,2049.1,1,2012-11-10,True
48134,44837,4951,,1,314,6,1715,3578.27,0.0,3578.27,1,3578.27,1,2011-11-05,True
48135,72917,116036,,1,335,6,34368,1120.49,0.0,1120.49,2,1155.48,1,2014-05-14,True
48136,72917,116037,,1,311,6,34368,34.99,0.0,34.99,2,1155.48,2,2014-05-14,True
48137,50697,34354,0391-478C-A1,4,22,6,7645,1229.46,0.0,4917.84,26,7866.77,1,2013-04-30,True
48138,50697,34358,0391-478C-A1,2,23,6,7645,1229.46,0.0,2458.92,26,7866.77,2,2013-04-30,True
48139,50697,34357,0391-478C-A1,6,471,6,7645,44.99,0.0,269.96,26,7866.77,3,2013-04-30,True
48140,50697,34359,0391-478C-A1,4,395,6,7645,28.84,0.0,115.36,26,7866.77,4,2013-04-30,True
48141,50697,34355,0391-478C-A1,2,429,6,7645,22.79,0.0,45.59,26,7866.77,5,2013-04-30,True
48142,50697,34360,0391-478C-A1,7,43,6,7645,5.19,0.0,36.31,26,7866.77,6,2013-04-30,True
48143,50697,34356,0391-478C-A1,1,428,6,7645,22.79,0.0,22.79,26,7866.77,7,2013-04-30,True
48144,46469,10531,,1,345,6,3343,699.1,0.0,699.1,1,699.1,1,2012-05-11,True
48145,55600,56866,,1,23,6,15277,2294.99,0.0,2294.99,3,2351.96,1,2013-09-03,True
48146,55600,56868,,1,310,6,15277,34.99,0.0,34.99,3,2351.96,2,2013-09-03,True
48147,55600,56867,,1,312,6,15277,21.98,0.0,21.98,3,2351.96,3,2013-09-03,True
48148,68005,98730,,1,320,6,29487,2443.35,0.0,2443.35,4,2482.23,1,2014-03-10,True
48149,68005,98731,,1,495,6,29487,32.6,0.0,32.6,4,2482.23,2,2014-03-10,True
48150,68005,98732,,1,503,6,29487,3.99,0.0,3.99,4,2482.23,3,2014-03-10,True
48151,68005,98733,,1,504,6,29487,2.29,0.0,2.29,4,2482.23,4,2014-03-10,True
48152,64336,86389,,1,496,6,25886,29.99,0.0,29.99,2,34.98,1,2014-01-16,True
48153,64336,86390,,1,501,6,25886,4.99,0.0,4.99,2,34.98,2,2014-01-16,True
48154,49893,30580,99ED-4EEC-9C,11,350,16,6730,454.13,0.02,4895.57,150,31787.52,1,2013-02-28,True
48155,49893,30564,99ED-4EEC-9C,3,323,6,6730,1466.01,0.0,4398.03,150,31787.52,2,2013-02-28,True
48156,49893,30556,99ED-4EEC-9C,7,346,6,6730,469.79,0.0,3288.56,150,31787.52,3,2013-02-28,True
48157,49893,30578,99ED-4EEC-9C,6,348,6,6730,469.79,0.0,2818.76,150,31787.52,4,2013-02-28,True
48158,49893,30546,99ED-4EEC-9C,4,349,6,6730,469.79,0.0,1879.18,150,31787.52,5,2013-02-28,True
48159,49893,30558,99ED-4EEC-9C,3,339,6,6730,600.26,0.0,1800.79,150,31787.52,6,2013-02-28,True
48160,49893,30566,99ED-4EEC-9C,1,319,6,6730,1308.94,0.0,1308.94,150,31787.52,7,2013-02-28,True
48161,49893,30573,99ED-4EEC-9C,4,368,6,6730,324.45,0.0,1297.81,150,31787.52,8,2013-02-28,True
48162,49893,30552,99ED-4EEC-9C,3,369,6,6730,324.45,0.0,973.36,150,31787.52,9,2013-02-28,True
48163,49893,30575,99ED-4EEC-9C,2,345,6,6730,469.79,0.0,939.59,150,31787.52,10,2013-02-28,True
48164,49893,30554,99ED-4EEC-9C,2,342,6,6730,469.79,0.0,939.59,150,31787.52,10,2013-02-28,True
48165,49893,30571,99ED-4EEC-9C,4,379,6,6730,183.94,0.0,735.75,150,31787.52,12,2013-02-28,True
48166,49893,30545,99ED-4EEC-9C,1,338,6,6730,600.26,0.0,600.26,150,31787.52,13,2013-02-28,True
48167,49893,30569,99ED-4EEC-9C,3,473,6,6730,198.04,0.0,594.11,150,31787.52,14,2013-02-28,True
48168,49893,30574,99ED-4EEC-9C,1,344,6,6730,469.79,0.0,469.79,150,31787.52,15,2013-02-28,True
48169,49893,30541,99ED-4EEC-9C,1,340,6,6730,469.79,0.0,469.79,150,31787.52,15,2013-02-28,True
48170,49893,30577,99ED-4EEC-9C,2,385,6,6730,202.33,0.0,404.66,150,31787.52,17,2013-02-28,True
48171,49893,30561,99ED-4EEC-9C,2,381,6,6730,202.33,0.0,404.66,150,31787.52,17,2013-02-28,True
48172,49893,30547,99ED-4EEC-9C,8,469,6,6730,44.99,0.0,359.95,150,31787.52,19,2013-02-28,True
48173,49893,30550,99ED-4EEC-9C,5,482,6,6730,67.54,0.0,337.7,150,31787.52,20,2013-02-28,True
48174,49893,30555,99ED-4EEC-9C,6,491,6,6730,53.99,0.0,323.96,150,31787.52,21,2013-02-28,True
48175,49893,30559,99ED-4EEC-9C,2,477,6,6730,149.03,0.0,298.06,150,31787.52,22,2013-02-28,True
48176,49893,30581,99ED-4EEC-9C,5,490,6,6730,53.99,0.0,269.97,150,31787.52,23,2013-02-28,True
48177,49893,30565,99ED-4EEC-9C,5,471,6,6730,44.99,0.0,224.97,150,31787.52,24,2013-02-28,True
48178,49893,30560,99ED-4EEC-9C,4,492,6,6730,53.99,0.0,215.98,150,31787.52,25,2013-02-28,True
48179,49893,30542,99ED-4EEC-9C,1,380,6,6730,202.33,0.0,202.33,150,31787.52,26,2013-02-28,True
48180,49893,30572,99ED-4EEC-9C,1,384,6,6730,202.33,0.0,202.33,150,31787.52,26,2013-02-28,True
48181,49893,30570,99ED-4EEC-9C,5,459,6,6730,35.99,0.0,179.97,150,31787.52,28,2013-02-28,True
48182,49893,30548,99ED-4EEC-9C,5,395,6,6730,28.84,0.0,144.2,150,31787.52,29,2013-02-28,True
48183,49893,30549,99ED-4EEC-9C,7,311,6,6730,20.19,0.0,141.31,150,31787.52,30,2013-02-28,True
48184,49893,30563,99ED-4EEC-9C,4,394,6,6730,28.84,0.0,115.36,150,31787.52,31,2013-02-28,True
48185,49893,30576,99ED-4EEC-9C,3,460,6,6730,35.99,0.0,107.98,150,31787.52,32,2013-02-28,True
48186,49893,30557,99ED-4EEC-9C,3,396,6,6730,28.84,0.0,86.52,150,31787.52,33,2013-02-28,True
48187,49893,30551,99ED-4EEC-9C,2,461,6,6730,35.99,0.0,71.99,150,31787.52,34,2013-02-28,True
48188,49893,30553,99ED-4EEC-9C,5,431,6,6730,14.13,0.0,70.64,150,31787.52,35,2013-02-28,True
48189,49893,30544,99ED-4EEC-9C,5,529,6,6730,11.99,0.0,59.97,150,31787.52,36,2013-02-28,True
48190,49893,30562,99ED-4EEC-9C,2,309,6,6730,20.19,0.0,40.37,150,31787.52,37,2013-02-28,True
48191,49893,30543,99ED-4EEC-9C,7,43,6,6730,5.19,0.0,36.31,150,31787.52,38,2013-02-28,True
48192,49893,30579,99ED-4EEC-9C,2,505,6,6730,15.0,0.0,30.0,150,31787.52,39,2013-02-28,True
48193,49893,30568,99ED-4EEC-9C,2,432,6,6730,14.13,0.0,28.26,150,31787.52,40,2013-02-28,True
48194,49893,30567,99ED-4EEC-9C,1,310,6,6730,20.19,0.0,20.19,150,31787.52,41,2013-02-28,True
48195,64974,87981,,1,443,6,26534,9.99,0.0,9.99,3,22.93,1,2014-01-26,True
48196,64974,87982,,1,548,6,26534,7.95,0.0,7.95,3,22.93,2,2014-01-26,True
48197,64974,87980,,1,445,6,26534,4.99,0.0,4.99,3,22.93,3,2014-01-26,True
48198,68145,99077,,1,327,6,29628,1700.99,0.0,1700.99,2,1754.98,1,2014-03-12,True
48199,68145,99078,,1,391,6,29628,53.99,0.0,53.99,2,1754.98,2,2014-03-12,True
48200,51017,35494,,1,347,6,7888,782.99,0.0,782.99,1,782.99,1,2013-05-23,True
48201,45754,7581,,1,313,6,2628,3578.27,0.0,3578.27,1,3578.27,1,2012-02-24,True
48202,57077,61547,DC1F-45CA-BA,9,456,6,16845,41.99,0.0,377.95,23,900.21,1,2013-09-30,True
48203,57077,61548,DC1F-45CA-BA,7,49,6,16845,38.1,0.0,266.7,23,900.21,2,2013-09-30,True
48204,57077,61550,DC1F-45CA-BA,4,392,6,16845,32.39,0.0,129.58,23,900.21,3,2013-09-30,True
48205,57077,61551,DC1F-45CA-BA,2,458,6,16845,41.99,0.0,83.99,23,900.21,4,2013-09-30,True
48206,57077,61549,DC1F-45CA-BA,1,457,6,16845,41.99,0.0,41.99,23,900.21,5,2013-09-30,True
48207,56637,59465,,1,24,6,16320,2294.99,0.0,2294.99,3,2332.28,1,2013-09-22,True
48208,56637,59466,,1,494,6,16320,35.0,0.0,35.0,3,2332.28,2,2013-09-22,True
48209,56637,59467,,1,504,6,16320,2.29,0.0,2.29,3,2332.28,3,2013-09-22,True
48210,49628,28962,,1,24,16,6503,2049.1,0.0,2049.1,1,2049.1,1,2013-02-05,True
48211,74852,120683,,1,463,6,36385,159.0,0.0,159.0,1,159.0,1,2014-06-22,True
48212,57559,64136,,1,310,6,17289,34.99,0.0,34.99,2,38.98,1,2013-10-06,True
48213,57559,64135,,1,503,6,17289,3.99,0.0,3.99,2,38.98,2,2013-10-06,True
48214,64538,86892,,1,35,6,26087,564.99,0.0,564.99,5,605.21,1,2014-01-19,True
48215,64538,86893,,1,498,6,26087,24.99,0.0,24.99,5,605.21,2,2014-01-19,True
48216,64538,86896,,1,548,6,26087,7.95,0.0,7.95,5,605.21,3,2014-01-19,True
48217,64538,86894,,1,501,6,26087,4.99,0.0,4.99,5,605.21,4,2014-01-19,True
48218,64538,86895,,1,504,6,26087,2.29,0.0,2.29,5,605.21,5,2014-01-19,True
48219,67566,97657,,1,355,16,29011,539.99,0.0,539.99,3,553.97,1,2014-03-03,True
48220,67566,97658,,1,444,6,29011,8.99,0.0,8.99,3,553.97,2,2014-03-03,True
48221,67566,97659,,1,445,6,29011,4.99,0.0,4.99,3,553.97,3,2014-03-03,True
48222,59348,71179,,1,30,6,19087,769.49,0.0,769.49,4,865.95,1,2013-11-03,True
48223,59348,71181,,1,395,6,19087,49.99,0.0,49.99,4,865.95,2,2013-11-03,True
48224,59348,71182,,1,433,6,19087,24.49,0.0,24.49,4,865.95,3,2013-11-03,True
48225,59348,71180,,1,312,6,19087,21.98,0.0,21.98,4,865.95,4,2013-11-03,True
48226,69229,101799,,1,506,6,30712,2384.07,0.0,2384.07,4,2420.34,1,2014-03-28,True
48227,69229,101800,,1,497,6,30712,28.99,0.0,28.99,4,2420.34,2,2014-03-28,True
48228,69229,101801,,1,502,6,30712,4.99,0.0,4.99,4,2420.34,3,2014-03-28,True
48229,69229,101802,,1,504,6,30712,2.29,0.0,2.29,4,2420.34,4,2014-03-28,True
48230,55545,56722,,1,512,6,15230,2384.07,0.0,2384.07,4,2407.04,1,2013-09-02,True
48231,55545,56724,,1,444,6,15230,8.99,0.0,8.99,4,2407.04,2,2013-09-02,True
48232,55545,56725,,1,43,6,15230,8.99,0.0,8.99,4,2407.04,2,2013-09-02,True
48233,55545,56723,,1,445,6,15230,4.99,0.0,4.99,4,2407.04,4,2013-09-02,True
48234,45245,5696,,1,317,6,2119,3578.27,0.0,3578.27,1,3578.27,1,2011-12-29,True
48235,60838,74895,,1,19,6,22382,2319.99,0.0,2319.99,4,2369.96,1,2013-11-25,True
48236,60838,74898,,1,311,6,22382,34.99,0.0,34.99,4,2369.96,2,2013-11-25,True
48237,60838,74896,,1,443,6,22382,9.99,0.0,9.99,4,2369.96,3,2013-11-25,True
48238,60838,74897,,1,445,6,22382,4.99,0.0,4.99,4,2369.96,4,2013-11-25,True
48239,71239,109248,,1,458,6,32793,69.99,0.0,69.99,1,69.99,1,2014-04-23,True
48240,52167,43608,,1,320,6,11904,2443.35,0.0,2443.35,4,2492.32,1,2013-07-06,True
48241,52167,43611,,1,310,6,11904,34.99,0.0,34.99,4,2492.32,2,2013-07-06,True
48242,52167,43609,,1,444,6,11904,8.99,0.0,8.99,4,2492.32,3,2013-07-06,True
48243,52167,43610,,1,445,6,11904,4.99,0.0,4.99,4,2492.32,4,2013-07-06,True
48244,71033,108727,,1,499,6,32572,24.99,0.0,24.99,3,31.27,1,2014-04-20,True
48245,71033,108728,,1,503,6,32572,3.99,0.0,3.99,3,31.27,2,2014-04-20,True
48246,71033,108729,,1,504,6,32572,2.29,0.0,2.29,3,31.27,3,2014-04-20,True
48247,53256,46240,,1,396,6,12991,49.99,0.0,49.99,4,73.96,1,2013-07-27,True
48248,53256,46238,,1,443,6,12991,9.99,0.0,9.99,4,73.96,2,2013-07-27,True
48249,53256,46241,,1,43,6,12991,8.99,0.0,8.99,4,73.96,3,2013-07-27,True
48250,53256,46239,,1,445,6,12991,4.99,0.0,4.99,4,73.96,4,2013-07-27,True
48251,66260,92901,,1,516,6,27747,1214.85,0.0,1214.85,4,1251.12,1,2014-02-12,True
48252,66260,92902,,1,497,6,27747,28.99,0.0,28.99,4,1251.12,2,2014-02-12,True
48253,66260,92903,,1,502,6,27747,4.99,0.0,4.99,4,1251.12,3,2014-02-12,True
48254,66260,92904,,1,504,6,27747,2.29,0.0,2.29,4,1251.12,4,2014-02-12,True
48255,57041,60877,214B-45FE-BA,10,509,6,16798,1430.44,0.0,14304.42,67,63878.76,1,2013-09-30,True
48256,57041,60893,214B-45FE-BA,7,507,6,16798,1430.44,0.0,10013.09,67,63878.76,2,2013-09-30,True
48257,57041,60890,214B-45FE-BA,6,512,6,16798,1430.44,0.0,8582.65,67,63878.76,3,2013-09-30,True
48258,57041,60888,214B-45FE-BA,6,510,6,16798,1430.44,0.0,8582.65,67,63878.76,3,2013-09-30,True
48259,57041,60875,214B-45FE-BA,4,513,6,16798,1430.44,0.0,5721.77,67,63878.76,5,2013-09-30,True
48260,57041,60891,214B-45FE-BA,6,514,6,16798,728.91,0.0,4373.46,67,63878.76,6,2013-09-30,True
48261,57041,60880,214B-45FE-BA,4,532,6,16798,602.35,0.0,2409.38,67,63878.76,7,2013-09-30,True
48262,57041,60889,214B-45FE-BA,3,515,6,16798,728.91,0.0,2186.73,67,63878.76,8,2013-09-30,True
48263,57041,60887,214B-45FE-BA,3,518,6,16798,445.41,0.0,1336.23,67,63878.76,9,2013-09-30,True
48264,57041,60883,214B-45FE-BA,2,536,6,16798,602.35,0.0,1204.69,67,63878.76,10,2013-09-30,True
48265,57041,60892,214B-45FE-BA,2,520,6,16798,445.41,0.0,890.82,67,63878.76,11,2013-09-30,True
48266,57041,60885,214B-45FE-BA,2,522,6,16798,445.41,0.0,890.82,67,63878.76,11,2013-09-30,True
48267,57041,60886,214B-45FE-BA,2,524,6,16798,445.41,0.0,890.82,67,63878.76,11,2013-09-30,True
48268,57041,60879,214B-45FE-BA,3,543,6,16798,200.05,0.0,600.16,67,63878.76,14,2013-09-30,True
48269,57041,60876,214B-45FE-BA,1,526,6,16798,445.41,0.0,445.41,67,63878.76,15,2013-09-30,True
48270,57041,60882,214B-45FE-BA,1,527,6,16798,445.41,0.0,445.41,67,63878.76,15,2013-09-30,True
48271,57041,60884,214B-45FE-BA,2,547,6,16798,200.05,0.0,400.1,67,63878.76,17,2013-09-30,True
48272,57041,60881,214B-45FE-BA,1,546,6,16798,200.05,0.0,200.05,67,63878.76,18,2013-09-30,True
48273,57041,60878,214B-45FE-BA,1,542,6,16798,200.05,0.0,200.05,67,63878.76,18,2013-09-30,True
48274,57041,60894,214B-45FE-BA,1,538,6,16798,200.05,0.0,200.05,67,63878.76,18,2013-09-30,True
48275,53166,46035,,1,494,6,12847,35.0,0.0,35.0,5,76.95,1,2013-07-25,True
48276,53166,46037,,1,312,6,12847,21.98,0.0,21.98,5,76.95,2,2013-07-25,True
48277,53166,46038,,1,443,6,12847,9.99,0.0,9.99,5,76.95,3,2013-07-25,True
48278,53166,46036,,1,501,6,12847,4.99,0.0,4.99,5,76.95,4,2013-07-25,True
48279,53166,46039,,1,445,6,12847,4.99,0.0,4.99,5,76.95,4,2013-07-25,True
48280,71984,113641,,1,352,6,33481,539.99,0.0,539.99,4,567.76,1,2014-05-01,True
48281,71984,113642,,1,500,6,33481,21.49,0.0,21.49,4,567.76,2,2014-05-01,True
48282,71984,113643,,1,503,6,33481,3.99,0.0,3.99,4,567.76,3,2014-05-01,True
48283,71984,113644,,1,504,6,33481,2.29,0.0,2.29,4,567.76,4,2014-05-01,True
48284,44021,1387,,1,15,6,400,3374.99,0.0,3374.99,1,3374.99,1,2011-07-21,True
48285,54961,53751,,1,494,6,14645,35.0,0.0,35.0,3,42.28,1,2013-08-24,True
48286,54961,53752,,1,501,6,14645,4.99,0.0,4.99,3,42.28,2,2013-08-24,True
48287,54961,53753,,1,504,6,14645,2.29,0.0,2.29,3,42.28,3,2013-08-24,True
48288,46059,8820,ECBE-4E0D-B9,3,315,6,2982,2146.96,0.0,6440.89,33,29446.75,1,2012-03-30,True
48289,46059,8803,ECBE-4E0D-B9,2,314,6,2982,2146.96,0.0,4293.92,33,29446.75,2,2012-03-30,True
48290,46059,8812,ECBE-4E0D-B9,2,313,6,2982,2146.96,0.0,4293.92,33,29446.75,2,2012-03-30,True
48291,46059,8814,ECBE-4E0D-B9,3,334,6,2982,874.79,0.0,2624.38,33,29446.75,4,2012-03-30,True
48292,46059,8810,ECBE-4E0D-B9,3,331,6,2982,874.79,0.0,2624.38,33,29446.75,4,2012-03-30,True
48293,46059,8804,ECBE-4E0D-B9,1,317,6,2982,2146.96,0.0,2146.96,33,29446.75,6,2012-03-30,True
48294,46059,8821,ECBE-4E0D-B9,4,345,6,2982,419.46,0.0,1677.84,33,29446.75,7,2012-03-30,True
48295,46059,8818,ECBE-4E0D-B9,3,350,6,2982,419.46,0.0,1258.38,33,29446.75,8,2012-03-30,True
48296,46059,8805,ECBE-4E0D-B9,2,343,6,2982,419.46,0.0,838.92,33,29446.75,9,2012-03-30,True
48297,46059,8809,ECBE-4E0D-B9,1,342,6,2982,419.46,0.0,419.46,33,29446.75,10,2012-03-30,True
48298,46059,8807,ECBE-4E0D-B9,1,341,6,2982,419.46,0.0,419.46,33,29446.75,10,2012-03-30,True
48299,46059,8813,ECBE-4E0D-B9,1,347,6,2982,419.46,0.0,419.46,33,29446.75,10,2012-03-30,True
48300,46059,8806,ECBE-4E0D-B9,1,346,6,2982,419.46,0.0,419.46,33,29446.75,10,2012-03-30,True
