PURCHASEORDERHEADERKEY,PURCHASEORDERID,REVISIONNUMBER,STATUS,SHIPMETHODKEY,ORDERDATE,SHIPDATE,SUBTOTAL,TAXAMT,FREIGHT,TOTALDUE,PURCHASEMODIFIEDDATE,ISCURRENT
546,502,4,4,4,2013-08-10,2013-08-19,25531.28,2042.5,638.28,28212.06,2013-08-19 00:00:00.000,True
547,503,4,4,4,2013-08-10,2013-08-19,402.73,32.22,10.07,445.01,2013-08-19 00:00:00.000,True
548,504,4,4,4,2013-08-10,2013-08-19,125.75,10.06,3.14,138.95,2013-08-19 00:00:00.000,True
549,505,4,4,5,2013-08-11,2013-08-20,150.79,12.06,3.77,166.62,2013-08-20 00:00:00.000,True
550,506,4,4,4,2013-08-11,2013-08-20,465.29,37.22,11.63,514.14,2013-08-20 00:00:00.000,True
551,507,4,4,2,2013-08-11,2013-08-20,8847.3,707.78,221.18,9776.27,2013-08-20 00:00:00.000,True
552,508,4,4,5,2013-08-11,2013-08-20,171.08,13.69,4.28,189.04,2013-08-20 00:00:00.000,True
553,509,4,4,4,2013-08-11,2013-08-20,20397.3,1631.78,509.93,22539.02,2013-08-20 00:00:00.000,True
554,510,4,4,3,2013-08-11,2013-08-20,14628.08,1170.25,365.7,16164.02,2013-08-20 00:00:00.000,True
555,511,4,4,3,2013-08-11,2013-08-20,58685.55,4694.84,1467.14,64847.53,2013-08-20 00:00:00.000,True
556,512,4,4,4,2013-08-11,2013-08-20,259.84,20.79,6.5,287.13,2013-08-20 00:00:00.000,True
557,513,4,4,4,2013-08-11,2013-08-20,402.73,32.22,10.07,445.01,2013-08-20 00:00:00.000,True
558,514,4,4,5,2013-08-11,2013-08-20,270.81,21.66,6.77,299.24,2013-08-20 00:00:00.000,True
559,515,4,4,4,2013-08-11,2013-08-20,2551.31,204.1,63.78,2819.2,2013-08-20 00:00:00.000,True
560,516,4,4,5,2013-08-11,2013-08-20,34644.23,2771.54,866.11,38281.87,2013-08-20 00:00:00.000,True
561,517,4,4,4,2013-08-11,2013-08-20,1839.51,147.16,45.99,2032.65,2013-08-20 00:00:00.000,True
562,518,4,4,5,2013-08-11,2013-08-20,146.29,11.7,3.66,161.65,2013-08-20 00:00:00.000,True
563,519,4,4,5,2013-08-11,2013-08-20,102.56,8.21,2.56,113.33,2013-08-20 00:00:00.000,True
564,520,4,4,5,2013-08-11,2013-08-20,150.79,12.06,3.77,166.62,2013-08-20 00:00:00.000,True
565,521,4,4,5,2013-08-12,2013-08-21,13669.43,1093.55,341.74,15104.71,2013-08-21 00:00:00.000,True
566,522,4,4,5,2013-08-12,2013-08-21,6756.12,540.49,168.9,7465.51,2013-08-21 00:00:00.000,True
567,523,4,4,5,2013-08-12,2013-08-21,50860.43,4068.83,1271.51,56200.77,2013-08-21 00:00:00.000,True
568,524,4,4,1,2013-08-12,2013-08-21,551.88,44.15,13.8,609.83,2013-08-21 00:00:00.000,True
569,525,4,4,1,2013-08-12,2013-08-21,6987.75,559.02,174.69,7721.46,2013-08-21 00:00:00.000,True
570,526,4,4,2,2013-08-12,2013-08-21,28072.28,2245.78,701.81,31019.86,2013-08-21 00:00:00.000,True
571,527,4,4,1,2013-08-12,2013-08-21,37312.28,2984.98,932.81,41230.06,2013-08-21 00:00:00.000,True
572,528,4,4,1,2013-08-12,2013-08-21,7623.0,609.84,190.58,8423.42,2013-08-21 00:00:00.000,True
573,529,4,4,2,2013-08-12,2013-08-21,28297.5,2263.8,707.44,31268.74,2013-08-21 00:00:00.000,True
574,530,4,4,2,2013-08-12,2013-08-21,59.94,4.8,1.5,66.24,2013-08-21 00:00:00.000,True
575,531,5,4,5,2013-08-12,2013-08-21,222.04,17.76,5.55,245.36,2013-08-21 00:00:00.000,True
576,532,4,4,5,2013-08-12,2013-08-21,43878.45,3510.28,1096.96,48485.69,2013-08-21 00:00:00.000,True
577,533,4,4,4,2013-08-12,2013-08-21,345.56,27.64,8.64,381.84,2013-08-21 00:00:00.000,True
578,534,4,4,2,2013-08-12,2013-08-21,15153.6,1212.29,378.84,16744.73,2013-08-21 00:00:00.000,True
579,535,4,4,5,2013-08-12,2013-08-21,142.41,11.39,3.56,157.36,2013-08-21 00:00:00.000,True
580,536,4,4,2,2013-08-12,2013-08-21,48030.68,3842.45,1200.77,53073.9,2013-08-21 00:00:00.000,True
581,537,4,4,2,2013-08-13,2013-08-22,28072.28,2245.78,701.81,31019.86,2013-08-22 00:00:00.000,True
582,538,4,4,1,2013-08-13,2013-08-22,37312.28,2984.98,932.81,41230.06,2013-08-22 00:00:00.000,True
583,539,4,4,1,2013-08-13,2013-08-22,7623.0,609.84,190.58,8423.42,2013-08-22 00:00:00.000,True
584,540,4,4,2,2013-08-13,2013-08-22,28297.5,2263.8,707.44,31268.74,2013-08-22 00:00:00.000,True
585,541,4,4,4,2013-08-13,2013-08-22,550.97,44.08,13.77,608.82,2013-08-22 00:00:00.000,True
586,542,4,4,1,2013-08-13,2013-08-22,1276.28,102.1,31.91,1410.28,2013-08-22 00:00:00.000,True
587,543,4,4,1,2013-08-13,2013-08-22,2003.93,160.31,50.1,2214.34,2013-08-22 00:00:00.000,True
588,544,4,4,2,2013-08-13,2013-08-22,28343.7,2267.5,708.59,31319.79,2013-08-22 00:00:00.000,True
589,545,4,4,1,2013-08-13,2013-08-22,454.86,36.39,11.37,502.62,2013-08-22 00:00:00.000,True
590,546,4,4,5,2013-08-13,2013-08-22,43878.45,3510.28,1096.96,48485.69,2013-08-22 00:00:00.000,True
591,547,4,4,2,2013-08-13,2013-08-22,7132.13,570.57,178.3,7881.0,2013-08-22 00:00:00.000,True
592,548,4,4,2,2013-08-13,2013-08-22,28343.7,2267.5,708.59,31319.79,2013-08-22 00:00:00.000,True
593,549,4,4,4,2013-08-13,2013-08-22,22516.73,1801.34,562.92,24880.98,2013-08-22 00:00:00.000,True
594,550,4,4,5,2013-08-13,2013-08-22,34644.23,2771.54,866.11,38281.87,2013-08-22 00:00:00.000,True
595,551,4,4,5,2013-08-13,2013-08-22,532.92,42.63,13.32,588.87,2013-08-22 00:00:00.000,True
596,552,4,4,5,2013-08-13,2013-08-22,143.04,11.44,3.58,158.06,2013-08-22 00:00:00.000,True
597,553,4,4,2,2013-08-13,2013-08-22,28199.33,2255.95,704.98,31160.25,2013-08-22 00:00:00.000,True
598,554,4,4,1,2013-08-13,2013-08-22,3713.33,297.07,92.83,4103.22,2013-08-22 00:00:00.000,True
599,555,4,4,4,2013-08-13,2013-08-22,19952.63,1596.21,498.82,22047.65,2013-08-22 00:00:00.000,True
600,556,4,4,5,2013-08-13,2013-08-22,13361.04,1068.88,334.03,14763.95,2013-08-22 00:00:00.000,True
601,557,4,4,5,2013-08-14,2013-08-23,5711.48,456.92,142.79,6311.18,2013-08-23 00:00:00.000,True
602,558,4,4,5,2013-08-14,2013-08-23,696.53,55.72,17.41,769.66,2013-08-23 00:00:00.000,True
603,559,4,4,2,2013-08-14,2013-08-23,97.97,7.84,2.45,108.25,2013-08-23 00:00:00.000,True
604,560,4,4,4,2013-08-14,2013-08-23,114.47,9.16,2.86,126.49,2013-08-23 00:00:00.000,True
605,561,4,4,4,2013-08-14,2013-08-23,132.65,10.61,3.32,146.57,2013-08-23 00:00:00.000,True
606,562,4,4,5,2013-08-14,2013-08-23,43878.45,3510.28,1096.96,48485.69,2013-08-23 00:00:00.000,True
607,563,4,4,1,2013-08-14,2013-08-23,418.95,33.52,10.47,462.94,2013-08-23 00:00:00.000,True
608,564,4,4,4,2013-08-14,2013-08-23,273.7,21.9,6.84,302.44,2013-08-23 00:00:00.000,True
609,565,4,4,1,2013-08-14,2013-08-23,461.79,36.94,11.54,510.28,2013-08-23 00:00:00.000,True
610,566,4,4,4,2013-08-14,2013-08-23,481.89,38.55,12.05,532.49,2013-08-23 00:00:00.000,True
611,567,4,4,2,2013-08-14,2013-08-23,37.08,2.97,0.93,40.97,2013-08-23 00:00:00.000,True
612,568,4,4,4,2013-08-14,2013-08-23,21558.08,1724.65,538.95,23821.67,2013-08-23 00:00:00.000,True
613,569,4,4,4,2013-08-14,2013-08-23,567.38,45.39,14.18,626.95,2013-08-23 00:00:00.000,True
614,570,4,4,5,2013-08-14,2013-08-23,65240.18,5219.21,1631.0,72090.39,2013-08-23 00:00:00.000,True
615,571,4,4,5,2013-08-14,2013-08-23,534.81,42.78,13.37,590.96,2013-08-23 00:00:00.000,True
616,572,4,4,4,2013-08-14,2013-08-23,136.65,10.93,3.42,151.0,2013-08-23 00:00:00.000,True
617,573,4,4,5,2013-08-15,2013-08-24,40471.2,3237.7,1011.78,44720.68,2013-08-24 00:00:00.000,True
618,574,4,4,5,2013-08-15,2013-08-24,278.52,22.28,6.96,307.77,2013-08-24 00:00:00.000,True
619,575,4,4,4,2013-08-15,2013-08-24,23671.73,1893.74,591.79,26157.26,2013-08-24 00:00:00.000,True
620,576,4,4,5,2013-08-15,2013-08-24,5948.25,475.86,148.71,6572.82,2013-08-24 00:00:00.000,True
621,577,4,4,5,2013-08-15,2013-08-24,91117.95,7289.44,2277.95,100685.33,2013-08-24 00:00:00.000,True
622,578,4,4,1,2013-08-15,2013-08-24,525.0,42.0,13.13,580.13,2013-08-24 00:00:00.000,True
623,579,4,4,5,2013-08-15,2013-08-24,2003.68,160.29,50.09,2214.07,2013-08-24 00:00:00.000,True
624,580,4,4,4,2013-08-15,2013-08-24,26455.28,2116.42,661.38,29233.08,2013-08-24 00:00:00.000,True
625,581,4,4,2,2013-08-15,2013-08-24,944.37,75.55,23.61,1043.53,2013-08-24 00:00:00.000,True
626,582,4,4,4,2013-08-15,2013-08-24,44594.55,3567.56,1114.86,49276.98,2013-08-24 00:00:00.000,True
627,583,4,4,3,2013-08-15,2013-08-24,62843.55,5027.48,1571.09,69442.12,2013-08-24 00:00:00.000,True
628,584,4,4,5,2013-08-15,2013-08-24,37843.58,3027.49,946.09,41817.15,2013-08-24 00:00:00.000,True
629,585,4,4,4,2013-08-15,2013-08-24,25531.28,2042.5,638.28,28212.06,2013-08-24 00:00:00.000,True
630,586,4,4,4,2013-08-15,2013-08-24,501.2,40.1,12.53,553.82,2013-08-24 00:00:00.000,True
631,587,4,4,4,2013-08-15,2013-08-24,125.75,10.06,3.14,138.95,2013-08-24 00:00:00.000,True
632,588,4,4,5,2013-08-15,2013-08-24,150.79,12.06,3.77,166.62,2013-08-24 00:00:00.000,True
633,589,4,4,5,2013-08-17,2013-08-26,696.53,55.72,17.41,769.66,2013-08-26 00:00:00.000,True
634,590,4,4,2,2013-08-17,2013-08-26,8847.3,707.78,221.18,9776.27,2013-08-26 00:00:00.000,True
635,591,4,4,5,2013-08-17,2013-08-26,171.08,13.69,4.28,189.04,2013-08-26 00:00:00.000,True
636,592,4,4,4,2013-08-17,2013-08-26,20397.3,1631.78,509.93,22539.02,2013-08-26 00:00:00.000,True
637,593,4,4,3,2013-08-18,2013-08-27,14628.08,1170.25,365.7,16164.02,2013-08-27 00:00:00.000,True
638,594,4,4,3,2013-08-18,2013-08-27,33350.63,2668.05,833.77,36852.44,2013-08-27 00:00:00.000,True
639,595,4,4,4,2013-08-18,2013-08-27,1074.78,85.98,26.87,1187.63,2013-08-27 00:00:00.000,True
640,596,4,4,4,2013-08-18,2013-08-27,501.2,40.1,12.53,553.82,2013-08-27 00:00:00.000,True
641,597,4,4,5,2013-08-18,2013-08-27,1525.23,122.02,38.13,1685.38,2013-08-27 00:00:00.000,True
642,598,4,4,4,2013-08-18,2013-08-27,631.39,50.51,15.78,697.68,2013-08-27 00:00:00.000,True
643,599,4,4,5,2013-08-18,2013-08-27,34644.23,2771.54,866.11,38281.87,2013-08-27 00:00:00.000,True
644,600,4,4,4,2013-08-18,2013-08-27,1839.51,147.16,45.99,2032.65,2013-08-27 00:00:00.000,True
645,601,4,4,5,2013-08-18,2013-08-27,146.29,11.7,3.66,161.65,2013-08-27 00:00:00.000,True
646,602,4,4,5,2013-08-18,2013-08-27,102.56,8.21,2.56,113.33,2013-08-27 00:00:00.000,True
647,603,4,4,5,2013-08-18,2013-08-27,150.79,12.06,3.77,166.62,2013-08-27 00:00:00.000,True
648,604,4,4,5,2013-08-18,2013-08-27,13669.43,1093.55,341.74,15104.71,2013-08-27 00:00:00.000,True
649,605,4,4,5,2013-08-18,2013-08-27,16393.23,1311.46,409.83,18114.52,2013-08-27 00:00:00.000,True
650,606,4,4,5,2013-08-18,2013-08-27,39258.45,3140.68,981.46,43380.59,2013-08-27 00:00:00.000,True
651,607,4,4,1,2013-08-18,2013-08-27,551.88,44.15,13.8,609.83,2013-08-27 00:00:00.000,True
652,608,4,4,1,2013-08-18,2013-08-27,6987.75,559.02,174.69,7721.46,2013-08-27 00:00:00.000,True
653,609,4,4,2,2013-08-19,2013-08-28,59.94,4.8,1.5,66.24,2013-08-28 00:00:00.000,True
654,610,4,4,4,2013-08-19,2013-08-28,370.76,29.66,9.27,409.68,2013-08-28 00:00:00.000,True
655,611,4,4,5,2013-08-19,2013-08-28,43878.45,3510.28,1096.96,48485.69,2013-08-28 00:00:00.000,True
656,612,4,4,4,2013-08-19,2013-08-28,272.13,21.77,6.8,300.7,2013-08-28 00:00:00.000,True
657,613,4,4,2,2013-08-19,2013-08-28,28072.28,2245.78,701.81,31019.86,2013-08-28 00:00:00.000,True
658,614,5,4,1,2013-08-19,2013-08-28,35394.98,2831.6,884.87,39111.45,2013-08-28 00:00:00.000,True
659,615,4,4,1,2013-08-19,2013-08-28,7623.0,609.84,190.58,8423.42,2013-08-28 00:00:00.000,True
660,616,4,4,2,2013-08-19,2013-08-28,28297.5,2263.8,707.44,31268.74,2013-08-28 00:00:00.000,True
661,617,4,4,2,2013-08-19,2013-08-28,59.94,4.8,1.5,66.24,2013-08-28 00:00:00.000,True
662,618,4,4,4,2013-08-19,2013-08-28,567.38,45.39,14.18,626.95,2013-08-28 00:00:00.000,True
663,619,4,4,5,2013-08-19,2013-08-28,43878.45,3510.28,1096.96,48485.69,2013-08-28 00:00:00.000,True
664,620,4,4,4,2013-08-19,2013-08-28,402.26,32.18,10.06,444.49,2013-08-28 00:00:00.000,True
665,621,4,4,2,2013-08-19,2013-08-28,27350.4,2188.03,683.76,30222.19,2013-08-28 00:00:00.000,True
666,622,4,4,5,2013-08-19,2013-08-28,142.41,11.39,3.56,157.36,2013-08-28 00:00:00.000,True
667,623,4,4,2,2013-08-19,2013-08-28,48030.68,3842.45,1200.77,53073.9,2013-08-28 00:00:00.000,True
668,624,4,3,5,2013-08-19,2013-08-28,272.44,21.8,6.81,301.05,2013-08-28 00:00:00.000,True
669,625,4,4,1,2013-08-19,2013-08-28,1276.28,102.1,31.91,1410.28,2013-08-28 00:00:00.000,True
670,626,4,4,1,2013-08-19,2013-08-28,2003.93,160.31,50.1,2214.34,2013-08-28 00:00:00.000,True
671,627,4,4,4,2013-08-19,2013-08-28,22516.73,1801.34,562.92,24880.98,2013-08-28 00:00:00.000,True
672,628,4,4,1,2013-08-19,2013-08-28,454.86,36.39,11.37,502.62,2013-08-28 00:00:00.000,True
673,629,4,4,5,2013-08-20,2013-08-29,43878.45,3510.28,1096.96,48485.69,2013-08-29 00:00:00.000,True
674,630,4,4,2,2013-08-20,2013-08-29,7132.13,570.57,178.3,7881.0,2013-08-29 00:00:00.000,True
675,631,4,4,2,2013-08-20,2013-08-29,28343.7,2267.5,708.59,31319.79,2013-08-29 00:00:00.000,True
676,632,4,4,4,2013-08-20,2013-08-29,22516.73,1801.34,562.92,24880.98,2013-08-29 00:00:00.000,True
677,633,4,4,5,2013-08-20,2013-08-29,34644.23,2771.54,866.11,38281.87,2013-08-29 00:00:00.000,True
678,634,4,4,4,2013-08-20,2013-08-29,241.04,19.28,6.03,266.35,2013-08-29 00:00:00.000,True
679,635,4,4,5,2013-08-20,2013-08-29,143.04,11.44,3.58,158.06,2013-08-29 00:00:00.000,True
680,636,4,4,2,2013-08-20,2013-08-29,28199.33,2255.95,704.98,31160.25,2013-08-29 00:00:00.000,True
681,637,4,4,1,2013-08-21,2013-08-30,26230.05,2098.4,655.75,28984.21,2013-08-30 00:00:00.000,True
682,638,4,4,5,2013-08-21,2013-08-30,142.41,11.39,3.56,157.36,2013-08-30 00:00:00.000,True
683,639,4,4,2,2013-08-21,2013-08-30,48030.68,3842.45,1200.77,53073.9,2013-08-30 00:00:00.000,True
684,640,4,4,4,2013-08-21,2013-08-30,28467.21,2277.38,711.68,31456.27,2013-08-30 00:00:00.000,True
685,641,4,4,1,2013-08-21,2013-08-30,3713.33,297.07,92.83,4103.22,2013-08-30 00:00:00.000,True
686,642,4,4,5,2013-08-21,2013-08-30,43878.45,3510.28,1096.96,48485.69,2013-08-30 00:00:00.000,True
687,643,4,4,5,2013-08-21,2013-08-30,2979.27,238.34,74.48,3292.09,2013-08-30 00:00:00.000,True
688,644,4,3,5,2013-08-21,2013-08-30,5711.48,456.92,142.79,6311.18,2013-08-30 00:00:00.000,True
689,645,4,4,5,2013-08-21,2013-08-30,1372.74,109.82,34.32,1516.88,2013-08-30 00:00:00.000,True
690,646,4,4,2,2013-08-21,2013-08-30,97.97,7.84,2.45,108.25,2013-08-30 00:00:00.000,True
691,647,4,4,4,2013-08-21,2013-08-30,114.47,9.16,2.86,126.49,2013-08-30 00:00:00.000,True
692,648,4,4,4,2013-08-21,2013-08-30,132.65,10.61,3.32,146.57,2013-08-30 00:00:00.000,True
693,649,4,4,5,2013-08-21,2013-08-30,43878.45,3510.28,1096.96,48485.69,2013-08-30 00:00:00.000,True
694,650,4,4,1,2013-08-21,2013-08-30,418.95,33.52,10.47,462.94,2013-08-30 00:00:00.000,True
695,651,4,4,4,2013-08-21,2013-08-30,515.69,41.25,12.89,569.83,2013-08-30 00:00:00.000,True
696,652,4,4,1,2013-08-21,2013-08-30,461.79,36.94,11.54,510.28,2013-08-30 00:00:00.000,True
697,653,4,4,4,2013-08-21,2013-08-30,383.04,30.64,9.58,423.26,2013-08-30 00:00:00.000,True
698,654,4,3,2,2013-08-21,2013-08-30,37.08,2.97,0.93,40.97,2013-08-30 00:00:00.000,True
699,655,4,4,4,2013-08-21,2013-08-30,21558.08,1724.65,538.95,23821.67,2013-08-30 00:00:00.000,True
700,656,4,4,4,2013-08-21,2013-08-30,545.83,43.67,13.65,603.14,2013-08-30 00:00:00.000,True
701,657,4,4,4,2013-08-22,2013-08-31,20980.58,1678.45,524.51,23183.54,2013-08-31 00:00:00.000,True
702,658,4,4,4,2013-08-22,2013-08-31,602.03,48.16,15.05,665.24,2013-08-31 00:00:00.000,True
703,659,4,4,5,2013-08-22,2013-08-31,694.95,55.6,17.37,767.92,2013-08-31 00:00:00.000,True
704,660,6,4,5,2013-08-22,2013-08-31,40471.2,3237.7,1011.78,44720.68,2013-08-31 00:00:00.000,True
705,661,4,4,5,2013-08-22,2013-08-31,557.49,44.6,13.94,616.02,2013-08-31 00:00:00.000,True
706,662,4,4,5,2013-08-22,2013-08-31,38421.08,3073.69,960.53,42455.29,2013-08-31 00:00:00.000,True
707,663,4,4,5,2013-08-22,2013-08-31,5948.25,475.86,148.71,6572.82,2013-08-31 00:00:00.000,True
708,664,4,3,5,2013-08-22,2013-08-31,91117.95,7289.44,2277.95,100685.33,2013-08-31 00:00:00.000,True
709,665,4,4,1,2013-08-22,2013-08-31,525.0,42.0,13.13,580.13,2013-08-31 00:00:00.000,True
710,666,4,4,5,2013-08-22,2013-08-31,2003.68,160.29,50.09,2214.07,2013-08-31 00:00:00.000,True
711,667,4,4,4,2013-08-22,2013-08-31,26455.28,2116.42,661.38,29233.08,2013-08-31 00:00:00.000,True
712,668,4,4,2,2013-08-22,2013-08-31,944.37,75.55,23.61,1043.53,2013-08-31 00:00:00.000,True
713,669,4,4,1,2013-08-22,2013-08-31,6993.53,559.48,174.84,7727.85,2013-08-31 00:00:00.000,True
714,670,4,4,3,2013-08-22,2013-08-31,62843.55,5027.48,1571.09,69442.12,2013-08-31 00:00:00.000,True
715,671,4,4,5,2013-08-22,2013-08-31,37843.58,3027.49,946.09,41817.15,2013-08-31 00:00:00.000,True
716,672,4,4,4,2013-08-22,2013-08-31,25531.28,2042.5,638.28,28212.06,2013-08-31 00:00:00.000,True
717,673,4,4,4,2013-08-25,2013-09-03,358.63,28.69,8.97,396.28,2013-09-03 00:00:00.000,True
718,674,4,3,4,2013-08-25,2013-09-03,125.75,10.06,3.14,138.95,2013-09-03 00:00:00.000,True
719,675,4,4,5,2013-08-25,2013-09-03,150.79,12.06,3.77,166.62,2013-09-03 00:00:00.000,True
720,676,4,4,5,2013-08-25,2013-09-03,534.81,42.78,13.37,590.96,2013-09-03 00:00:00.000,True
721,677,4,4,2,2013-08-25,2013-09-03,8847.3,707.78,221.18,9776.27,2013-09-03 00:00:00.000,True
722,678,4,4,5,2013-08-25,2013-09-03,171.08,13.69,4.28,189.04,2013-09-03 00:00:00.000,True
723,679,4,4,4,2013-08-25,2013-09-03,20397.3,1631.78,509.93,22539.02,2013-09-03 00:00:00.000,True
724,680,4,4,3,2013-08-25,2013-09-03,14628.08,1170.25,365.7,16164.02,2013-09-03 00:00:00.000,True
725,681,4,4,4,2013-08-25,2013-09-03,25334.93,2026.79,633.37,27995.09,2013-09-03 00:00:00.000,True
726,682,4,4,5,2013-08-25,2013-09-03,278.52,22.28,6.96,307.77,2013-09-03 00:00:00.000,True
727,683,4,4,4,2013-08-25,2013-09-03,358.63,28.69,8.97,396.28,2013-09-03 00:00:00.000,True
728,684,4,3,5,2013-08-25,2013-09-03,270.81,21.66,6.77,299.24,2013-09-03 00:00:00.000,True
729,685,4,4,4,2013-08-25,2013-09-03,2421.12,193.69,60.53,2675.34,2013-09-03 00:00:00.000,True
730,686,4,4,5,2013-08-25,2013-09-03,34644.23,2771.54,866.11,38281.87,2013-09-03 00:00:00.000,True
731,687,4,4,4,2013-08-25,2013-09-03,1839.51,147.16,45.99,2032.65,2013-09-03 00:00:00.000,True
732,688,4,4,5,2013-08-25,2013-09-03,146.29,11.7,3.66,161.65,2013-09-03 00:00:00.000,True
733,689,4,4,5,2013-08-26,2013-09-04,102.56,8.21,2.56,113.33,2013-09-04 00:00:00.000,True
734,690,4,4,5,2013-08-26,2013-09-04,150.79,12.06,3.77,166.62,2013-09-04 00:00:00.000,True
735,691,4,4,5,2013-08-26,2013-09-04,13669.43,1093.55,341.74,15104.71,2013-09-04 00:00:00.000,True
736,692,4,4,5,2013-08-26,2013-09-04,6444.9,515.59,161.12,7121.61,2013-09-04 00:00:00.000,True
737,693,4,4,2,2013-08-26,2013-09-04,50860.43,4068.83,1271.51,56200.77,2013-09-04 00:00:00.000,True
738,694,4,3,1,2013-08-26,2013-09-04,551.88,44.15,13.8,609.83,2013-09-04 00:00:00.000,True
739,695,4,4,1,2013-08-26,2013-09-04,6987.75,559.02,174.69,7721.46,2013-09-04 00:00:00.000,True
740,696,4,4,2,2013-08-26,2013-09-04,28072.28,2245.78,701.81,31019.86,2013-09-04 00:00:00.000,True
741,697,4,4,1,2013-08-26,2013-09-04,1917.3,153.38,47.93,2118.62,2013-09-04 00:00:00.000,True
742,698,4,4,1,2013-08-26,2013-09-04,7623.0,609.84,190.58,8423.42,2013-09-04 00:00:00.000,True
743,699,4,4,2,2013-08-26,2013-09-04,28297.5,2263.8,707.44,31268.74,2013-09-04 00:00:00.000,True
744,700,4,4,2,2013-08-26,2013-09-04,59.94,4.8,1.5,66.24,2013-09-04 00:00:00.000,True
745,701,4,4,4,2013-08-26,2013-09-04,117.43,9.39,2.94,129.76,2013-09-04 00:00:00.000,True
746,702,4,4,5,2013-08-26,2013-09-04,43878.45,3510.28,1096.96,48485.69,2013-09-04 00:00:00.000,True
747,703,4,4,4,2013-08-26,2013-09-04,383.36,30.67,9.58,423.61,2013-09-04 00:00:00.000,True
748,704,4,3,1,2013-08-26,2013-09-04,10631.78,850.54,265.79,11748.11,2013-09-04 00:00:00.000,True
749,705,4,4,5,2013-08-27,2013-09-05,142.41,11.39,3.56,157.36,2013-09-05 00:00:00.000,True
750,706,4,4,2,2013-08-27,2013-09-05,48030.68,3842.45,1200.77,53073.9,2013-09-05 00:00:00.000,True
751,707,4,4,4,2013-08-27,2013-09-05,22516.73,1801.34,562.92,24880.98,2013-09-05 00:00:00.000,True
752,708,5,4,1,2013-08-27,2013-09-05,1276.28,102.1,31.91,1410.28,2013-09-05 00:00:00.000,True
753,709,4,4,1,2013-08-27,2013-09-05,2003.93,160.31,50.1,2214.34,2013-09-05 00:00:00.000,True
754,710,4,4,2,2013-08-27,2013-09-05,50860.43,4068.83,1271.51,56200.77,2013-09-05 00:00:00.000,True
755,711,4,4,1,2013-08-27,2013-09-05,454.86,36.39,11.37,502.62,2013-09-05 00:00:00.000,True
756,712,4,4,5,2013-08-27,2013-09-05,43878.45,3510.28,1096.96,48485.69,2013-09-05 00:00:00.000,True
757,713,4,4,2,2013-08-27,2013-09-05,7132.13,570.57,178.3,7881.0,2013-09-05 00:00:00.000,True
758,714,4,3,2,2013-08-27,2013-09-05,28343.7,2267.5,708.59,31319.79,2013-09-05 00:00:00.000,True
759,715,4,4,4,2013-08-27,2013-09-05,22516.73,1801.34,562.92,24880.98,2013-09-05 00:00:00.000,True
760,716,4,4,5,2013-08-27,2013-09-05,34644.23,2771.54,866.11,38281.87,2013-09-05 00:00:00.000,True
761,717,4,4,4,2013-08-27,2013-09-05,247.56,19.8,6.19,273.55,2013-09-05 00:00:00.000,True
762,718,4,4,5,2013-08-27,2013-09-05,143.04,11.44,3.58,158.06,2013-09-05 00:00:00.000,True
763,719,4,4,2,2013-08-27,2013-09-05,28199.33,2255.95,704.98,31160.25,2013-09-05 00:00:00.000,True
764,720,4,4,1,2013-08-27,2013-09-05,3713.33,297.07,92.83,4103.22,2013-09-05 00:00:00.000,True
765,721,4,4,4,2013-08-28,2013-09-06,19952.63,1596.21,498.82,22047.65,2013-09-06 00:00:00.000,True
766,722,4,4,5,2013-08-28,2013-09-06,6540.66,523.25,163.52,7227.43,2013-09-06 00:00:00.000,True
767,723,4,4,5,2013-08-28,2013-09-06,5711.48,456.92,142.79,6311.18,2013-09-06 00:00:00.000,True
768,724,4,3,5,2013-08-28,2013-09-06,279.78,22.38,6.99,309.16,2013-09-06 00:00:00.000,True
769,725,4,4,2,2013-08-28,2013-09-06,97.97,7.84,2.45,108.25,2013-09-06 00:00:00.000,True
770,726,4,4,4,2013-08-28,2013-09-06,114.47,9.16,2.86,126.49,2013-09-06 00:00:00.000,True
771,727,4,4,4,2013-08-28,2013-09-06,132.65,10.61,3.32,146.57,2013-09-06 00:00:00.000,True
772,728,4,4,5,2013-08-28,2013-09-06,43878.45,3510.28,1096.96,48485.69,2013-09-06 00:00:00.000,True
773,729,4,4,1,2013-08-28,2013-09-06,418.95,33.52,10.47,462.94,2013-09-06 00:00:00.000,True
774,730,4,4,4,2013-08-28,2013-09-06,366.35,29.31,9.16,404.81,2013-09-06 00:00:00.000,True
775,731,4,4,1,2013-08-28,2013-09-06,461.79,36.94,11.54,510.28,2013-09-06 00:00:00.000,True
776,732,4,4,4,2013-08-28,2013-09-06,272.44,21.8,6.81,301.05,2013-09-06 00:00:00.000,True
777,733,4,4,2,2013-08-28,2013-09-06,37.08,2.97,0.93,40.97,2013-09-06 00:00:00.000,True
778,734,4,3,4,2013-08-28,2013-09-06,21558.08,1724.65,538.95,23821.67,2013-09-06 00:00:00.000,True
779,735,4,4,4,2013-08-28,2013-09-06,800.1,64.01,20.0,884.11,2013-09-06 00:00:00.000,True
780,736,4,4,5,2013-08-28,2013-09-06,86220.75,6897.66,2155.52,95273.93,2013-09-06 00:00:00.000,True
781,737,4,4,4,2013-08-29,2013-09-07,235.9,18.87,5.9,260.67,2013-09-07 00:00:00.000,True
