STOREKEY,BUSINESSENTITYID,STORENAME,SALESPERSONKEY,SALESPERSONID,DEMOGRAPHICS,ROWGUID,STOREMODIFIEDDATE,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
81,452,Field Trip Inc,2,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>International Security</BankName><BusinessType>BS</BusinessType><YearOpened>1978</YearOpened><Specialty>Road</Specialty><SquareFeet>35000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>33</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,f2fa0f044c81dc82dce60440f9d2e0be40a1053d598d103c4f6dc061ce00543f
82,454,Tire Company,2,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>BS</BusinessType><YearOpened>1983</YearOpened><Specialty>Road</Specialty><SquareFeet>37000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>45</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,b2cebf5a7e1410eccec9b6fae45d87a37c9d095142d61711f40c4558db83db47
83,456,Uncompromising Quality Co,13,286,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>BS</BusinessType><YearOpened>1991</YearOpened><Specialty>Touring</Specialty><SquareFeet>39000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>46</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,0d5496f1619246b9dc15ef0b11cb40f96636fda05157a6fd92ddb95db296194a
84,458,Metallic Paint and Overcoat Co,8,281,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1000000</AnnualSales><AnnualRevenue>100000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>BS</BusinessType><YearOpened>1971</YearOpened><Specialty>Road</Specialty><SquareFeet>26000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>28</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,7ed9515079b7d72bdea0d0873d4ec0c7b268678748bd9f3a92c81875c50ee518
85,460,Pro Sporting Goods,3,276,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>OS</BusinessType><YearOpened>1972</YearOpened><Specialty>Mountain</Specialty><SquareFeet>79000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>90</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,731a0c6e7228fc8113da6d40568a8258bfd0c4994a98fe59db87cbc63968106b
86,462,Sporting Goods and Bicycle Shop,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>OS</BusinessType><YearOpened>1977</YearOpened><Specialty>Road</Specialty><SquareFeet>78000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>91</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,547bc27bcdd9b61afd9bfa58ac2eff92fe5e16dc288cb41b52e8a7c6feb365d2
87,464,Odometers and Accessories Company,5,278,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>International Security</BankName><BusinessType>OS</BusinessType><YearOpened>1987</YearOpened><Specialty>Touring</Specialty><SquareFeet>76000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>92</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,5016721a8f0720a446a5b84e747631573701702f889088a0e18b64791cc7c2b9
88,466,Scratch-Resistant Finishes Company,9,282,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>BS</BusinessType><YearOpened>1984</YearOpened><Specialty>Mountain</Specialty><SquareFeet>21000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>16</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,900b3c28231e597a4e7c3575924667dd76886267da0ce01729b69aeb0d6ca0ca
89,468,Topnotch Bikes,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>BS</BusinessType><YearOpened>1978</YearOpened><Specialty>Mountain</Specialty><SquareFeet>22000</SquareFeet><Brands>2</Brands><Internet>T3</Internet><NumberEmployees>13</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,e84022bec9d71be7d8f290dfad376288fabf7a1d2e702d139f3d3cdd8969c55a
90,470,"Unicycles, Bicycles, and Tricycles",8,281,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>BS</BusinessType><YearOpened>1972</YearOpened><Specialty>Touring</Specialty><SquareFeet>17000</SquareFeet><Brands>4+</Brands><Internet>T1</Internet><NumberEmployees>10</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,2acaad14a96620ef42ce45df4d4f2d1e533bd8bb17fa641b75f545c21a4abd95
91,472,Safe Cycles Shop,10,283,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>International Security</BankName><BusinessType>OS</BusinessType><YearOpened>1998</YearOpened><Specialty>Mountain</Specialty><SquareFeet>72000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>73</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,9f98b6280b3743f008c76650436ff16361e1e1d480845defbb20edf18f0ffcc0
92,474,Number 1 Supply,8,281,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>OS</BusinessType><YearOpened>1990</YearOpened><Specialty>Road</Specialty><SquareFeet>75000</SquareFeet><Brands>4+</Brands><Internet>ISDN</Internet><NumberEmployees>76</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,dd7fc276a37eb7bdd579835ab225d92c77906251fc34ba03a67e3f298eddc642
93,476,Industrial Supplies,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>OS</BusinessType><YearOpened>1995</YearOpened><Specialty>Touring</Specialty><SquareFeet>73000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>79</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,9f1f24745c58a7e06cbe7910732cc782715194bb67d64418199c22bc4a2c86a4
94,478,Golf and Cycle Store,8,281,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>OS</BusinessType><YearOpened>1978</YearOpened><Specialty>Mountain</Specialty><SquareFeet>75000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>86</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,4bdb2e00c1ba3267523ebf1b6b0544a3b08cecc384ba5e61a3057008d4ef6ab7
95,480,Front Runner Bikes,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>International Security</BankName><BusinessType>OS</BusinessType><YearOpened>1983</YearOpened><Specialty>Touring</Specialty><SquareFeet>77000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>87</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,ff4f12f3f7a0a1f72562363d9c88c8f24ca0f0946f7dc28802d609c9500508eb
96,482,Favorite Toy Distributor,17,290,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>OS</BusinessType><YearOpened>1975</YearOpened><Specialty>Touring</Specialty><SquareFeet>77000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>88</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,aa3e8474899e11749ab0590dc0117129842caf32749a0934552cba3f27a62cdb
97,484,World Bike Discount Store,3,276,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>BS</BusinessType><YearOpened>1979</YearOpened><Specialty>Road</Specialty><SquareFeet>39000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>38</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,082603f44ef4b114d41315fbe43d722e4103d4b658d7738f7ff364648b89eddf
98,486,Global Sporting Goods,4,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>BS</BusinessType><YearOpened>1974</YearOpened><Specialty>Road</Specialty><SquareFeet>36000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>39</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,b8d3cdd20017b16d7be3cd69b34ea2b478076414c55e38e5f3d011a284893773
99,488,Historic Bicycle Sales,2,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>BS</BusinessType><YearOpened>1982</YearOpened><Specialty>Mountain</Specialty><SquareFeet>38000</SquareFeet><Brands>2</Brands><Internet>T1</Internet><NumberEmployees>40</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,863f17d09b606e46f5129857e02d290dec753e5bf8a02e264fe2e04e0bebebf5
100,490,Commuter Bicycle Store,9,282,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>BM</BusinessType><YearOpened>1987</YearOpened><Specialty>Touring</Specialty><SquareFeet>22000</SquareFeet><Brands>4+</Brands><Internet>T1</Internet><NumberEmployees>17</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,ca103e4334616ede5c5ba0429fefa849a9300f2cf3535e27589adb6ba94ef32f
101,492,Coalition Bike Company,8,281,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>United Security</BankName><BusinessType>BM</BusinessType><YearOpened>1997</YearOpened><Specialty>Mountain</Specialty><SquareFeet>23000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>18</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,a7997b3ec666819cf99d05d234cf7f7c094010150b2d5e1a64c73f409a8f3b1f
102,494,Travel Systems,4,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>BM</BusinessType><YearOpened>1975</YearOpened><Specialty>Road</Specialty><SquareFeet>21000</SquareFeet><Brands>4+</Brands><Internet>T2</Internet><NumberEmployees>19</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,b03598877bdbeffd561570f89b8926d01e4877e8c67131dee3f0ade9b9d343c0
103,496,Grease and Oil Products Company,4,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>BS</BusinessType><YearOpened>1979</YearOpened><Specialty>Road</Specialty><SquareFeet>36000</SquareFeet><Brands>4+</Brands><Internet>T2</Internet><NumberEmployees>38</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,fa2fd8e65860c0946383a40c870c8e13be8293ce86e9f20ea113902e5aded54c
104,498,Moderately-Priced Bikes Store,7,280,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>International Security</BankName><BusinessType>BS</BusinessType><YearOpened>1974</YearOpened><Specialty>Mountain</Specialty><SquareFeet>39000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>39</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,bee6ea2bc3576aaa6ce63cc90810dfc78ed21d1aba7a95584535850b155e0ecd
105,500,Toy Manufacturing Inc,5,278,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>BS</BusinessType><YearOpened>1977</YearOpened><Specialty>Road</Specialty><SquareFeet>40000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>41</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,8ae1451f698784c9a874e29210d73d0b72296a21f24e74523d03e3265a5d3747
106,502,Eighty Toy Stores,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>BS</BusinessType><YearOpened>1985</YearOpened><Specialty>Road</Specialty><SquareFeet>37000</SquareFeet><Brands>4+</Brands><Internet>T1</Internet><NumberEmployees>42</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,82b44b09ca7f3cfa39012a43bbe36c77839b6f78bd3bcc8de1406834248f9a41
107,504,Economy Bikes Company,3,276,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>BS</BusinessType><YearOpened>1980</YearOpened><Specialty>Mountain</Specialty><SquareFeet>41000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>43</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,4c06ba88d8bd2304f81c4f1d4a34ed70213c040f45044ca686e81dbe90165bbd
108,506,Third Bike Store,4,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>United Security</BankName><BusinessType>BS</BusinessType><YearOpened>1988</YearOpened><Specialty>Road</Specialty><SquareFeet>37000</SquareFeet><Brands>4+</Brands><Internet>T1</Internet><NumberEmployees>44</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,00f047f8d650403d228d66ad7289cd88aeb2513d6732b28c983a4020b6b27b40
109,508,Atypical Bike Company,17,290,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1000000</AnnualSales><AnnualRevenue>100000</AnnualRevenue><BankName>Reserve Security</BankName><BusinessType>BM</BusinessType><YearOpened>2000</YearOpened><Specialty>Road</Specialty><SquareFeet>25000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>20</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,1bc6df0ab12002e3fb9778808a8a218e2e1fb3384f837676b4a38293962161ff
110,510,Bikes for Two,9,282,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>United Security</BankName><BusinessType>BM</BusinessType><YearOpened>1994</YearOpened><Specialty>Mountain</Specialty><SquareFeet>22000</SquareFeet><Brands>3</Brands><Internet>T1</Internet><NumberEmployees>18</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,a41005a29756e51bcd0e734ad2bcacfa3cc20d3d7326350ada337f5666c430e8
111,512,Metal Processing Company,5,278,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>International Security</BankName><BusinessType>BS</BusinessType><YearOpened>1986</YearOpened><Specialty>Road</Specialty><SquareFeet>39000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>47</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,ec3db34b230c4d40e37e5a807d46a3c94bb4461bb21924cb2083d9b9eb862a42
112,514,Widget Bicycle Specialists,6,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>BS</BusinessType><YearOpened>1994</YearOpened><Specialty>Road</Specialty><SquareFeet>38000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>48</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,877d05a62df6574aba0b071aaee441c0343fc54ae8710f3f54c000b2ae35a171
113,516,Initial Bike Company,8,281,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>International Security</BankName><BusinessType>BM</BusinessType><YearOpened>1996</YearOpened><Specialty>Mountain</Specialty><SquareFeet>19000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>13</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,6708894afbdd8778b3ce45e6573a8879977e5eb16bfb59a1324d3c6993a30c22
114,518,Latest Sports Equipment,10,283,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>BM</BusinessType><YearOpened>1991</YearOpened><Specialty>Mountain</Specialty><SquareFeet>18000</SquareFeet><Brands>4+</Brands><Internet>T1</Internet><NumberEmployees>14</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,e3d9f980335d8b22ce9913b1dbd3cc28be1c6f35f646d5ccecb5a145fa790ba1
115,520,Modern Bike Store,2,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>BM</BusinessType><YearOpened>1999</YearOpened><Specialty>Road</Specialty><SquareFeet>21000</SquareFeet><Brands>4+</Brands><Internet>T1</Internet><NumberEmployees>15</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,2b009879ed34a15077f1f3e457fc9b7ec0157f766feb1759bfac2a3e0eb9d27d
116,522,Raw Materials Inc,7,280,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>OS</BusinessType><YearOpened>1998</YearOpened><Specialty>Mountain</Specialty><SquareFeet>74000</SquareFeet><Brands>4+</Brands><Internet>ISDN</Internet><NumberEmployees>73</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,47494ee3e5f73302f7d5720cc1c57283acdfb25721a1a85e7d70dce0de98ab4c
117,524,Lots of Bikes Storehouse,4,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>OS</BusinessType><YearOpened>1990</YearOpened><Specialty>Mountain</Specialty><SquareFeet>73000</SquareFeet><Brands>2</Brands><Internet>T1</Internet><NumberEmployees>76</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,da4cc19d64ef85aa5a42ca91f1c03445dedfea786338db80992e1f59931abcc3
118,526,Futuristic Bikes,8,281,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>United Security</BankName><BusinessType>OS</BusinessType><YearOpened>1995</YearOpened><Specialty>Mountain</Specialty><SquareFeet>77000</SquareFeet><Brands>2</Brands><Internet>DSL</Internet><NumberEmployees>79</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,8863bb29566a189f94cb029e4448df66ac51f066e380a1787351c65e50d2abd9
119,528,Parcel Express Delivery Service,10,283,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>United Security</BankName><BusinessType>BS</BusinessType><YearOpened>1979</YearOpened><Specialty>Road</Specialty><SquareFeet>36000</SquareFeet><Brands>4+</Brands><Internet>DSL</Internet><NumberEmployees>38</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,7ccee3ac58af243d75941ad602c9f9ef01b1eae87469de056cb50aa3d999e8bf
120,530,Outdoor Distributors,2,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>BS</BusinessType><YearOpened>1974</YearOpened><Specialty>Mountain</Specialty><SquareFeet>36000</SquareFeet><Brands>3</Brands><Internet>DSL</Internet><NumberEmployees>39</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,4bddc165dd9c8d41b74910abd3baf0b066e2e8d40df3640b4784e33137c118ac
121,532,North Bike Company,15,288,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>BS</BusinessType><YearOpened>1982</YearOpened><Specialty>Road</Specialty><SquareFeet>37000</SquareFeet><Brands>4+</Brands><Internet>T1</Internet><NumberEmployees>40</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,052dbd539c9ff4a35fab13fe4e8e3bc5da2ea53238c3ed0fe9406fae8306e3ca
122,534,Prosperous Tours,16,289,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>OS</BusinessType><YearOpened>1999</YearOpened><Specialty>Road</Specialty><SquareFeet>79000</SquareFeet><Brands>4+</Brands><Internet>T1</Internet><NumberEmployees>99</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,b25ab0eabfac8a7de161fbdb3698bd0dbdce3cecd6110c49f270acfcbdeea5fe
123,536,Nonskid Tire Company,7,280,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>3000000</AnnualSales><AnnualRevenue>300000</AnnualRevenue><BankName>International Security</BankName><BusinessType>OS</BusinessType><YearOpened>1999</YearOpened><Specialty>Mountain</Specialty><SquareFeet>80000</SquareFeet><Brands>3</Brands><Internet>T2</Internet><NumberEmployees>100</NumberEmployees></StoreSurvey>",,2014-09-12 11:15:07.497,True,2006-06-23,9999-12-31 00:00:00,a4f0827f18e97e8bc2a0cb2933caad7b7e086d36c1df4908b7a0441dc978c78b
