PRODUCTKEY,PRODUCTID,PRODUCTNAME,FINISHEDGOODSFLAG,COLOR,SAFETYSTOCKLEVEL,REORDERPOINT,STANDARDCOST,LISTPRICE,SIZE,WEIGHT,DAYSTOMANUFACTURE,PRODUCTLINE,CLASS,STYLE,PRODUCTMODIFIEDDATE,SUBCATEPROMODIFIEDDATE,CATEPROMODIFIEDDATE,PRODUCTSUBCATEGORYID,PRODUCTCATEGORYID,CATEGORYNAME,SELLSTARTDATE,SELLENDDATE,DISCONTINUEDDATE,PRICERANKINSUBCATEGORY,PROFITMARGINPCT,TOTALPROINCATE,AVGPRICEBYSUBCATEGORY,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
84,473,Lock Washer 9,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,7316589a7b3312a0f92cc9bb2469d583470cfa3cf7770ab24974b0ebd369e0f0
85,438,Lock Nut 5,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,0f22e1c5c01e54a36f3efd1d42415d53facd3a38de91d68c3984778e48f4b62a
86,427,Thin-Jam Lock Nut 16,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,06636be2bc02adb515c77a05b7d05a0f12d8caf4e692e5b4a871c52a705f1476
87,428,Thin-Jam Lock Nut 5,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,d2ddd38b6330039499d13a053ab9da16eafaca762d5ff6a7d414ee2f55d39ddd
88,429,Thin-Jam Lock Nut 6,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,a0ae9cf0038a9dacbba03ee3a2f4d0414600b90e11eaf4f30d635b434655f4b9
89,430,Thin-Jam Lock Nut 3,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,d0641e6f6cac8fac0fb64a9acb8ddff54777b0a4b7987c1b58ac5ae973d784dc
90,431,Thin-Jam Lock Nut 4,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,8777e628d63307a0652d7350ab846b9d3c94f682cc7516897c17738414924662
91,432,Thin-Jam Lock Nut 13,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,8279aee754023e373c2850d5cf24baae92413d75d8efa72284530c39daddf3d5
92,433,Thin-Jam Lock Nut 14,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,c30e9a35bc529b61a3c6bce4418ca0508562fe6a306d684e95d5ca50de2d7ebe
93,434,Thin-Jam Lock Nut 7,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,652f886c8c78b3772e42bd02ba4f8d7cd7cb4025d02480dc09c614565002f4d9
94,435,Thin-Jam Lock Nut 8,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,ad22c921d8ec26f45826e5d2002fca5d6829f31140760205314f3cb5ae72495b
95,436,Thin-Jam Lock Nut 12,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,c6fa3a11317019ff120fe59b1c1509db05d49a8d72c2eb7fa21e447bdaf1c9ec
96,437,Thin-Jam Lock Nut 11,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,1e7fa52b9511476bc188b577d490817e252fbf780e36ccd63ed84e0039de7419
97,450,Lock Nut 10,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,404ffe036ece6d75358bde83fcb0c32b9ce3c2ca82c1c8f01cda793438d9c579
98,439,Lock Nut 6,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,7ecbbdd4bb01e85059952e2a93a0fcb2b4aa6a70e3ff3a7d477f03700637d8fc
99,440,Lock Nut 16,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,9bd548783eccdf260909368ccea54428d555d88240ab439ae17acb127ea1f5b5
100,441,Lock Nut 17,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,0f9763d6c87646a1b4ca637df9ed297a698ab97df7b29284c253e2a2f2041481
101,442,Lock Nut 7,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,1b2b88852ee1621521b3b39c105a94f4cef6bb2c064d236babf1f86c2de4f1da
102,443,Lock Nut 8,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,03b165ab1e597024985f817f50d3dde07a8501cec174da09441af36aa92a12b1
103,444,Lock Nut 9,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,3c4ca4c39666432523266544e6331c3833388541a0a07810bf126421aedeb411
104,479,Metal Plate 2,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,3ca37c41beabb190b58d81931c45167db4f0ab2c9da4fb421abe255d110d30fc
105,446,Lock Nut 23,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,fb091ad751a4a43754ecc0e422668d9c5602ec4121de6d06fada424e85b99ca6
106,447,Lock Nut 12,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,5edadf64324505d7262b7a1fefde85f2c02734e29b8f388c221e40c730134880
107,448,Lock Nut 13,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,10b37a146ff48598fa56961851eb1c21110ee9f2afc115ef730e18c4ae7aa721
108,449,Lock Nut 1,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,208e26d1db71aeb7fe673028cfc8591428f9295cf89cf5c1ea8485f612afd711
109,525,LL Shell,False,,800,600,0,0,,,0,,L ,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,bfc42ed0538d109ec20354155e49e81cb35684e26b04aaf6d80326b7b553e4f3
110,505,Cone-Shaped Race,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,b417f86e1d2219459a1dd51e45dbcd4aa7ac1fe3922cf9bcd4330b1d95329ec1
111,506,Reflector,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,04cfc71c373af11263f0d5531b121a570e5c4902a934f3d1dc10aa212d392f27
112,507,LL Mountain Rim,False,,800,600,0,0,,435.0,0,,L ,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,61819ad57bcf034c7d83f6b6d608fcbeef75928e41b4d9f273283b5afb79c237
113,508,ML Mountain Rim,False,,800,600,0,0,,450.0,0,,M ,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,32519552d5fecbaab9c11ea8c13bcd7bc1bc8ef2fb403701fd816e4887a5f6c7
114,509,HL Mountain Rim,False,,800,600,0,0,,400.0,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,ecd90447937b5f26a6a8fd10285d5d1c613430a272af70411cd2cc2bae9350db
115,510,LL Road Rim,False,,800,600,0,0,,445.0,0,,L ,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,062f7534de12876c856a0d97129599e801841abdbe10b2f56ac89433265ec1ca
116,511,ML Road Rim,False,,800,600,0,0,,450.0,0,,M ,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,8bd26f8e096c38a3a31f4acfa33e961babe51ab69d872aab3898d2c6db3e205a
117,512,HL Road Rim,False,,800,600,0,0,,400.0,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,49c8f46fcdfbe55cdf84f307e21e1b8c64591ad0e2be2b50067803527172700f
118,513,Touring Rim,False,,800,600,0,0,,460.0,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,a07c2f85a6771cfe5e17af40dc5e8042a7812f01ae60cb3888ec91ccc844615e
119,523,LL Spindle/Axle,False,,500,375,0,0,,,0,,L ,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,686d1a563d6a8c67593e8b7516a3e898041451e6cd52bcd6c6166d1259edaa21
120,524,HL Spindle/Axle,False,,500,375,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,aad84dc4a9512c8fc9a154281c87784c6322de3eaac4038ded608ad0ff401349
121,504,Cup-Shaped Race,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,555c20ff39460140d080d38ad9819ac8dd3049de407f2c1db3dd302b60185d33
122,526,HL Shell,False,,800,600,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,394c95760c33f866ee6c440a5bbd4733b6a41384ad27b76ab1218511fd0c9bc9
123,527,Spokes,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,0ef96da4c55dc2b2fdbe7ed9e777c8f8f96348ebd56ca8184a322bd7f3789157
124,528,Seat Lug,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,29fb3368a4e167d70ad36f4ae117b5d1d2e439b64c7da6316549dba957969ee0
125,529,Stem,False,,500,375,0,0,,,1,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,f20d96df49344a35522eb7d6cbca58bda8f178daef8d112dd3a5c176cb31cb14
126,530,Seat Post,False,,500,375,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,b183c1aad8a894c31507e4ba63bd332085de1437b053a120013f58811addc0d6
127,531,Steerer,False,,500,375,0,0,,,1,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,47851edeb5e90cf274239b583e49a5bfe9c78d23efd93182c705045303363919
128,532,Seat Stays,False,,800,600,0,0,,,1,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,ca0113beeb56f213b24052c82c5b5a32ec3711acaf86c480da08254a65eecc4c
129,533,Seat Tube,False,,500,375,0,0,,,1,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,456513eb71a686e577b85142bdaf8d671ae97c54dfe00b90ae216bfee823897d
130,534,Top Tube,False,,500,375,0,0,,,1,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,e053b82fdad9ccc9d0db7aa04ef75103eda301606117b9ed4b1a9a3811c1568c
131,535,Tension Pulley,False,,800,600,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,1375de563a66e17620b0bca8f0108fa468794c68dc0b61f79ad7a26ba38ca4d8
132,679,Rear Derailleur Cage,False,Silver,500,375,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,733772a000acdb5d18d08f0c24696a537abedcdbde8014f73c84dbf3048b377a
133,486,Metal Sheet 5,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,f830b81a99dfdf62a6ccbab3847b89b0ff23c40b57f352a7e9dcfe127e4c2328
134,475,Lock Washer 11,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,64082398d234733e7f1c679ea25044e4dcd438a562bfe74cceb2baf3553db401
135,476,Metal Angle,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,81b5c4a7bd357dc929f3ff0f57ba641bc9569b169d0121beeedb65272757298f
136,477,Metal Bar 1,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,32d0b5aee6a554ae2115274493edc89cef1cff2379a0cf7b13cbfd554f435fd9
137,478,Metal Bar 2,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,aa6fd60c11b8fbb4a824bdf9183214b7f17b45b23d9b4e107cc4565f9e07f332
138,426,Thin-Jam Lock Nut 15,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,398f36eb8fe5b2d71e0046ee1a33977dc539fd8b21bf9020a5e50767e5cab3c5
139,480,Metal Plate 1,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,3ed1272e4eeacd3841d859127c81a9b45fd61bb6777ce741b3346247b8cbb5cd
140,481,Metal Plate 3,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,40a91457a8c13703eb783791923b4c6e5b452bbbfa148da13d0d4c76fe46ada2
141,482,Metal Sheet 2,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,1dcd8ea45e1d02c18567f27739f06287159007fce20e810bf495b92ea4af3bb6
142,483,Metal Sheet 3,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,4aefe42d393d6272fe57d0a878b564af15c55a298373daab2e64b281c3c96237
143,484,Metal Sheet 7,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,72bc5c573c36ba79043c0d1f7f050d1577099a6fc38d2b11bda39f85b2ad0585
144,485,Metal Sheet 4,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,b6299473d05de905e8c9265b5696d3375e187bb00d78f3077cb12d0b6e54dda5
145,474,Lock Washer 3,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,81515ad7ec83b090f294d50a4fe579fe2723d75c5ffa490343a38274d3ea7ccf
146,487,Metal Sheet 6,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,c6b3b15ea53303d910a62d97553c8486ba630f463b8db7b57e5548559ab27388
147,488,Metal Sheet 1,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,1983e4d41b6e5fc4a1a927e93894d6e735786dc16f1bb54be3ab8706f27efee6
148,489,Metal Tread Plate,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,1ab81bf95f87bead88171f34e7078a58c9d0bb34d18fb6407d18b6b115b0e77f
149,490,LL Nipple,False,,1000,750,0,0,,,0,,L ,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,3c95678a02ba8217b52a88a921a3eaff416f4c7c7ff2e610c70be7659fd94ddf
150,491,HL Nipple,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,41a2b1851a088d5bb2435b34c009e1ea78de12442eda14dd2ba5c2e97ce9403b
151,492,Paint - Black,False,,60,45,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,17d9380e07ced375dad241b7ae5e12f3f1f901e3b856a74b9ede576f346a0358
152,493,Paint - Red,False,,60,45,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,47bf8d42630446261afbed5f47de9194c1015d43203e79281f8935de4f6df87b
153,494,Paint - Silver,False,,60,45,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,411930295db73dd4f2bb4737ff8911b22a29e5e78e7ac31c89d81397fd308df9
154,495,Paint - Blue,False,,60,45,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,d736f060ad4b174d3f8e0ea1be253bcc4b76e914a44ba5f000d1c16ae3162cdf
155,496,Paint - Yellow,False,,60,45,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,ee86484be2ebe94e4f7984ce31ed7b43261641e7a7266f64948e2fd0dd0f8425
156,497,Pinch Bolt,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,a01c97d9ee508d074f96f6421320a8b342629066dca46d050cd724384af90937
157,361,Thin-Jam Hex Nut 1,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,a58120cad2995429a349718755c6465ef77cc637cb0a483cd4c3df73aac19f7a
158,347,Flat Washer 8,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,e5118b08a37cee1b2b03c58d68e0d2bc0b27f27e83659dbc1e5c10e6078c6b7e
159,348,Flat Washer 5,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,34abc1bbc75d1f95334b606d1cdca91c85f35a5fe3dcc9a9c09c44f1d48e5a1c
160,349,Flat Washer 7,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,9dfaaac740fd014151d91a08c88ab0ab323e024f8d9d854b5c53b8d59f8b6ed0
161,350,Fork Crown,False,,800,600,0,0,,,1,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,5b4083c78f13eb1537ab3f5acc2bd7f3e70cf8ea6bdd92d126668a5bcf4e29de
162,351,Front Derailleur Cage,False,Silver,800,600,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,774c26cd8809594727d549fdce4ef8ef779639f6e2a02b35791ebbc56083232a
163,352,Front Derailleur Linkage,False,Silver,800,600,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,80c15f7e7013f5c6c45839ef07d8d5d2d21d267ea1635238c25dbc475a943ad0
164,355,Guide Pulley,False,,800,600,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,086fc62f449329ccc08b7bae7874c87c8809a6931185df7ddc28bef505b57bfa
165,356,LL Grip Tape,False,,800,600,0,0,,,0,,L ,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,39c867a8be92cdc458e8697afc54a2e6ea4b1540bfa9f25462194181b92b9a5c
166,357,ML Grip Tape,False,,800,600,0,0,,,0,,M ,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,438cd5b225e864f8654883cb75d334134ef60e9070858bb5eca474193eb002ef
167,358,HL Grip Tape,False,,800,600,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,44de2a311af05c15dce253fbe7611ce0e270cbbd5d31aa398e8f532816ce45cf
168,359,Thin-Jam Hex Nut 9,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,0fc11d3915b82e72df4798b0ec166e05ce47c5f3e427d024494945254d330150
169,360,Thin-Jam Hex Nut 10,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,f877e967fca7263e971ed839153fda5b927e4d4c7ecbdf344885d0d03237e1f3
170,346,Flat Washer 3,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,6b6f8d46601b84d3f1bb809d5dbe174d4e5cf762346129ef901efa7a5759aa15
171,362,Thin-Jam Hex Nut 2,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,3df692fa8bafe67b5870523fbc12ae3791735dc8f69fb9c19bdc236693a8fd28
172,363,Thin-Jam Hex Nut 15,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,3db58f0994e82d912dbc0404f48328db7118670740869a841439c1dceb724fdd
173,364,Thin-Jam Hex Nut 16,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,1be3489ff0664a51556c063338ab80cd4f2549aeb33d1ff29466fa2c09e0e845
174,365,Thin-Jam Hex Nut 5,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,a36f2241107e3a0a5605caa5eb47fe0efc74373b00a253f9ab199c72f904ee0e
175,366,Thin-Jam Hex Nut 6,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,d7ec33cd683cad858ad14ce74ed7d7dc345f49fad48b3a7d1524571bc6972434
176,367,Thin-Jam Hex Nut 3,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,40f40591d2d42d76ee4e98fbc7c7525e5d8a3c5097f8f3bdce32761f2b6d3078
177,368,Thin-Jam Hex Nut 4,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,ee0b520371c39f505989d5080be19c057476589ca78aa2dd50e86edbb10bf703
178,369,Thin-Jam Hex Nut 13,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,528af5036650ecc31185d389bfed129be5693c003084821adf103ff1c5dc9d14
179,370,Thin-Jam Hex Nut 14,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,f4b013678ffec2eece1162b3c84909134bde197cc837e9bbf2f49e81000bb4b4
180,371,Thin-Jam Hex Nut 7,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,f424fa332cf9e514361b777045ec4a0cd4ac65228451471d6d285d13437a687d
181,372,Thin-Jam Hex Nut 8,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,c85d94d78505f77181adf2283fa31a46d36b988dc1f09433ccb3240925db7b2a
182,373,Thin-Jam Hex Nut 12,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,35596b06f4f9871881ad9762ba57629ee1c97cfcee8f130df1a8955255e356e1
183,325,Decal 1,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,00b0db65e86c268a713ee4e2e4850565d465754ed05fdf19282b4ccaa38055c0
184,2,Bearing Ball,False,,1000,750,0,0,,,0,,,,2014-02-08 10:01:36.827,,,,,,2008-04-30,,,4,,209,7,True,2006-06-23,9999-12-31 00:00:00,d3533409e198b39f8b14d7c2a72d577aa57985d77aee22fe20b15aba2504d298
