PURCHASEORDERDETAILKEY,PURCHASEORDERID,PURCHASEORDERDETAILID,PURCHASEORDERHEADERKEY,PRODUCTKEY,DUEDATE,ORDERQTY,UNITPRICE,LINETOTAL,RECEIVEDQTY,REJECTEDQTY,STOCKEDQTY,ORDERDETAILMODIFIEDDATE,ISCURRENT
2213,759,1681,803,178,2013-09-15,3,39.28,117.84,3.0,0.0,3.0,2013-09-08,True
2214,759,1682,803,179,2013-09-15,3,43.55,130.66,3.0,0.0,3.0,2013-09-08,True
2215,759,1683,803,180,2013-09-15,3,39.28,117.84,3.0,0.0,3.0,2013-09-08,True
2216,759,1684,803,181,2013-09-15,3,37.18,111.54,3.0,0.0,3.0,2013-09-08,True
2217,760,1685,804,126,2013-09-15,550,16.09,8847.3,550.0,0.0,550.0,2013-09-08,True
2218,761,1686,805,186,2013-09-15,3,57.03,171.08,3.0,0.0,3.0,2013-09-08,True
2219,762,1687,806,117,2013-09-15,550,37.09,20397.3,550.0,82.0,468.0,2013-09-08,True
2220,763,1688,807,118,2013-09-15,550,26.6,14628.08,550.0,0.0,550.0,2013-09-08,True
2221,764,1689,808,188,2013-09-15,550,27.06,14882.18,550.0,0.0,550.0,2013-09-08,True
2222,764,1690,808,189,2013-09-15,550,33.58,18468.45,550.0,0.0,550.0,2013-09-08,True
2223,765,1691,809,214,2013-09-15,3,49.64,148.93,3.0,0.0,3.0,2013-09-08,True
2224,765,1692,809,215,2013-09-15,3,45.37,136.11,3.0,0.0,3.0,2013-09-08,True
2225,765,1693,809,216,2013-09-15,3,43.27,129.81,3.0,0.0,3.0,2013-09-08,True
2226,765,1694,809,217,2013-09-15,3,47.54,142.63,3.0,0.0,3.0,2013-09-08,True
2227,765,1695,809,218,2013-09-15,3,43.27,129.81,3.0,0.0,3.0,2013-09-08,True
2228,765,1696,809,219,2013-09-15,3,41.17,123.51,3.0,0.0,3.0,2013-09-08,True
2229,765,1697,809,220,2013-09-15,3,45.44,136.33,3.0,0.0,3.0,2013-09-08,True
2230,765,1698,809,221,2013-09-15,3,41.17,123.51,3.0,0.0,3.0,2013-09-08,True
2231,765,1699,809,209,2013-09-15,3,39.07,117.21,3.0,0.0,3.0,2013-09-08,True
2232,765,1700,809,223,2013-09-15,3,43.34,130.03,3.0,0.0,3.0,2013-09-08,True
2233,765,1701,809,224,2013-09-15,3,39.07,117.21,3.0,0.0,3.0,2013-09-08,True
2234,765,1702,809,225,2013-09-15,3,36.97,110.91,3.0,0.0,3.0,2013-09-08,True
2235,765,1703,809,226,2013-09-15,3,41.24,123.73,3.0,0.0,3.0,2013-09-08,True
2236,765,1704,809,227,2013-09-15,3,36.97,110.91,3.0,0.0,3.0,2013-09-08,True
2237,765,1705,809,228,2013-09-15,3,34.87,104.61,3.0,0.0,3.0,2013-09-08,True
2238,765,1706,809,229,2013-09-15,3,39.14,117.43,3.0,0.0,3.0,2013-09-08,True
2239,765,1707,809,230,2013-09-15,3,47.58,142.73,3.0,0.0,3.0,2013-09-08,True
2240,766,1708,810,95,2013-09-15,3,41.3,123.89,3.0,0.0,3.0,2013-09-08,True
2241,766,1709,810,96,2013-09-15,3,37.02,111.07,3.0,0.0,3.0,2013-09-08,True
2242,767,1710,811,193,2013-09-15,60,25.42,1525.23,60.0,0.0,60.0,2013-09-08,True
2243,768,1711,812,85,2013-09-15,3,41.22,123.67,3.0,0.0,3.0,2013-09-08,True
2244,768,1712,812,98,2013-09-15,3,45.5,136.49,3.0,0.0,3.0,2013-09-08,True
2245,768,1713,812,99,2013-09-15,3,41.22,123.67,3.0,0.0,3.0,2013-09-08,True
2246,768,1714,812,100,2013-09-15,3,39.12,117.37,3.0,0.0,3.0,2013-09-08,True
2247,768,1715,812,101,2013-09-15,3,43.4,130.19,3.0,0.0,3.0,2013-09-08,True
2248,769,1716,1301,6,2013-09-15,550,62.99,34644.23,550.0,0.0,550.0,2013-09-08,True
2249,770,1717,1302,191,2013-09-15,3,45.37,136.11,3.0,0.0,3.0,2013-09-08,True
2250,770,1718,1302,192,2013-09-15,3,40.49,121.46,3.0,0.0,3.0,2013-09-08,True
2251,770,1719,1302,193,2013-09-15,60,26.37,1581.93,60.0,0.0,60.0,2013-09-08,True
2252,771,1720,1303,121,2013-09-15,3,48.76,146.29,3.0,0.0,3.0,2013-09-08,True
2253,772,1721,1304,156,2013-09-15,3,34.19,102.56,3.0,0.0,3.0,2013-09-08,True
2254,773,1722,1305,194,2013-09-16,3,50.26,150.79,3.0,0.0,3.0,2013-09-09,True
2255,774,1723,1306,119,2013-09-16,550,10.73,5902.05,550.0,0.0,550.0,2013-09-09,True
2256,774,1724,1306,120,2013-09-16,550,14.12,7767.38,550.0,0.0,550.0,2013-09-09,True
2257,775,1725,1307,153,2013-09-16,60,53.2,3192.21,60.0,0.0,60.0,2013-09-09,True
2258,775,1726,1307,154,2013-09-16,60,63.69,3821.58,57.0,0.0,57.0,2013-09-09,True
2259,775,1727,1307,155,2013-09-16,60,48.91,2934.54,60.0,0.0,60.0,2013-09-09,True
2260,776,1728,1308,441,2013-09-16,550,21.09,11601.98,468.0,0.0,468.0,2013-09-09,True
2261,776,1729,1308,438,2013-09-16,550,30.44,16741.73,550.0,0.0,550.0,2013-09-09,True
2262,776,1730,1308,435,2013-09-16,550,40.94,22516.73,550.0,0.0,550.0,2013-09-09,True
2263,776,1731,1308,442,2013-09-16,550,21.09,11601.98,550.0,0.0,550.0,2013-09-09,True
2264,777,1732,1309,111,2013-09-16,60,9.2,551.88,60.0,0.0,60.0,2013-09-09,True
2265,778,1733,1310,162,2013-09-16,550,5.78,3176.25,550.0,0.0,550.0,2013-09-09,True
2266,778,1734,1310,163,2013-09-16,550,1.16,635.25,550.0,0.0,550.0,2013-09-09,True
2267,778,1735,1310,132,2013-09-16,550,5.78,3176.25,550.0,0.0,550.0,2013-09-09,True
2268,779,1736,1311,112,2013-09-16,550,23.39,12866.7,550.0,0.0,550.0,2013-09-09,True
2269,779,1737,1311,113,2013-09-16,550,27.65,15205.58,550.0,0.0,550.0,2013-09-09,True
2270,780,1738,1312,164,2013-09-16,550,1.37,750.75,550.0,0.0,550.0,2013-09-09,True
2271,780,1739,1312,5,2013-09-16,550,62.99,34644.23,550.0,55.0,495.0,2013-09-09,True
2272,780,1740,1312,131,2013-09-16,550,3.49,1917.3,550.0,0.0,550.0,2013-09-09,True
2273,781,1741,1313,162,2013-09-16,550,6.2,3407.25,550.0,0.0,550.0,2013-09-09,True
2274,781,1742,1313,163,2013-09-16,550,1.47,808.5,550.0,0.0,550.0,2013-09-09,True
2275,781,1743,1313,132,2013-09-16,550,6.2,3407.25,550.0,27.0,523.0,2013-09-09,True
2276,782,1744,1314,112,2013-09-16,550,22.17,12191.03,550.0,82.0,468.0,2013-09-09,True
2277,782,1745,1314,113,2013-09-16,550,29.28,16106.48,550.0,0.0,550.0,2013-09-09,True
2278,783,1746,1315,150,2013-09-16,3,19.98,59.94,3.0,0.0,3.0,2013-09-09,True
2279,784,1747,1316,204,2013-09-16,3,41.17,123.51,3.0,0.0,3.0,2013-09-09,True
2280,784,1748,1316,205,2013-09-16,3,39.07,117.21,3.0,0.0,3.0,2013-09-09,True
2281,785,1749,1317,9,2013-09-16,550,31.49,17319.23,550.0,0.0,550.0,2013-09-09,True
2282,785,1750,1317,7,2013-09-16,550,48.29,26559.23,523.0,0.0,523.0,2013-09-09,True
2283,786,1751,1318,249,2013-09-16,3,39.07,117.21,3.0,0.0,3.0,2013-09-09,True
2284,786,1752,1318,250,2013-09-16,3,43.34,130.03,3.0,0.0,3.0,2013-09-09,True
2285,786,1753,1318,251,2013-09-16,3,39.07,117.21,3.0,0.0,3.0,2013-09-09,True
2286,786,1754,1318,252,2013-09-16,3,36.97,110.91,3.0,0.0,3.0,2013-09-09,True
2287,787,1755,1319,135,2013-09-16,550,15.89,8737.58,550.0,0.0,550.0,2013-09-09,True
2288,787,1756,1319,136,2013-09-16,550,11.67,6416.03,550.0,0.0,550.0,2013-09-09,True
2289,787,1757,1319,137,2013-09-16,550,11.09,6098.4,550.0,0.0,550.0,2013-09-09,True
2290,787,1758,1319,104,2013-09-16,550,15.89,8737.58,550.0,0.0,550.0,2013-09-09,True
2291,787,1759,1319,139,2013-09-16,550,11.67,6416.03,550.0,0.0,550.0,2013-09-09,True
2292,787,1760,1319,140,2013-09-16,550,11.09,6098.4,550.0,0.0,550.0,2013-09-09,True
2293,788,1761,1320,211,2013-09-16,3,47.47,142.41,3.0,0.0,3.0,2013-09-09,True
2294,789,1762,1321,115,2013-09-17,550,23.08,12693.45,550.0,0.0,550.0,2013-09-10,True
2295,789,1763,1321,116,2013-09-17,550,29.27,16100.7,550.0,0.0,550.0,2013-09-10,True
2296,789,1764,1321,117,2013-09-17,550,34.98,19236.53,550.0,0.0,550.0,2013-09-10,True
2297,790,1765,1322,212,2013-09-17,3,45.37,136.11,3.0,0.0,3.0,2013-09-10,True
2298,790,1766,1322,213,2013-09-17,3,49.64,148.93,3.0,0.0,3.0,2013-09-10,True
2299,790,1767,1322,214,2013-09-17,3,45.37,136.11,3.0,0.0,3.0,2013-09-10,True
2300,791,1768,1323,109,2013-09-17,550,2.32,1276.28,550.0,0.0,550.0,2013-09-10,True
2301,792,1769,1324,122,2013-09-17,550,3.64,2003.93,550.0,82.0,468.0,2013-09-10,True
2302,793,1770,1325,440,2013-09-17,550,21.09,11601.98,550.0,0.0,550.0,2013-09-10,True
2303,793,1771,1325,437,2013-09-17,550,30.44,16741.73,550.0,0.0,550.0,2013-09-10,True
2304,793,1772,1325,435,2013-09-17,550,40.94,22516.73,550.0,0.0,550.0,2013-09-10,True
2305,794,1773,1326,165,2013-09-17,60,3.6,216.09,60.0,0.0,60.0,2013-09-10,True
2306,794,1774,1326,166,2013-09-17,60,3.98,238.77,60.0,0.0,60.0,2013-09-10,True
2307,795,1775,1327,9,2013-09-17,550,31.49,17319.23,550.0,0.0,550.0,2013-09-10,True
2308,795,1776,1327,7,2013-09-17,550,48.29,26559.23,523.0,0.0,523.0,2013-09-10,True
2309,796,1777,1328,120,2013-09-17,550,12.97,7132.13,468.0,0.0,468.0,2013-09-10,True
2310,797,1778,1329,441,2013-09-17,550,21.09,11601.98,550.0,0.0,550.0,2013-09-10,True
2311,797,1779,1329,438,2013-09-17,550,30.44,16741.73,550.0,0.0,550.0,2013-09-10,True
2312,798,1780,1330,434,2013-09-17,550,40.94,22516.73,550.0,0.0,550.0,2013-09-10,True
2313,799,1781,1331,4,2013-09-17,550,62.99,34644.23,550.0,0.0,550.0,2013-09-10,True
2314,800,1782,1332,74,2013-09-17,3,47.52,142.57,3.0,0.0,3.0,2013-09-10,True
2315,800,1783,1332,75,2013-09-17,3,45.42,136.27,3.0,0.0,3.0,2013-09-10,True
2316,800,1784,1332,76,2013-09-17,3,49.7,149.09,3.0,0.0,3.0,2013-09-10,True
2317,801,1785,1333,73,2013-09-17,3,47.68,143.04,3.0,0.0,3.0,2013-09-10,True
2318,802,1786,1334,115,2013-09-17,550,23.4,12872.48,550.0,82.0,468.0,2013-09-10,True
2319,802,1787,1334,116,2013-09-17,550,27.87,15326.85,550.0,0.0,550.0,2013-09-10,True
2320,803,1788,1335,123,2013-09-17,550,6.75,3713.33,550.0,0.0,550.0,2013-09-10,True
2321,804,1789,1336,10,2013-09-17,550,31.49,17319.23,550.0,0.0,550.0,2013-09-10,True
2322,804,1790,1336,8,2013-09-17,550,48.29,26559.23,550.0,0.0,550.0,2013-09-10,True
2323,805,1791,1337,153,2013-09-18,60,50.75,3044.79,60.0,0.0,60.0,2013-09-11,True
2324,805,1792,1337,154,2013-09-18,60,62.93,3775.59,57.0,0.0,57.0,2013-09-11,True
2325,805,1793,1337,155,2013-09-18,60,49.65,2979.27,60.0,0.0,60.0,2013-09-11,True
2326,806,1794,1338,119,2013-09-18,550,10.38,5711.48,468.0,0.0,468.0,2013-09-11,True
2327,807,1795,1339,233,2013-09-18,3,49.85,149.56,3.0,0.0,3.0,2013-09-11,True
2328,807,1796,1339,234,2013-09-18,3,45.58,136.74,3.0,0.0,3.0,2013-09-11,True
2329,807,1797,1339,138,2013-09-18,3,43.48,130.44,3.0,0.0,3.0,2013-09-11,True
2330,807,1798,1339,86,2013-09-18,3,47.75,143.26,3.0,0.0,3.0,2013-09-11,True
2331,807,1799,1339,87,2013-09-18,3,43.48,130.44,3.0,0.0,3.0,2013-09-11,True
2332,807,1800,1339,88,2013-09-18,3,41.38,124.14,3.0,0.0,3.0,2013-09-11,True
2333,808,1801,1340,149,2013-09-18,3,12.72,38.15,3.0,0.0,3.0,2013-09-11,True
2334,808,1802,1340,150,2013-09-18,3,19.94,59.82,3.0,0.0,3.0,2013-09-11,True
2335,809,1803,1341,124,2013-09-18,3,38.16,114.47,3.0,0.0,3.0,2013-09-11,True
2336,810,1804,1342,110,2013-09-18,3,44.22,132.65,3.0,0.0,3.0,2013-09-11,True
2337,811,1805,1343,10,2013-09-18,550,31.49,17319.23,550.0,0.0,550.0,2013-09-11,True
2338,811,1806,1343,8,2013-09-18,550,48.29,26559.23,550.0,0.0,550.0,2013-09-11,True
2339,812,1807,1344,167,2013-09-18,60,6.98,418.95,60.0,9.0,51.0,2013-09-11,True
2340,813,1808,1345,62,2013-09-18,3,37.18,111.54,3.0,0.0,3.0,2013-09-11,True
2341,813,1809,1345,69,2013-09-18,3,41.45,124.36,3.0,0.0,3.0,2013-09-11,True
2342,813,1810,1345,68,2013-09-18,3,37.18,111.54,3.0,0.0,3.0,2013-09-11,True
2343,814,1811,1346,165,2013-09-18,60,3.38,202.86,60.0,0.0,60.0,2013-09-11,True
2344,814,1812,1346,166,2013-09-18,60,4.32,258.93,60.0,0.0,60.0,2013-09-11,True
2345,815,1813,1347,250,2013-09-18,3,43.27,129.81,3.0,0.0,3.0,2013-09-11,True
2346,815,1814,1347,251,2013-09-18,3,41.17,123.51,3.0,0.0,3.0,2013-09-11,True
2347,815,1815,1347,252,2013-09-18,3,45.44,136.33,3.0,0.0,3.0,2013-09-11,True
2348,815,1816,1347,253,2013-09-18,3,41.17,123.51,3.0,0.0,3.0,2013-09-11,True
2349,815,1817,1347,254,2013-09-18,3,39.07,117.21,3.0,0.0,3.0,2013-09-11,True
2350,815,1818,1347,255,2013-09-18,3,43.34,130.03,3.0,0.0,3.0,2013-09-11,True
2351,815,1819,1347,256,2013-09-18,3,39.07,117.21,3.0,0.0,3.0,2013-09-11,True
2352,815,1820,1347,301,2013-09-18,3,36.97,110.91,3.0,0.0,3.0,2013-09-11,True
2353,815,1821,1347,302,2013-09-18,3,41.24,123.73,3.0,0.0,3.0,2013-09-11,True
2354,816,1822,1348,149,2013-09-18,3,12.36,37.08,3.0,0.0,3.0,2013-09-11,True
2355,817,1823,1349,118,2013-09-18,550,39.2,21558.08,550.0,0.0,550.0,2013-09-11,True
2356,818,1824,1350,212,2013-09-18,3,45.44,136.33,3.0,0.0,3.0,2013-09-11,True
2357,818,1825,1350,213,2013-09-18,3,41.17,123.51,3.0,0.0,3.0,2013-09-11,True
2358,818,1826,1350,214,2013-09-18,3,39.07,117.21,3.0,0.0,3.0,2013-09-11,True
2359,818,1827,1350,215,2013-09-18,3,43.34,130.03,3.0,0.0,3.0,2013-09-11,True
2360,818,1828,1350,216,2013-09-18,3,39.07,117.21,3.0,0.0,3.0,2013-09-11,True
2361,819,1829,1351,500,2013-09-18,550,34.87,19178.78,550.0,0.0,550.0,2013-09-11,True
2362,819,1830,1351,499,2013-09-18,550,39.76,21869.93,550.0,0.0,550.0,2013-09-11,True
2363,819,1831,1351,495,2013-09-18,550,43.98,24191.48,550.0,0.0,550.0,2013-09-11,True
2364,819,1832,1351,497,2013-09-18,550,38.15,20980.58,550.0,0.0,550.0,2013-09-11,True
2365,820,1833,1352,231,2013-09-18,3,47.68,143.04,3.0,0.0,3.0,2013-09-11,True
2366,820,1834,1352,232,2013-09-18,3,45.58,136.74,3.0,0.0,3.0,2013-09-11,True
2367,820,1835,1352,233,2013-09-18,3,49.85,149.56,3.0,0.0,3.0,2013-09-11,True
2368,821,1836,1353,204,2013-09-19,3,47.58,142.73,3.0,0.0,3.0,2013-09-12,True
2369,821,1837,1353,205,2013-09-19,3,45.48,136.43,3.0,0.0,3.0,2013-09-12,True
2370,821,1838,1353,206,2013-09-19,3,49.75,149.25,3.0,0.0,3.0,2013-09-12,True
2371,821,1839,1353,207,2013-09-19,3,45.48,136.43,3.0,0.0,3.0,2013-09-12,True
2372,822,1840,1354,500,2013-09-19,550,34.35,18890.03,550.0,82.0,468.0,2013-09-12,True
2373,822,1841,1354,499,2013-09-19,550,39.24,21581.18,550.0,0.0,550.0,2013-09-12,True
2374,823,1842,1355,204,2013-09-19,3,47.47,142.41,3.0,0.0,3.0,2013-09-12,True
2375,823,1843,1355,205,2013-09-19,3,45.37,136.11,3.0,0.0,3.0,2013-09-12,True
2376,823,1844,1355,206,2013-09-19,3,49.64,148.93,3.0,0.0,3.0,2013-09-12,True
2377,824,1845,1356,498,2013-09-19,550,32.77,18023.78,550.0,0.0,550.0,2013-09-12,True
2378,824,1846,1356,496,2013-09-19,550,37.09,20397.3,550.0,0.0,550.0,2013-09-12,True
2379,825,1847,1357,203,2013-09-19,550,10.82,5948.25,550.0,0.0,550.0,2013-09-12,True
2380,826,1848,1358,447,2013-09-19,550,82.83,45558.98,468.0,0.0,468.0,2013-09-12,True
2381,826,1849,1358,446,2013-09-19,550,82.83,45558.98,550.0,0.0,550.0,2013-09-12,True
2382,827,1850,1359,183,2013-09-19,1250,0.21,262.5,1250.0,0.0,1250.0,2013-09-12,True
2383,827,1851,1359,197,2013-09-19,1250,0.21,262.5,1250.0,0.0,1250.0,2013-09-12,True
2384,828,1852,1360,191,2013-09-19,3,49.64,148.93,3.0,0.0,3.0,2013-09-12,True
2385,828,1853,1360,192,2013-09-19,3,44.32,132.96,3.0,0.0,3.0,2013-09-12,True
2386,828,1854,1360,193,2013-09-19,60,28.7,1721.79,60.0,0.0,60.0,2013-09-12,True
2387,829,1855,1361,494,2013-09-19,550,42.51,23382.98,550.0,0.0,550.0,2013-09-12,True
2388,829,1856,1361,501,2013-09-19,550,5.59,3072.3,550.0,0.0,550.0,2013-09-12,True
2389,830,1857,1362,493,2013-09-19,60,15.74,944.37,60.0,0.0,60.0,2013-09-12,True
2390,831,1858,1363,495,2013-09-19,550,43.46,23902.73,550.0,0.0,550.0,2013-09-12,True
2391,831,1859,1363,497,2013-09-19,550,37.62,20691.83,550.0,0.0,550.0,2013-09-12,True
2392,831,1860,1363,503,2013-09-19,550,6.53,3592.05,550.0,27.0,523.0,2013-09-12,True
2393,831,1861,1363,502,2013-09-19,550,6.18,3401.48,550.0,0.0,550.0,2013-09-12,True
2394,832,1862,1364,188,2013-09-19,550,29.58,16268.18,550.0,82.0,468.0,2013-09-12,True
2395,832,1863,1364,189,2013-09-19,550,36.1,19854.45,550.0,0.0,550.0,2013-09-12,True
2396,833,1864,1365,498,2013-09-19,550,32.25,17735.03,550.0,0.0,550.0,2013-09-12,True
2397,833,1865,1365,496,2013-09-19,550,36.56,20108.55,550.0,0.0,550.0,2013-09-12,True
2398,834,1866,1366,190,2013-09-19,550,46.42,25531.28,550.0,0.0,550.0,2013-09-12,True
2399,835,1867,1367,168,2013-09-19,3,47.52,142.57,3.0,0.0,3.0,2013-09-12,True
2400,835,1868,1367,169,2013-09-19,3,45.42,136.27,3.0,0.0,3.0,2013-09-12,True
2401,835,1869,1367,157,2013-09-19,3,49.7,149.09,3.0,0.0,3.0,2013-09-12,True
2402,835,1870,1367,171,2013-09-19,3,45.42,136.27,3.0,0.0,3.0,2013-09-12,True
2403,835,1871,1367,172,2013-09-19,3,43.32,129.97,3.0,0.0,3.0,2013-09-12,True
2404,835,1872,1367,173,2013-09-19,3,47.6,142.79,3.0,0.0,3.0,2013-09-12,True
2405,835,1873,1367,174,2013-09-19,3,43.32,129.97,3.0,0.0,3.0,2013-09-12,True
2406,835,1874,1367,175,2013-09-19,3,41.22,123.67,3.0,0.0,3.0,2013-09-12,True
2407,835,1875,1367,176,2013-09-19,3,45.5,136.49,3.0,0.0,3.0,2013-09-12,True
2408,835,1876,1367,177,2013-09-19,3,41.22,123.67,3.0,0.0,3.0,2013-09-12,True
2409,835,1877,1367,178,2013-09-19,3,39.12,117.37,3.0,0.0,3.0,2013-09-12,True
2410,835,1878,1367,179,2013-09-19,3,43.4,130.19,3.0,0.0,3.0,2013-09-12,True
2411,835,1879,1367,180,2013-09-19,3,39.12,117.37,3.0,0.0,3.0,2013-09-12,True
2412,835,1880,1367,181,2013-09-19,3,37.02,111.07,3.0,0.0,3.0,2013-09-12,True
2413,835,1881,1367,182,2013-09-19,3,41.3,123.89,3.0,0.0,3.0,2013-09-12,True
2414,835,1882,1367,196,2013-09-19,3,37.02,111.07,3.0,0.0,3.0,2013-09-12,True
2415,836,1883,1368,184,2013-09-19,3,41.92,125.75,3.0,0.0,3.0,2013-09-12,True
2416,837,1884,1369,9,2013-09-20,550,31.49,17319.23,550.0,0.0,550.0,2013-09-13,True
2417,837,1885,1369,7,2013-09-20,550,48.29,26559.23,550.0,0.0,550.0,2013-09-13,True
2418,838,1886,1370,120,2013-09-20,550,12.97,7132.13,550.0,0.0,550.0,2013-09-13,True
2419,839,1887,1371,441,2013-09-20,550,21.09,11601.98,550.0,0.0,550.0,2013-09-13,True
2420,839,1888,1371,438,2013-09-20,550,30.44,16741.73,550.0,0.0,550.0,2013-09-13,True
2421,840,1889,1372,434,2013-09-20,550,40.94,22516.73,550.0,0.0,550.0,2013-09-13,True
2422,841,1890,1373,248,2013-09-22,3,50.26,150.79,3.0,0.0,3.0,2013-09-15,True
2423,842,1891,1374,182,2013-09-22,3,41.45,124.36,3.0,0.0,3.0,2013-09-15,True
2424,842,1892,1374,196,2013-09-22,3,37.18,111.54,3.0,0.0,3.0,2013-09-15,True
2425,843,1893,1375,126,2013-09-22,550,16.09,8847.3,550.0,0.0,550.0,2013-09-15,True
2426,844,1894,1376,186,2013-09-22,3,57.03,171.08,3.0,0.0,3.0,2013-09-15,True
2427,845,1895,1377,117,2013-09-22,550,37.09,20397.3,550.0,0.0,550.0,2013-09-15,True
2428,846,1896,1378,118,2013-09-22,550,26.6,14628.08,468.0,0.0,468.0,2013-09-15,True
2429,847,1897,1379,190,2013-09-22,550,46.06,25334.93,550.0,0.0,550.0,2013-09-15,True
2430,848,1898,1380,212,2013-09-22,3,47.47,142.41,3.0,0.0,3.0,2013-09-15,True
2431,848,1899,1380,213,2013-09-22,3,45.37,136.11,3.0,0.0,3.0,2013-09-15,True
2432,848,1900,1380,214,2013-09-22,3,49.64,148.93,3.0,0.0,3.0,2013-09-15,True
2433,848,1901,1380,215,2013-09-22,3,45.37,136.11,3.0,0.0,3.0,2013-09-15,True
2434,848,1902,1380,216,2013-09-22,3,43.27,129.81,3.0,0.0,3.0,2013-09-15,True
2435,849,1903,1381,231,2013-09-22,3,47.52,142.57,3.0,0.0,3.0,2013-09-15,True
2436,849,1904,1381,232,2013-09-22,3,45.42,136.27,3.0,0.0,3.0,2013-09-15,True
2437,849,1905,1381,233,2013-09-22,3,49.7,149.09,3.0,0.0,3.0,2013-09-15,True
2438,849,1906,1381,234,2013-09-22,3,45.42,136.27,3.0,0.0,3.0,2013-09-15,True
2439,849,1907,1381,138,2013-09-22,3,43.32,129.97,3.0,0.0,3.0,2013-09-15,True
2440,850,1908,1382,191,2013-09-22,3,47.47,142.41,3.0,0.0,3.0,2013-09-15,True
2441,850,1909,1382,192,2013-09-22,3,42.8,128.39,3.0,0.0,3.0,2013-09-15,True
2442,850,1910,1382,193,2013-09-22,60,25.42,1525.23,60.0,0.0,60.0,2013-09-15,True
2443,851,1911,1383,102,2013-09-22,3,39.12,117.37,3.0,0.0,3.0,2013-09-15,True
2444,851,1912,1383,103,2013-09-22,3,37.02,111.07,3.0,0.0,3.0,2013-09-15,True
2445,851,1913,1383,70,2013-09-22,3,41.3,123.89,3.0,0.0,3.0,2013-09-15,True
2446,851,1914,1383,105,2013-09-22,3,37.02,111.07,3.0,0.0,3.0,2013-09-15,True
2447,852,1915,1384,6,2013-09-22,550,62.99,34644.23,550.0,82.0,468.0,2013-09-15,True
2448,853,1916,1385,191,2013-09-22,3,45.37,136.11,3.0,0.0,3.0,2013-09-15,True
2449,853,1917,1385,192,2013-09-22,3,40.49,121.46,3.0,0.0,3.0,2013-09-15,True
2450,853,1918,1385,193,2013-09-22,60,26.37,1581.93,60.0,0.0,60.0,2013-09-15,True
2451,854,1919,1386,121,2013-09-22,3,48.76,146.29,3.0,0.0,3.0,2013-09-15,True
2452,855,1920,1387,156,2013-09-22,3,34.19,102.56,3.0,0.0,3.0,2013-09-15,True
2453,856,1921,1388,194,2013-09-22,3,50.26,150.79,3.0,0.0,3.0,2013-09-15,True
2454,857,1922,1389,119,2013-09-23,550,10.73,5902.05,550.0,0.0,550.0,2013-09-16,True
2455,857,1923,1389,120,2013-09-23,550,14.12,7767.38,550.0,0.0,550.0,2013-09-16,True
2456,858,1924,1390,151,2013-09-23,60,50.26,3015.81,60.0,0.0,60.0,2013-09-16,True
2457,858,1925,1390,152,2013-09-23,60,57.15,3429.09,60.0,0.0,60.0,2013-09-16,True
2458,858,1926,1390,153,2013-09-23,60,53.2,3192.21,60.0,0.0,60.0,2013-09-16,True
2459,858,1927,1390,154,2013-09-23,60,63.69,3821.58,60.0,0.0,60.0,2013-09-16,True
2460,858,1928,1390,155,2013-09-23,60,48.91,2934.54,60.0,0.0,60.0,2013-09-16,True
2461,859,1929,1391,439,2013-09-23,550,30.44,16741.73,550.0,0.0,550.0,2013-09-16,True
2462,859,1930,1391,436,2013-09-23,550,40.94,22516.73,550.0,0.0,550.0,2013-09-16,True
2463,860,1931,1392,111,2013-09-23,60,9.2,551.88,60.0,0.0,60.0,2013-09-16,True
2464,861,1932,1393,162,2013-09-23,550,5.78,3176.25,550.0,0.0,550.0,2013-09-16,True
2465,861,1933,1393,163,2013-09-23,550,1.16,635.25,550.0,0.0,550.0,2013-09-16,True
2466,861,1934,1393,132,2013-09-23,550,5.78,3176.25,550.0,27.0,523.0,2013-09-16,True
2467,862,1935,1394,112,2013-09-23,550,23.39,12866.7,550.0,82.0,468.0,2013-09-16,True
2468,862,1936,1394,113,2013-09-23,550,27.65,15205.58,550.0,0.0,550.0,2013-09-16,True
2469,863,1937,1395,164,2013-09-23,550,1.37,750.75,550.0,0.0,550.0,2013-09-16,True
2470,863,1938,1395,5,2013-09-23,550,62.99,34644.23,550.0,0.0,550.0,2013-09-16,True
2471,863,1939,1395,131,2013-09-23,550,3.49,1917.3,550.0,0.0,550.0,2013-09-16,True
2472,864,1940,1396,162,2013-09-23,550,6.2,3407.25,550.0,0.0,550.0,2013-09-16,True
2473,864,1941,1396,163,2013-09-23,550,1.47,808.5,550.0,0.0,550.0,2013-09-16,True
2474,865,1942,1397,112,2013-09-23,550,22.17,12191.03,550.0,0.0,550.0,2013-09-16,True
2475,865,1943,1397,113,2013-09-23,550,29.28,16106.48,523.0,0.0,523.0,2013-09-16,True
2476,866,1944,1398,150,2013-09-23,3,19.98,59.94,3.0,0.0,3.0,2013-09-16,True
2477,867,1945,1399,206,2013-09-23,3,43.34,130.03,3.0,0.0,3.0,2013-09-16,True
2478,867,1946,1399,207,2013-09-23,3,39.07,117.21,3.0,0.0,3.0,2013-09-16,True
2479,867,1947,1399,208,2013-09-23,3,36.97,110.91,3.0,0.0,3.0,2013-09-16,True
2480,867,1948,1399,170,2013-09-23,3,41.24,123.73,3.0,0.0,3.0,2013-09-16,True
2481,867,1949,1399,158,2013-09-23,3,36.97,110.91,3.0,0.0,3.0,2013-09-16,True
