CUSTOMERKEY,CUSTOMERID,STOREID,TERRITORYKEY,ACCOUNTNUMBER,CUSTOMERMODIFIEDDATE,STORENAME,STOREMODIFIEDDATE,STORECATEGORY,ISCURRENT,STARTDATE,ENDDATE,HASHDIFF
624,580,1120.0,4,AW00000580,2014-09-12 11:15:07.263,Rural Sales and Service,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,0754895a20f68afc816984145405da03e1bb1dc01c829d477e6419a594955daa
625,581,882.0,4,AW00000581,2014-09-12 11:15:07.263,Safe Toys,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,6e342c0cd06c04088d0a3e6bda0264904980637b68474dc25472c02e1428c922
626,582,294.0,4,AW00000582,2014-09-12 11:15:07.263,Professional Sales and Service,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,52d70cbaf0f60267ad4b75ff566ce0dee3aeef5e0c0827a7090f21060b6ec2f6
627,583,1796.0,4,AW00000583,2014-09-12 11:15:07.263,Professional Containers and Packaging Co.,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,93b1bd42012e18a830da551d04f6ec34057b8b7da756327bd37b0e02a0afb7d9
628,584,884.0,5,AW00000584,2014-09-12 11:15:07.263,Qualified Sales and Repair Services,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,0687f4ba69d1260d9c2ffc14cfad47c7c797ce771abaa494a523284249c0972c
629,585,292.0,5,AW00000585,2014-09-12 11:15:07.263,Next-Door Bike Store,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,435321f8e520156d64664c1f0b49eb429e259d5f4038660e9eae2d967eff13ad
630,586,1798.0,6,AW00000586,2014-09-12 11:15:07.263,One Bike Company,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,c7d2f742b27e5e89bc77f8c2fc8f492b0918ae0cd033bba1eb705200e9e07708
631,587,886.0,6,AW00000587,2014-09-12 11:15:07.263,Our Sporting Goods Store,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,765044e9ad9edf0a913bc57924587cc9ea1c547b8ee1d58260d74dc9900727ba
632,588,668.0,6,AW00000588,2014-09-12 11:15:07.263,General Cycle Storehouse,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,189af37f8c8659358f66dd43d54584cb6f348dfd336a22a9f4d178698a0db432
633,589,1800.0,7,AW00000589,2014-09-12 11:15:07.263,Hiatus Bike Tours,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,e95c4625d4dc04ff4a0673b63d301255900435bb54ba947955a86b043ebecd91
634,590,888.0,8,AW00000590,2014-09-12 11:15:07.263,Lustrous Paints and Components,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,cd75fa556a0100a634a4fe30a73516e6c4f5b16e51e41dfdf8ddf33e91fa7d40
635,591,666.0,9,AW00000591,2014-09-12 11:15:07.263,Fitness Discount Store,2014-09-12 11:15:07.497,Discount Store,True,2006-06-23,9999-12-31 00:00:00,148e0b10546f2f8924b971c276df7327963403f51277526e5ad209f91d8267d9
636,592,1802.0,10,AW00000592,2014-09-12 11:15:07.263,Cycling Goods,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,0071dd2b6783d3662529ef187ed51d314e6a30241c974a9d383c650509e8a1cf
637,593,890.0,2,AW00000593,2014-09-12 11:15:07.263,Expert Sports Store,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,e19ee0f7f3efc45f198d4085987136a8862d44d339247b992539cb78924ec1e9
638,594,664.0,2,AW00000594,2014-09-12 11:15:07.263,Casual Bicycle Store,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,27390bdb79672b05dbf902a9e2e56002a22c6186480c9b270d98abdc7159d9b4
639,595,1804.0,1,AW00000595,2014-09-12 11:15:07.263,Cycle Clearance,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,4cd0871b14ab42288854913a1a7310e846fcfa811f083256683c446f5808816b
640,596,892.0,1,AW00000596,2014-09-12 11:15:07.263,Coho Sports,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,4bba76026bcb0db9c46dd75e3a5aa1c7210eb1f7013e2ac0555c1a54a7c01de9
641,597,1100.0,4,AW00000597,2014-09-12 11:15:07.263,All Seasons Sports Supply,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,583f99a5b45de2bed1ca8b82cb38515843d10ef280d9fec829589e8392e9548f
642,598,1806.0,3,AW00000598,2014-09-12 11:15:07.263,Black Bicycle Company,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,db7c0d8edd64f4ba8a93de5572ddbb17b5d2d2ff16281a1e8dd9616963e580e8
643,599,652.0,4,AW00000599,2014-09-12 11:15:07.263,Westside Plaza,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,90a44fff0c4bae5fb01e12589b22cdd536fed6f02d302f8380c7522c18be989e
644,600,1098.0,4,AW00000600,2014-09-12 11:15:07.263,Strenuous Exercise Shop,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,a9d3681bf434be932e4cd5cadeff3ecc0f607d26eedd80d44ef4c97a5c5ef60a
645,601,1808.0,1,AW00000601,2014-09-12 11:15:07.263,Transport Bikes,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,b1802a79c8c6fd8d08236a34e97daf073bacb411b24b3ac0d70ded3637708a33
646,602,654.0,5,AW00000602,2014-09-12 11:15:07.263,Ultimate Bike Shop,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,267473f9e79001d5d853c96c665f0e46918f00a43ba6291cf2fe8e0a0d73bf8f
647,603,1096.0,5,AW00000603,2014-09-12 11:15:07.263,Retail Toy Store,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,d2791e64219dd90203865267aaad3aa4ef81fc723ab8b44198739f42f5b46c40
648,604,1810.0,1,AW00000604,2014-09-12 11:15:07.263,Sellers of Cycles,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,5578a74397cf306d802f32968f11dc188fd163bd411a554fe87bf6612edcccd3
649,605,656.0,1,AW00000605,2014-09-12 11:15:07.263,Outstanding Cycles,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,fc7763e41f159396bd87fc29f5bc516e950524aef86880d5bb6bed884c5b9dcd
650,606,1094.0,3,AW00000606,2014-09-12 11:15:07.263,Little Bicycle Supply Shop,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,87eec5ffd6f080ebf648cf9d4917d4c37abbe9983825e9e6a0958cdad1e40965
651,607,1812.0,4,AW00000607,2014-09-12 11:15:07.263,Maintenance and Repair for Bicycles,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,4d483fb93dbf2e598b99683f11627efdffa28071e5d13a7caf65caa76b5cdfda
652,608,478.0,4,AW00000608,2014-09-12 11:15:07.263,Golf and Cycle Store,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,54fde141fe551aa6a05761ac0ab9c1a1d6c8c080bdb33d04649f9b0a794bc8ad
653,609,1092.0,4,AW00000609,2014-09-12 11:15:07.263,Good Toys,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,2cc3940d92140767393830ed1a8d1471fce31c7c048cad1efac08c321f5d69ae
654,610,1814.0,4,AW00000610,2014-09-12 11:15:07.263,Fitness Department Stores,2014-09-12 11:15:07.497,Department Store,True,2006-06-23,9999-12-31 00:00:00,96724e1941728f61a2edf50d6c4102bdc994a981d4357fa44080c95b557a890b
655,611,480.0,5,AW00000611,2014-09-12 11:15:07.263,Front Runner Bikes,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,489f259b8cb2036c33332a72d5c14950c361914b47d39b2fc98ea9e5320dce03
656,612,1090.0,5,AW00000612,2014-09-12 11:15:07.263,General Associates,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,775abd454ed42c84e0e9a30fecc595d9b0de3fc9f166cf48af225ae2080b7fdf
657,613,1816.0,6,AW00000613,2014-09-12 11:15:07.263,Famous Bike Shop,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,453f478cce6de80a7203d0fa558840ff4df3574d6164949f6cc52e6f5dc59f28
658,614,482.0,7,AW00000614,2014-09-12 11:15:07.263,Favorite Toy Distributor,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,a4f38b5e43cca3c2c07271d916aded5e9084c0d06672b2dd34a22d61d7b227e1
659,615,1088.0,8,AW00000615,2014-09-12 11:15:07.263,Fast Services,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,6c5509f1dec1ba85371670f4a65699f8f7a20e2bee5476e11886dcdc86b85bc8
660,616,1818.0,9,AW00000616,2014-09-12 11:15:07.263,Eastward Bike Accessories,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,8325664cab7c9970d8d4cd41d4dd8a9d140e9e3d3bdc83aa80890db651ef7bcb
661,617,1122.0,10,AW00000617,2014-09-12 11:15:07.263,Tubeless Tire Company,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,064849f4bb0240d7aedfcc35be663162873d9d61f8e756710820916829696eb9
662,618,1086.0,2,AW00000618,2014-09-12 11:15:07.263,Seventh Bike Store,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,558cbe789783be543a3cf50f4ea09b85ae4cb7342d9a392516ff69a93979e3a5
663,619,1820.0,2,AW00000619,2014-09-12 11:15:07.263,Strong Metal Manufacturing,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,54c081038781c349bd52a35f50278b00db9ac9b73e3875aaf758fba71d613a66
664,620,1124.0,1,AW00000620,2014-09-12 11:15:07.263,Tires and Tubes,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,e54e59dd098e1556cd7ba8752f09cef6dd8caa93b96f77224aef2d4da285b056
665,621,1084.0,1,AW00000621,2014-09-12 11:15:07.263,Running and Cycling Gear,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,d29b7f8a33861138e9f44a218c296a564677fb1e85ab4b7dd24d65822e21b945
666,622,1822.0,3,AW00000622,2014-09-12 11:15:07.263,Gift and Toy Store,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,fb32fd67c249bd4321c9c946382888c026c87371c245475bc93b3db3c3d1a1a5
667,623,1126.0,3,AW00000623,2014-09-12 11:15:07.263,Hardware Components,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,e4230a5694860e354829f6e3fa97fcafd4092dc71bd68cc2c6f60e4459dadec2
668,624,1082.0,4,AW00000624,2014-09-12 11:15:07.263,First Cycle Store,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,947d990f61bd136503c01615bcf62a8b4c03e5b202b17f0a30ec9a0b8522de1f
669,625,1824.0,4,AW00000625,2014-09-12 11:15:07.263,Major Sporting Goods,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,0d64119488a3b5040c97e5f51018a95ba0f80a0c7c2cfe6b3882f1f864af0f50
670,626,1128.0,1,AW00000626,2014-09-12 11:15:07.263,Retail Sporting Goods,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,0f805902be9040d03eda213b481a06a24c330ba178ca4323fc50a23747344c5b
671,627,1080.0,5,AW00000627,2014-09-12 11:15:07.263,Exchange Parts Inc.,2014-09-12 11:15:07.497,Parts Supplier,True,2006-06-23,9999-12-31 00:00:00,3c8dc483eac3b35e19a15997c7c3e275c080cdf2cac33151dd9067dfadd5490e
672,628,1826.0,5,AW00000628,2014-09-12 11:15:07.263,Executive Discount Store,2014-09-12 11:15:07.497,Discount Store,True,2006-06-23,9999-12-31 00:00:00,f942b2c1aa7478c8f79fa061a638a5cf1e15287ef37068b45180c548046496d3
673,629,1130.0,6,AW00000629,2014-09-12 11:15:07.263,Efficient Cycling,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,36dc2f439f4b4a297e80cf163aab51bd181aa58a6322e65b39bd53b061b5dbd6
674,630,1078.0,6,AW00000630,2014-09-12 11:15:07.263,Eastside Parts Shop,2014-09-12 11:15:07.497,Parts Supplier,True,2006-06-23,9999-12-31 00:00:00,dbe893e4dd7c0d855753605288981f190931394f55e5238aa6be5f9420cffcdc
675,631,1364.0,6,AW00000631,2014-09-12 11:15:07.263,Tandem Sales and Service,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,0d1bcf2c7f6206eca3ea2b4d0ba91c0f9e80fb6c6267fa15a9d4f4ba21927282
676,632,1958.0,7,AW00000632,2014-09-12 11:15:07.263,Ultimate Bicycle Company,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,d91fef16ff04b5b20d78f4101127780877a897fefa368179cec7f6ac570b37cb
677,633,1076.0,8,AW00000633,2014-09-12 11:15:07.263,Rustic Bike Store,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,a1d23c6524494ac846fedc2ed3bd84423ef6181300a7e68fb912aea59545f6fd
678,634,1366.0,9,AW00000634,2014-09-12 11:15:07.263,Sensible Sports,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,7bd4cb5d8000a3b4d44ea9f03ae58be328fedcc190f61c93d866d6e3bac1cca2
679,635,1960.0,10,AW00000635,2014-09-12 11:15:07.263,Sports Store,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,af3f4545348acf4ae5953d8b9d21151b1e18685cc601a4b834dbba230e884440
680,636,1074.0,2,AW00000636,2014-09-12 11:15:07.263,Recreation Systems,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,06be3982f5883a25f0ed7d92af1bc348df4c8951067bbc04f775625d661469b3
681,637,1368.0,6,AW00000637,2014-09-12 11:15:07.263,Reliable Retail Center,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,8379cfb0527c97309327499331e78aeb6ec36fbbc6a82acd62229edc9f07a5bf
682,638,1962.0,7,AW00000638,2014-09-12 11:15:07.263,Metropolitan Equipment,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,64b604aa79c25116701e43151929936ac0fb8b143aec721e2a9f7cfe5b5847a2
683,639,1072.0,8,AW00000639,2014-09-12 11:15:07.263,Producer Goods Clearinghouse,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,c458801900700aec4acbc2188e30aad2d32635acbd7431201d05d63b28a029f7
684,640,1370.0,9,AW00000640,2014-09-12 11:15:07.263,Liquidation Sales,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,a30f7d4a6b49afb16b617b831f59487214af1b8b1fa0e5461e6ffc9f2b48e47b
685,641,1964.0,10,AW00000641,2014-09-12 11:15:07.263,Extended Tours,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,bedf34550eafcef7bdf1b2f5624bd15f1189421634a92624d8dfe7232bd550d3
686,642,1070.0,2,AW00000642,2014-09-12 11:15:07.263,Fitness Sport Boutique,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,b6d794eec127fc4e13c3ab4cdf42f08b81089c56700985a15ba59cf6598c45de
687,643,1372.0,3,AW00000643,2014-09-12 11:15:07.263,Friendly Bike Shop,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,9e5e53357fe094289982a0cd7ef419280ef4e2fc967597fcf41fc625955b8de7
688,644,1966.0,1,AW00000644,2014-09-12 11:15:07.263,Convenient Sales and Service,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,a52dee95adaa5914591bbb0ee776906efd2fb6cc17c0c6db6525f28c68ae081b
689,645,1068.0,1,AW00000645,2014-09-12 11:15:07.263,Superior Hardware Distributors,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,4cf509c0f31d9d8454a2a1ae711933aafad80cdb2a657a564dec89ced36952ff
690,646,1374.0,3,AW00000646,2014-09-12 11:15:07.263,Yellow Bicycle Company,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,2845da5f50110ab0902e898fb840f9964961cfa3e47fe8570934c25317861461
691,647,1968.0,4,AW00000647,2014-09-12 11:15:07.263,Solid Bike Parts,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,cd18e784427b365a8cc95eec3a813b013fbe493196fbd74265d0bdd6c0c4a5ea
692,648,1066.0,4,AW00000648,2014-09-12 11:15:07.263,Small Bike Shop,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,4410e1d23d462b3dc653b318b5570d6b06e08505f3819ef977b714ffee3fef13
693,649,1376.0,4,AW00000649,2014-09-12 11:15:07.263,Sports Products Store,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,b5c946a4ed86b5c91f5d3258deb12d4787ba23e006b9512caba3445a196b690c
694,650,1970.0,1,AW00000650,2014-09-12 11:15:07.263,Permanent Finish Products,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,89231b6d1b689f573ebf0c06fe2c9bf59c74027671e5cc1a7507dec19dc44a57
695,651,1064.0,5,AW00000651,2014-09-12 11:15:07.263,Retread Tire Company,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,150bfaf7b81fb1936fdb41e378f2999a8d4619ea8e6407ee08dd6dd38de797b4
696,652,1378.0,5,AW00000652,2014-09-12 11:15:07.263,Selected Distributors,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,92ef73c11406ee7ae08ef9d0e2d78cc5460bfc0c15624b232d5927629d955611
697,653,1972.0,6,AW00000653,2014-09-12 11:15:07.263,Mercantile Outlet,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,af68bafc1c909abe16f3d2bdcf5af9a725e0033b85c7a22843a4bec9382dead9
698,654,1062.0,6,AW00000654,2014-09-12 11:15:07.263,Online Bike Warehouse,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,4e0558c82869cfe58e63e16512d318689ec2f252855e3b0a764f52c0cb342c88
699,655,1060.0,6,AW00000655,2014-09-12 11:15:07.263,Operational Manufacturing,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,1c591665164fbc4d9e757b232657fb84fe05eb304ae299f44fc8fa0d141620f3
700,656,1380.0,7,AW00000656,2014-09-12 11:15:07.263,Impervious Paint Company,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,3b3bb998d24cbdf9456ff1df6c1aab7f3896d653997be1d2baf245ebb2aabd4f
701,657,1974.0,8,AW00000657,2014-09-12 11:15:07.263,Links Works,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,147c5ce81b4e536d9896a1c594b3ded3b300c90daaea7e74cccee91e1f102bb0
702,658,1058.0,9,AW00000658,2014-09-12 11:15:07.263,Mass Market Bikes,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,19f234a122192937403c11343e20a33c0f21beb6fab29f4706c655e287aa55c8
703,659,1382.0,10,AW00000659,2014-09-12 11:15:07.263,Shipping Specialists,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,0befe2e89199a29ca1b13e0c71f0c7286270ab928de59cd8104a659ac13b7f06
704,660,1976.0,3,AW00000660,2014-09-12 11:15:07.263,Exhilarating Cycles,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,c0aa25e056ffe03fbfe7bf4a083ed1d2ac22e48fe6c745f22fcc9ae359dd0432
705,661,1056.0,6,AW00000661,2014-09-12 11:15:07.263,General Department Stores,2014-09-12 11:15:07.497,Department Store,True,2006-06-23,9999-12-31 00:00:00,d0c58b348ce114a3aba5b52849c981c6e8efa4af6f65eeee477c5e817138be23
706,662,1384.0,7,AW00000662,2014-09-12 11:15:07.263,Finer Sporting Goods,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,5535e10576142a41c93c36121df92b8d0fc8ea6c568ae7f9f35a3e0f090cdd76
707,663,420.0,8,AW00000663,2014-09-12 11:15:07.263,Capital Riding Supplies,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,e7d13660b5c221c01a84100a199a69fa20e67e40f98bf7db81597edf300d172b
708,664,1054.0,9,AW00000664,2014-09-12 11:15:07.263,Eastside Cycle Shop,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,071793494faa3f589e5d1fe360af8e5dfa291722affe12d413021d884705aff6
709,665,1386.0,10,AW00000665,2014-09-12 11:15:07.263,Authentic Sales and Service,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,dce54604c5fb0128fc8c8d5dea5d7a94cd05531b28bc6ea39edfefc1fe7d738a
710,666,422.0,2,AW00000666,2014-09-12 11:15:07.263,Bike Boutique,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,c6ede04fb1341304a9c0752dc0e0b7f627d23653d6d8d4fdd42ff175ac4fd329
711,667,1052.0,2,AW00000667,2014-09-12 11:15:07.263,Traditional Department Stores,2014-09-12 11:15:07.497,Department Store,True,2006-06-23,9999-12-31 00:00:00,d667093976e78a9f0584aa9c13c8bf26eb2ca82b635cb7e37aa8986e7e2158a9
712,668,1388.0,1,AW00000668,2014-09-12 11:15:07.263,Official Parts Shop,2014-09-12 11:15:07.497,Parts Supplier,True,2006-06-23,9999-12-31 00:00:00,1ebf0f3fb5bde062bd942a9cc97b105e924881cc2b839f684e3e186e77259270
713,669,822.0,1,AW00000669,2014-09-12 11:15:07.263,Racing Bike Outlet,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,acd6a31d633cfe20f99d9f748e60ad3c92bffea8de00d2b68ae3c4bd9e8a05f9
714,670,1050.0,3,AW00000670,2014-09-12 11:15:07.263,First Bike Store,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,b218ec7706f82a8e38a8e961fa1ae0d8c8b47f21f76e579a2e867f2c78be4083
715,671,1390.0,4,AW00000671,2014-09-12 11:15:07.263,"Contoso, Ltd.",2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,d51d255e132c3c9102fea2e43cd6f06563baf59c0d3e023b5947629a5f90ccc4
716,672,824.0,1,AW00000672,2014-09-12 11:15:07.263,Utilitarian Sporting Goods,2014-09-12 11:15:07.497,Sports Store,True,2006-06-23,9999-12-31 00:00:00,1c5fb7f55eae2308761d73859db647ebf9ba38c0bd2c278f2d736b93a7e13a00
717,673,1048.0,1,AW00000673,2014-09-12 11:15:07.263,Countryside Company,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,d3690f90e76e0faa7759d76ae610dd563f1288b30ce70c72703204143538a023
718,674,1392.0,4,AW00000674,2014-09-12 11:15:07.263,Discount Tours,2014-09-12 11:15:07.497,Discount Store,True,2006-06-23,9999-12-31 00:00:00,b31444815b552959d104843bd90e60bc1805ee510e1eddfe933dd8463386f00e
719,675,826.0,5,AW00000675,2014-09-12 11:15:07.263,Bike Goods ,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,85317f101c45e2a8080635dd68b2d6546d84c72576492cffb260b39981ba4a0e
720,676,1046.0,5,AW00000676,2014-09-12 11:15:07.263,Better Bike Shop,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,c5168211028e065e93f177fe2ee3886e96c8ca16651da3f68da75b95bbf0791e
721,677,1394.0,6,AW00000677,2014-09-12 11:15:07.263,Tire Exchange,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,29720a40e2eeda69897bd130aa484223fa4f3644978d7967da7f79463306760a
722,678,828.0,6,AW00000678,2014-09-12 11:15:07.263,Vigorous Exercise Company,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,11e4d3353a6825516423f151c0a12fb4bb6893595d3499b1c8a4ca1b325fef1f
723,679,1044.0,6,AW00000679,2014-09-12 11:15:07.263,Superb Sales and Repair,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,548b1ee7c1c5a1b45cccaeaee26e43fc625dc632dd3b9f70e8c3eb3dc6d476b0
724,680,1396.0,7,AW00000680,2014-09-12 11:15:07.263,Racing Tours,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,026fcd2adfa99163051fa9e2cb75912c68fa30cd27d8a05371f01a4375f99660
725,681,830.0,8,AW00000681,2014-09-12 11:15:07.263,Showcase for Cycles,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,6f83f7b45def147b56e632061a0015a312fe26e07235194e2b247ca91292386a
726,682,1042.0,9,AW00000682,2014-09-12 11:15:07.263,Popular Bike Lines,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,621b2166d43811d9088d726b7012717f2f1bdf7223c8a1b532e361181aaf282f
727,683,1398.0,10,AW00000683,2014-09-12 11:15:07.263,Oils and Fluids Warehouse,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,809c4a2d7e614d868519cee6af5f37214c9932eab28bba69fdbd3ee415530995
728,684,832.0,2,AW00000684,2014-09-12 11:15:07.263,Lease-a-Bike Shop,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,0b590497dfd083375329adefcb7f7ca7f0abad00694788ac15067963bbc1a01f
729,685,1040.0,6,AW00000685,2014-09-12 11:15:07.263,Family Cycle Store,2014-09-12 11:15:07.497,Cycle Store,True,2006-06-23,9999-12-31 00:00:00,2868bc555d85c7f07bde2d2b6d6bf5fd5db18267da479c92020f3d1999c327f4
730,686,1400.0,7,AW00000686,2014-09-12 11:15:07.263,Finished Parts Shop,2014-09-12 11:15:07.497,Parts Supplier,True,2006-06-23,9999-12-31 00:00:00,3c8de1c93d7cbe294bf3d225e53e4409474309ee4c8e9048435b16171777e69b
731,687,834.0,8,AW00000687,2014-09-12 11:15:07.263,Functional Store South,2014-09-12 11:15:07.497,General Store,True,2006-06-23,9999-12-31 00:00:00,4e887cb92e8a31add25460fcfcdaf01d7f761cf44aa1317cd050fbffe9ddf625
732,688,1038.0,9,AW00000688,2014-09-12 11:15:07.263,Bike Part Wholesalers,2014-09-12 11:15:07.497,Bike Store,True,2006-06-23,9999-12-31 00:00:00,a5a4f837d0d2f62aeaed83b05ae1f0fc6c562347e96616e9193143f6cecd0f34
